idx	label	predict	radius	correct	time
30000	3	3	0.753	1	0:00:08.191690
30100	4	5	0.0886	0	0:00:08.186537
30200	5	5	0.823	1	0:00:08.187263
30300	6	6	0.668	1	0:00:08.182353
30400	9	9	0.953	1	0:00:08.185261
30500	4	6	0.000143	0	0:00:08.175703
30600	8	8	0.577	1	0:00:08.173402
30700	7	7	0.865	1	0:00:08.168789
30800	7	7	0.953	1	0:00:08.166246
30900	2	6	0.256	0	0:00:08.162140
31000	5	5	0.953	1	0:00:08.164324
31100	7	7	0.304	1	0:00:08.164169
31200	8	8	0.532	1	0:00:08.160767
31300	4	3	0.571	0	0:00:08.151712
31400	5	3	0.016	0	0:00:08.155234
31500	1	1	0.953	1	0:00:08.163510
31600	8	1	0.126	0	0:00:08.159311
31700	5	5	0.236	1	0:00:08.160666
31800	4	4	0.189	1	0:00:08.155357
31900	8	8	0.953	1	0:00:08.154844
32000	1	1	0.686	1	0:00:08.157313
32100	2	2	0.707	1	0:00:08.154495
32200	0	0	0.309	1	0:00:08.154930
32300	3	3	0.0281	1	0:00:08.153790
32400	0	0	0.953	1	0:00:08.154482
32500	4	4	0.313	1	0:00:08.153017
32600	8	8	0.953	1	0:00:08.153926
32700	9	9	0.271	1	0:00:08.162390
32800	4	4	0.374	1	0:00:08.154534
32900	3	5	0.192	0	0:00:08.155493
33000	5	5	0.953	1	0:00:08.156051
33100	0	0	0.953	1	0:00:08.149370
33200	5	5	0.423	1	0:00:08.156073
33300	4	4	0.207	1	0:00:08.153411
33400	6	4	0.614	0	0:00:08.153123
33500	1	1	0.375	1	0:00:08.157560
33600	4	2	0.412	0	0:00:08.156418
33700	3	3	0.953	1	0:00:08.157111
33800	9	9	0.312	1	0:00:08.156926
33900	3	6	0.225	0	0:00:08.156718
34000	8	0	0.104	0	0:00:08.156666
34100	7	7	0.953	1	0:00:08.158407
34200	4	4	0.193	1	0:00:08.154790
34300	8	8	0.953	1	0:00:08.155251
34400	3	3	0.0867	1	0:00:08.152367
34500	3	5	0.417	0	0:00:08.156360
34600	4	4	0.0202	1	0:00:08.159288
34700	6	-1	0.0	0	0:00:08.157366
34800	9	9	0.953	1	0:00:08.157611
34900	3	5	0.189	0	0:00:08.156828
35000	7	7	0.953	1	0:00:08.161285
35100	3	3	0.953	1	0:00:08.156911
35200	3	3	0.881	1	0:00:08.154456
35300	9	9	0.71	1	0:00:08.158462
35400	9	9	0.905	1	0:00:08.155731
35500	8	8	0.534	1	0:00:08.155586
35600	6	5	0.115	0	0:00:08.153568
35700	3	3	0.334	1	0:00:08.159029
35800	2	2	0.935	1	0:00:08.155724
35900	4	3	0.302	0	0:00:08.152695
36000	8	8	0.72	1	0:00:08.155240
36100	1	1	0.953	1	0:00:08.155910
36200	3	3	0.783	1	0:00:08.154397
36300	1	1	0.632	1	0:00:08.156036
36400	0	0	0.108	1	0:00:08.154266
36500	7	6	0.223	0	0:00:08.156229
36600	7	7	0.953	1	0:00:08.159291
36700	6	6	0.699	1	0:00:08.161770
36800	6	4	0.122	0	0:00:08.154353
36900	3	3	0.734	1	0:00:08.161726
37000	2	8	0.0249	0	0:00:08.155727
37100	9	-1	0.0	0	0:00:08.156249
37200	4	-1	0.0	0	0:00:08.153071
37300	3	5	0.489	0	0:00:08.156348
37400	3	3	0.774	1	0:00:08.153919
37500	6	6	0.953	1	0:00:08.155602
37600	8	-1	0.0	0	0:00:08.151993
37700	6	6	0.953	1	0:00:08.153098
37800	0	0	0.741	1	0:00:08.150920
37900	0	8	0.332	0	0:00:08.153172
38000	9	9	0.953	1	0:00:08.154990
38100	6	2	0.76	0	0:00:08.153625
38200	3	4	0.246	0	0:00:08.152681
38300	5	2	0.00995	0	0:00:08.151997
38400	0	0	0.374	1	0:00:08.151866
38500	4	4	0.847	1	0:00:08.150138
38600	3	5	0.0931	0	0:00:08.151812
38700	3	3	0.881	1	0:00:08.152207
38800	0	0	0.862	1	0:00:08.152944
38900	2	2	0.732	1	0:00:08.150760
39000	8	8	0.953	1	0:00:08.152617
39100	9	1	0.224	0	0:00:08.153721
39200	8	8	0.953	1	0:00:08.148988
39300	5	5	0.124	1	0:00:08.152301
39400	6	6	0.785	1	0:00:08.151001
39500	9	9	0.801	1	0:00:08.155497
39600	8	8	0.862	1	0:00:08.149477
39700	0	0	0.679	1	0:00:08.150351
39800	1	1	0.953	1	0:00:08.155201
39900	8	8	0.753	1	0:00:08.151162
