idx	label	predict	radius	correct	time
30000	3	3	0.4	1	0:00:08.216716
30100	4	4	0.0681	1	0:00:08.208289
30200	5	5	0.808	1	0:00:08.210406
30300	6	6	0.953	1	0:00:08.210693
30400	9	9	0.953	1	0:00:08.215876
30500	4	6	0.301	0	0:00:08.211628
30600	8	8	0.922	1	0:00:08.217072
30700	7	7	0.953	1	0:00:08.216111
30800	7	7	0.953	1	0:00:08.216871
30900	2	6	0.37	0	0:00:08.211480
31000	5	5	0.953	1	0:00:08.215337
31100	7	7	0.232	1	0:00:08.212860
31200	8	8	0.691	1	0:00:08.212609
31300	4	3	0.801	0	0:00:08.201272
31400	5	3	0.0216	0	0:00:08.207776
31500	1	1	0.953	1	0:00:08.214574
31600	8	9	0.142	0	0:00:08.209774
31700	5	5	0.446	1	0:00:08.209654
31800	4	4	0.234	1	0:00:08.213148
31900	8	8	0.953	1	0:00:08.208713
32000	1	1	0.796	1	0:00:08.209631
32100	2	2	0.803	1	0:00:08.204926
32200	0	0	0.332	1	0:00:08.205847
32300	3	3	0.31	1	0:00:08.207023
32400	0	0	0.953	1	0:00:08.210568
32500	4	-1	0.0	0	0:00:08.207584
32600	8	8	0.953	1	0:00:08.206822
32700	9	9	0.18	1	0:00:08.210440
32800	4	4	0.416	1	0:00:08.210175
32900	3	5	0.294	0	0:00:08.212448
33000	5	5	0.953	1	0:00:08.211713
33100	0	0	0.905	1	0:00:08.204070
33200	5	5	0.494	1	0:00:08.214369
33300	4	4	0.228	1	0:00:08.209396
33400	6	4	0.509	0	0:00:08.213008
33500	1	1	0.594	1	0:00:08.214827
33600	4	2	0.542	0	0:00:08.210912
33700	3	3	0.953	1	0:00:08.210006
33800	9	9	0.869	1	0:00:08.211201
33900	3	6	0.173	0	0:00:08.209459
34000	8	-1	0.0	0	0:00:08.211251
34100	7	7	0.953	1	0:00:08.217567
34200	4	4	0.337	1	0:00:08.210198
34300	8	8	0.935	1	0:00:08.212297
34400	3	-1	0.0	0	0:00:08.210652
34500	3	5	0.315	0	0:00:08.218194
34600	4	4	0.0789	1	0:00:08.215936
34700	6	-1	0.0	0	0:00:08.215435
34800	9	9	0.953	1	0:00:08.219355
34900	3	3	0.0198	1	0:00:08.210102
35000	7	7	0.953	1	0:00:08.214679
35100	3	3	0.953	1	0:00:08.212367
35200	3	3	0.76	1	0:00:08.212776
35300	9	9	0.953	1	0:00:08.214912
35400	9	9	0.953	1	0:00:08.214459
35500	8	8	0.604	1	0:00:08.213158
35600	6	6	0.0043	1	0:00:08.214186
35700	3	3	0.259	1	0:00:08.216615
35800	2	2	0.935	1	0:00:08.214059
35900	4	3	0.0718	0	0:00:08.211905
36000	8	8	0.705	1	0:00:08.215751
36100	1	1	0.953	1	0:00:08.216132
36200	3	3	0.686	1	0:00:08.213690
36300	1	1	0.953	1	0:00:08.216867
36400	0	0	0.273	1	0:00:08.211866
36500	7	6	0.0192	0	0:00:08.214355
36600	7	7	0.953	1	0:00:08.221079
36700	6	6	0.913	1	0:00:08.221800
36800	6	4	0.0095	0	0:00:08.216600
36900	3	3	0.647	1	0:00:08.221698
37000	2	0	0.0211	0	0:00:08.212906
37100	9	5	0.207	0	0:00:08.218398
37200	4	6	0.0206	0	0:00:08.213060
37300	3	5	0.324	0	0:00:08.215473
37400	3	3	0.629	1	0:00:08.213201
37500	6	6	0.953	1	0:00:08.217942
37600	8	9	0.374	0	0:00:08.207792
37700	6	6	0.953	1	0:00:08.205051
37800	0	0	0.898	1	0:00:08.202234
37900	0	-1	0.0	0	0:00:08.208466
38000	9	9	0.953	1	0:00:08.208305
38100	6	2	0.476	0	0:00:08.211896
38200	3	4	0.148	0	0:00:08.215189
38300	5	-1	0.0	0	0:00:08.209538
38400	0	0	0.315	1	0:00:08.209946
38500	4	4	0.877	1	0:00:08.205729
38600	3	-1	0.0	0	0:00:08.211519
38700	3	3	0.804	1	0:00:08.210765
38800	0	0	0.643	1	0:00:08.211029
38900	2	2	0.659	1	0:00:08.213544
39000	8	8	0.953	1	0:00:08.215826
39100	9	1	0.0467	0	0:00:08.214298
39200	8	8	0.922	1	0:00:08.205896
39300	5	5	0.03	1	0:00:08.217777
39400	6	6	0.953	1	0:00:08.212171
39500	9	9	0.953	1	0:00:08.218154
39600	8	8	0.892	1	0:00:08.209943
39700	0	0	0.823	1	0:00:08.216182
39800	1	1	0.953	1	0:00:08.222081
39900	8	8	0.881	1	0:00:08.219980
