idx	label	predict	radius	correct	time
30000	3	3	0.467	1	0:00:08.210267
30100	4	4	0.191	1	0:00:08.209500
30200	5	5	0.833	1	0:00:08.214819
30300	6	6	0.935	1	0:00:08.214092
30400	9	9	0.953	1	0:00:08.216493
30500	4	6	0.291	0	0:00:08.213557
30600	8	8	0.913	1	0:00:08.213410
30700	7	7	0.953	1	0:00:08.213587
30800	7	7	0.953	1	0:00:08.213939
30900	2	6	0.056	0	0:00:08.209023
31000	5	5	0.953	1	0:00:08.213097
31100	7	7	0.262	1	0:00:08.210486
31200	8	8	0.552	1	0:00:08.214327
31300	4	3	0.769	0	0:00:08.204644
31400	5	3	0.0417	0	0:00:08.206308
31500	1	1	0.953	1	0:00:08.212782
31600	8	9	0.279	0	0:00:08.204795
31700	5	5	0.227	1	0:00:08.205410
31800	4	4	0.229	1	0:00:08.207616
31900	8	8	0.953	1	0:00:08.209037
32000	1	1	0.811	1	0:00:08.209082
32100	2	2	0.564	1	0:00:08.200676
32200	0	0	0.482	1	0:00:08.195685
32300	3	3	0.0259	1	0:00:08.196603
32400	0	0	0.953	1	0:00:08.198884
32500	4	-1	0.0	0	0:00:08.202018
32600	8	8	0.953	1	0:00:08.199603
32700	9	9	0.29	1	0:00:08.203528
32800	4	4	0.324	1	0:00:08.196548
32900	3	5	0.299	0	0:00:08.200225
33000	5	5	0.953	1	0:00:08.198042
33100	0	0	0.833	1	0:00:08.188945
33200	5	5	0.289	1	0:00:08.201069
33300	4	4	0.319	1	0:00:08.197492
33400	6	4	0.526	0	0:00:08.196644
33500	1	1	0.433	1	0:00:08.201384
33600	4	2	0.612	0	0:00:08.200697
33700	3	3	0.922	1	0:00:08.199982
33800	9	9	0.855	1	0:00:08.201703
33900	3	6	0.41	0	0:00:08.198087
34000	8	-1	0.0	0	0:00:08.201491
34100	7	7	0.953	1	0:00:08.203481
34200	4	4	0.312	1	0:00:08.197496
34300	8	8	0.862	1	0:00:08.200016
34400	3	-1	0.0	0	0:00:08.197863
34500	3	5	0.279	0	0:00:08.202126
34600	4	4	0.134	1	0:00:08.204363
34700	6	6	0.363	1	0:00:08.202341
34800	9	9	0.953	1	0:00:08.213900
34900	3	-1	0.0	0	0:00:08.208023
35000	7	7	0.953	1	0:00:08.212012
35100	3	3	0.913	1	0:00:08.211950
35200	3	3	0.669	1	0:00:08.210656
35300	9	9	0.953	1	0:00:08.212475
35400	9	9	0.935	1	0:00:08.209224
35500	8	8	0.688	1	0:00:08.211273
35600	6	6	0.057	1	0:00:08.204519
35700	3	3	0.247	1	0:00:08.206390
35800	2	2	0.922	1	0:00:08.210764
35900	4	3	0.056	0	0:00:08.205699
36000	8	8	0.374	1	0:00:08.209563
36100	1	1	0.953	1	0:00:08.209449
36200	3	3	0.725	1	0:00:08.207433
36300	1	1	0.953	1	0:00:08.211344
36400	0	0	0.276	1	0:00:08.209904
36500	7	6	0.00556	0	0:00:08.207040
36600	7	7	0.953	1	0:00:08.212107
36700	6	6	0.873	1	0:00:08.207866
36800	6	6	0.192	1	0:00:08.208146
36900	3	3	0.497	1	0:00:08.210438
37000	2	0	0.029	0	0:00:08.208386
37100	9	5	0.294	0	0:00:08.212013
37200	4	-1	0.0	0	0:00:08.206915
37300	3	5	0.299	0	0:00:08.214121
37400	3	3	0.572	1	0:00:08.211478
37500	6	6	0.953	1	0:00:08.212135
37600	8	9	0.297	0	0:00:08.208270
37700	6	6	0.953	1	0:00:08.208690
37800	0	0	0.935	1	0:00:08.207739
37900	0	0	0.035	1	0:00:08.210540
38000	9	9	0.953	1	0:00:08.207498
38100	6	2	0.57	0	0:00:08.210106
38200	3	-1	0.0	0	0:00:08.208988
38300	5	-1	0.0	0	0:00:08.206218
38400	0	0	0.206	1	0:00:08.208413
38500	4	4	0.783	1	0:00:08.208178
38600	3	5	0.022	0	0:00:08.208031
38700	3	3	0.677	1	0:00:08.207947
38800	0	0	0.721	1	0:00:08.206553
38900	2	2	0.624	1	0:00:08.205230
39000	8	8	0.953	1	0:00:08.208214
39100	9	-1	0.0	0	0:00:08.209758
39200	8	8	0.865	1	0:00:08.206011
39300	5	3	0.0838	0	0:00:08.211326
39400	6	6	0.953	1	0:00:08.209851
39500	9	9	0.953	1	0:00:08.210460
39600	8	8	0.642	1	0:00:08.206807
39700	0	0	0.696	1	0:00:08.207051
39800	1	1	0.953	1	0:00:08.215811
39900	8	8	0.922	1	0:00:08.204139
