idx	label	predict	radius	correct	time
30000	3	3	0.44	1	0:00:07.949331
30100	4	4	0.233	1	0:00:07.944606
30200	5	3	0.0153	0	0:00:07.946021
30300	6	6	0.935	1	0:00:07.945745
30400	9	9	0.953	1	0:00:07.949536
30500	4	-1	0.0	0	0:00:07.944756
30600	8	8	0.397	1	0:00:07.947705
30700	7	7	0.744	1	0:00:07.945070
30800	7	7	0.953	1	0:00:07.947305
30900	2	6	0.343	0	0:00:07.941675
31000	5	5	0.58	1	0:00:07.945318
31100	7	-1	0.0	0	0:00:07.945569
31200	8	8	0.361	1	0:00:07.947362
31300	4	3	0.569	0	0:00:07.937048
31400	5	6	0.266	0	0:00:07.942134
31500	1	1	0.693	1	0:00:07.950104
31600	8	6	0.0327	0	0:00:07.945054
31700	5	3	0.208	0	0:00:07.943481
31800	4	4	0.281	1	0:00:07.944774
31900	8	8	0.953	1	0:00:07.944188
32000	1	1	0.177	1	0:00:07.944227
32100	2	7	0.116	0	0:00:07.942433
32200	0	0	0.0932	1	0:00:07.945959
32300	3	3	0.0238	1	0:00:07.944112
32400	0	0	0.766	1	0:00:07.944428
32500	4	6	0.288	0	0:00:07.940886
32600	8	8	0.656	1	0:00:07.944958
32700	9	9	0.189	1	0:00:07.946762
32800	4	4	0.235	1	0:00:07.942169
32900	3	3	0.159	1	0:00:07.945884
33000	5	5	0.246	1	0:00:07.944311
33100	0	0	0.0835	1	0:00:07.945378
33200	5	5	0.429	1	0:00:07.943710
33300	4	4	0.261	1	0:00:07.943422
33400	6	4	0.314	0	0:00:07.943117
33500	1	1	0.0217	1	0:00:07.943770
33600	4	2	0.302	0	0:00:07.944664
33700	3	3	0.374	1	0:00:07.944477
33800	9	9	0.434	1	0:00:07.946529
33900	3	6	0.109	0	0:00:07.945595
34000	8	4	0.243	0	0:00:07.944010
34100	7	7	0.905	1	0:00:07.946958
34200	4	4	0.115	1	0:00:07.940614
34300	8	8	0.283	1	0:00:07.946285
34400	3	6	0.0736	0	0:00:07.944524
34500	3	-1	0.0	0	0:00:07.946144
34600	4	4	0.556	1	0:00:07.948051
34700	6	-1	0.0	0	0:00:07.944730
34800	9	9	0.953	1	0:00:07.948705
34900	3	5	0.0319	0	0:00:07.946005
35000	7	7	0.953	1	0:00:07.948944
35100	3	3	0.436	1	0:00:07.947543
35200	3	6	0.0648	0	0:00:07.945599
35300	9	9	0.638	1	0:00:07.948129
35400	9	9	0.365	1	0:00:07.949610
35500	8	1	0.0613	0	0:00:07.945627
35600	6	6	0.517	1	0:00:07.952957
35700	3	3	0.242	1	0:00:07.948221
35800	2	2	0.426	1	0:00:07.944710
35900	4	6	0.156	0	0:00:07.943753
36000	8	8	0.087	1	0:00:07.947728
36100	1	1	0.424	1	0:00:07.948033
36200	3	3	0.294	1	0:00:07.949257
36300	1	1	0.0315	1	0:00:07.945627
36400	0	4	0.0431	0	0:00:07.945651
36500	7	-1	0.0	0	0:00:07.945588
36600	7	7	0.953	1	0:00:07.948066
36700	6	6	0.468	1	0:00:07.945509
36800	6	6	0.317	1	0:00:07.943643
36900	3	3	0.74	1	0:00:07.947965
37000	2	2	0.0342	1	0:00:07.944721
37100	9	5	0.183	0	0:00:07.945683
37200	4	6	0.0689	0	0:00:07.941394
37300	3	5	0.187	0	0:00:07.944331
37400	3	9	0.000363	0	0:00:07.944108
37500	6	6	0.953	1	0:00:07.946999
37600	8	9	0.103	0	0:00:07.945258
37700	6	6	0.935	1	0:00:07.942719
37800	0	0	0.654	1	0:00:07.943273
37900	0	-1	0.0	0	0:00:07.946547
38000	9	9	0.886	1	0:00:07.945303
38100	6	2	0.0723	0	0:00:07.945468
38200	3	6	0.209	0	0:00:07.944319
38300	5	6	0.128	0	0:00:07.941891
38400	0	0	0.522	1	0:00:07.944053
38500	4	4	0.634	1	0:00:07.942930
38600	3	3	0.00783	1	0:00:07.944696
38700	3	3	0.536	1	0:00:07.943464
38800	0	0	0.556	1	0:00:07.945048
38900	2	4	0.183	0	0:00:07.943980
39000	8	8	0.953	1	0:00:07.949370
39100	9	9	0.0332	1	0:00:07.944052
39200	8	8	0.215	1	0:00:07.944371
39300	5	3	0.147	0	0:00:07.948879
39400	6	6	0.847	1	0:00:07.943734
39500	9	9	0.833	1	0:00:07.946112
39600	8	8	0.0727	1	0:00:07.943121
39700	0	0	0.327	1	0:00:07.944042
39800	1	1	0.953	1	0:00:07.947585
39900	8	8	0.698	1	0:00:07.945786
