idx	label	predict	radius	correct	time
30000	3	3	0.396	1	0:00:08.057217
30100	4	4	0.126	1	0:00:08.056228
30200	5	5	0.0804	1	0:00:08.058981
30300	6	6	0.852	1	0:00:08.054190
30400	9	9	0.913	1	0:00:08.059519
30500	4	6	0.163	0	0:00:08.054089
30600	8	-1	0.0	0	0:00:08.058155
30700	7	7	0.544	1	0:00:08.056094
30800	7	7	0.953	1	0:00:08.058804
30900	2	6	0.318	0	0:00:08.053165
31000	5	5	0.362	1	0:00:08.056293
31100	7	0	0.0259	0	0:00:08.069172
31200	8	8	0.448	1	0:00:08.060278
31300	4	3	0.625	0	0:00:08.049750
31400	5	6	0.236	0	0:00:08.050568
31500	1	1	0.783	1	0:00:08.057768
31600	8	6	0.189	0	0:00:08.055316
31700	5	3	0.173	0	0:00:08.054246
31800	4	4	0.208	1	0:00:08.055724
31900	8	8	0.873	1	0:00:08.055171
32000	1	6	0.112	0	0:00:08.054673
32100	2	2	0.0787	1	0:00:08.056653
32200	0	0	0.0332	1	0:00:08.055527
32300	3	3	0.00849	1	0:00:08.049509
32400	0	0	0.953	1	0:00:08.052422
32500	4	6	0.352	0	0:00:08.048912
32600	8	8	0.254	1	0:00:08.055247
32700	9	9	0.144	1	0:00:08.057075
32800	4	4	0.149	1	0:00:08.052743
32900	3	3	0.163	1	0:00:08.053262
33000	5	5	0.0147	1	0:00:08.051379
33100	0	0	0.064	1	0:00:08.049880
33200	5	3	0.0345	0	0:00:08.052248
33300	4	4	0.3	1	0:00:08.051682
33400	6	6	0.0542	1	0:00:08.050928
33500	1	-1	0.0	0	0:00:08.054917
33600	4	2	0.115	0	0:00:08.063781
33700	3	3	0.285	1	0:00:08.052393
33800	9	9	0.437	1	0:00:08.055646
33900	3	-1	0.0	0	0:00:08.051775
34000	8	4	0.412	0	0:00:08.050687
34100	7	7	0.935	1	0:00:08.055504
34200	4	6	0.02	0	0:00:08.048941
34300	8	8	0.241	1	0:00:08.052368
34400	3	6	0.104	0	0:00:08.054186
34500	3	-1	0.0	0	0:00:08.055803
34600	4	7	0.133	0	0:00:08.056093
34700	6	-1	0.0	0	0:00:08.054052
34800	9	9	0.953	1	0:00:08.058951
34900	3	5	0.118	0	0:00:08.056737
35000	7	7	0.953	1	0:00:08.057928
35100	3	3	0.117	1	0:00:08.057446
35200	3	6	0.109	0	0:00:08.055120
35300	9	9	0.578	1	0:00:08.059059
35400	9	9	0.0191	1	0:00:08.058170
35500	8	1	0.228	0	0:00:08.056163
35600	6	6	0.454	1	0:00:08.054935
35700	3	3	0.129	1	0:00:08.058900
35800	2	2	0.444	1	0:00:08.056682
35900	4	6	0.205	0	0:00:08.055298
36000	8	8	0.0141	1	0:00:08.059400
36100	1	1	0.251	1	0:00:08.062676
36200	3	3	0.0116	1	0:00:08.060699
36300	1	3	0.055	0	0:00:08.058708
36400	0	4	0.107	0	0:00:08.058568
36500	7	-1	0.0	0	0:00:08.058341
36600	7	7	0.953	1	0:00:08.061196
36700	6	6	0.479	1	0:00:08.057348
36800	6	6	0.406	1	0:00:08.054836
36900	3	3	0.386	1	0:00:08.057494
37000	2	-1	0.0	0	0:00:08.056830
37100	9	-1	0.0	0	0:00:08.056675
37200	4	4	0.043	1	0:00:08.052322
37300	3	5	0.225	0	0:00:08.055534
37400	3	3	0.0433	1	0:00:08.053612
37500	6	6	0.953	1	0:00:08.055810
37600	8	-1	0.0	0	0:00:08.055714
37700	6	6	0.913	1	0:00:08.050484
37800	0	0	0.707	1	0:00:08.054871
37900	0	-1	0.0	0	0:00:08.055426
38000	9	9	0.831	1	0:00:08.054431
38100	6	2	0.0618	0	0:00:08.054491
38200	3	6	0.195	0	0:00:08.054554
38300	5	-1	0.0	0	0:00:08.054798
38400	0	0	0.448	1	0:00:08.054331
38500	4	4	0.549	1	0:00:08.053482
38600	3	3	0.16	1	0:00:08.056295
38700	3	3	0.51	1	0:00:08.056303
38800	0	0	0.351	1	0:00:08.057347
38900	2	4	0.303	0	0:00:08.064641
39000	8	8	0.953	1	0:00:08.067112
39100	9	9	0.169	1	0:00:08.063827
39200	8	8	0.0678	1	0:00:08.061954
39300	5	3	0.136	0	0:00:08.064034
39400	6	6	0.803	1	0:00:08.063246
39500	9	9	0.608	1	0:00:08.067594
39600	8	0	0.0271	0	0:00:08.065460
39700	0	0	0.399	1	0:00:08.062930
39800	1	1	0.747	1	0:00:08.069760
39900	8	8	0.294	1	0:00:08.063918
