idx	label	predict	radius	correct	time
30000	3	3	0.369	1	0:00:07.981659
30100	4	4	0.251	1	0:00:07.980477
30200	5	3	0.0559	0	0:00:07.983491
30300	6	6	0.953	1	0:00:07.980429
30400	9	9	0.953	1	0:00:07.984588
30500	4	6	0.0498	0	0:00:07.981534
30600	8	8	0.435	1	0:00:07.982188
30700	7	7	0.953	1	0:00:07.981821
30800	7	7	0.953	1	0:00:07.981462
30900	2	6	0.363	0	0:00:07.978410
31000	5	5	0.472	1	0:00:07.981677
31100	7	-1	0.0	0	0:00:07.982952
31200	8	8	0.633	1	0:00:07.981799
31300	4	3	0.407	0	0:00:07.973239
31400	5	6	0.496	0	0:00:07.977926
31500	1	1	0.626	1	0:00:07.982124
31600	8	9	0.00271	0	0:00:07.980402
31700	5	3	0.0237	0	0:00:07.980633
31800	4	4	0.323	1	0:00:07.980492
31900	8	8	0.922	1	0:00:07.979354
32000	1	1	0.231	1	0:00:07.981417
32100	2	7	0.0828	0	0:00:07.977678
32200	0	0	0.111	1	0:00:07.979634
32300	3	-1	0.0	0	0:00:07.978119
32400	0	0	0.922	1	0:00:07.981389
32500	4	6	0.678	0	0:00:07.978723
32600	8	8	0.58	1	0:00:07.980998
32700	9	9	0.155	1	0:00:07.984159
32800	4	4	0.326	1	0:00:07.979396
32900	3	-1	0.0	0	0:00:07.979407
33000	5	5	0.231	1	0:00:07.979736
33100	0	2	0.0448	0	0:00:07.979049
33200	5	5	0.465	1	0:00:07.979631
33300	4	4	0.255	1	0:00:07.978222
33400	6	4	0.31	0	0:00:07.979040
33500	1	1	0.246	1	0:00:07.980077
33600	4	2	0.271	0	0:00:07.979957
33700	3	3	0.229	1	0:00:07.979943
33800	9	9	0.647	1	0:00:07.981213
33900	3	3	0.154	1	0:00:07.980430
34000	8	4	0.27	0	0:00:07.981212
34100	7	7	0.881	1	0:00:07.982343
34200	4	6	0.112	0	0:00:07.978324
34300	8	8	0.0623	1	0:00:07.981633
34400	3	6	0.288	0	0:00:07.979700
34500	3	-1	0.0	0	0:00:07.980873
34600	4	4	0.553	1	0:00:07.981709
34700	6	-1	0.0	0	0:00:07.982280
34800	9	9	0.953	1	0:00:07.982420
34900	3	3	0.178	1	0:00:07.981165
35000	7	7	0.953	1	0:00:07.982656
35100	3	3	0.311	1	0:00:07.979664
35200	3	-1	0.0	0	0:00:07.980572
35300	9	9	0.784	1	0:00:07.983341
35400	9	9	0.49	1	0:00:07.983163
35500	8	-1	0.0	0	0:00:07.981662
35600	6	6	0.678	1	0:00:07.980283
35700	3	3	0.149	1	0:00:07.983238
35800	2	2	0.504	1	0:00:07.981280
35900	4	6	0.148	0	0:00:07.979262
36000	8	8	0.0572	1	0:00:07.982203
36100	1	1	0.764	1	0:00:07.983615
36200	3	3	0.155	1	0:00:07.982980
36300	1	1	0.537	1	0:00:07.982254
36400	0	4	0.0466	0	0:00:07.982778
36500	7	-1	0.0	0	0:00:07.981598
36600	7	7	0.953	1	0:00:07.984610
36700	6	6	0.79	1	0:00:07.984168
36800	6	6	0.415	1	0:00:07.981162
36900	3	3	0.829	1	0:00:07.985133
37000	2	-1	0.0	0	0:00:07.983241
37100	9	5	0.0909	0	0:00:07.983179
37200	4	6	0.0832	0	0:00:07.980220
37300	3	5	0.114	0	0:00:07.983534
37400	3	9	0.0798	0	0:00:07.983388
37500	6	6	0.953	1	0:00:07.985417
37600	8	9	0.131	0	0:00:07.982233
37700	6	6	0.953	1	0:00:07.979481
37800	0	0	0.624	1	0:00:07.981659
37900	0	-1	0.0	0	0:00:07.981724
38000	9	9	0.913	1	0:00:07.981286
38100	6	6	0.189	1	0:00:07.980714
38200	3	6	0.219	0	0:00:07.980335
38300	5	6	0.378	0	0:00:07.979304
38400	0	0	0.478	1	0:00:07.981668
38500	4	4	0.785	1	0:00:07.979283
38600	3	3	0.132	1	0:00:07.981983
38700	3	3	0.379	1	0:00:07.981102
38800	0	0	0.326	1	0:00:07.983621
38900	2	4	0.139	0	0:00:07.981153
39000	8	8	0.953	1	0:00:07.983821
39100	9	9	0.192	1	0:00:07.981215
39200	8	8	0.0399	1	0:00:07.981924
39300	5	3	0.16	0	0:00:07.982525
39400	6	6	0.935	1	0:00:07.982010
39500	9	9	0.913	1	0:00:07.983063
39600	8	8	0.0472	1	0:00:07.982555
39700	0	0	0.221	1	0:00:07.982457
39800	1	1	0.935	1	0:00:07.985545
39900	8	8	0.847	1	0:00:07.982873
