idx	label	predict	radius	correct	time
30000	3	3	0.335	1	0:00:07.973618
30100	4	4	0.248	1	0:00:07.972661
30200	5	3	0.104	0	0:00:07.973379
30300	6	6	0.953	1	0:00:07.972412
30400	9	9	0.953	1	0:00:07.975160
30500	4	6	0.0967	0	0:00:07.973301
30600	8	8	0.486	1	0:00:07.975023
30700	7	7	0.905	1	0:00:07.974478
30800	7	7	0.953	1	0:00:07.974456
30900	2	6	0.369	0	0:00:07.969437
31000	5	5	0.472	1	0:00:07.971800
31100	7	8	0.00108	0	0:00:07.974642
31200	8	8	0.565	1	0:00:07.976004
31300	4	3	0.531	0	0:00:07.967060
31400	5	6	0.354	0	0:00:07.972852
31500	1	1	0.667	1	0:00:07.974483
31600	8	9	0.0121	0	0:00:07.973063
31700	5	3	0.041	0	0:00:07.973434
31800	4	4	0.357	1	0:00:07.973958
31900	8	8	0.953	1	0:00:07.973362
32000	1	1	0.279	1	0:00:07.971830
32100	2	7	0.126	0	0:00:07.971120
32200	0	0	0.273	1	0:00:07.974508
32300	3	-1	0.0	0	0:00:07.970992
32400	0	0	0.892	1	0:00:07.973757
32500	4	6	0.525	0	0:00:07.972090
32600	8	8	0.785	1	0:00:07.975898
32700	9	9	0.257	1	0:00:07.978709
32800	4	4	0.258	1	0:00:07.973678
32900	3	5	0.0179	0	0:00:07.974808
33000	5	5	0.321	1	0:00:07.973332
33100	0	-1	0.0	0	0:00:07.972975
33200	5	5	0.49	1	0:00:07.973334
33300	4	4	0.302	1	0:00:07.971499
33400	6	4	0.226	0	0:00:07.971794
33500	1	1	0.169	1	0:00:07.974705
33600	4	2	0.257	0	0:00:07.973069
33700	3	3	0.36	1	0:00:07.972263
33800	9	9	0.608	1	0:00:07.973916
33900	3	3	0.177	1	0:00:07.972439
34000	8	4	0.202	0	0:00:07.973499
34100	7	7	0.898	1	0:00:07.974888
34200	4	6	0.0115	0	0:00:07.968936
34300	8	8	0.129	1	0:00:07.972117
34400	3	6	0.135	0	0:00:07.971154
34500	3	-1	0.0	0	0:00:07.976317
34600	4	4	0.667	1	0:00:07.978253
34700	6	-1	0.0	0	0:00:07.976033
34800	9	9	0.953	1	0:00:07.978323
34900	3	3	0.0326	1	0:00:07.984739
35000	7	7	0.953	1	0:00:07.983339
35100	3	3	0.499	1	0:00:07.980213
35200	3	3	0.0358	1	0:00:07.979311
35300	9	9	0.935	1	0:00:07.985916
35400	9	9	0.53	1	0:00:07.980960
35500	8	1	0.114	0	0:00:07.981732
35600	6	6	0.706	1	0:00:07.981522
35700	3	3	0.0553	1	0:00:07.986962
35800	2	2	0.386	1	0:00:07.983705
35900	4	6	0.307	0	0:00:07.980008
36000	8	8	0.0995	1	0:00:07.984512
36100	1	1	0.684	1	0:00:07.986197
36200	3	3	0.243	1	0:00:07.984607
36300	1	1	0.417	1	0:00:07.983095
36400	0	-1	0.0	0	0:00:07.983935
36500	7	4	0.0348	0	0:00:07.988710
36600	7	7	0.953	1	0:00:07.986944
36700	6	6	0.792	1	0:00:07.988671
36800	6	6	0.545	1	0:00:08.004513
36900	3	3	0.865	1	0:00:07.994677
37000	2	0	0.0135	0	0:00:07.987453
37100	9	5	0.0913	0	0:00:07.986792
37200	4	-1	0.0	0	0:00:07.983845
37300	3	5	0.231	0	0:00:07.991018
37400	3	9	0.0492	0	0:00:07.990054
37500	6	6	0.953	1	0:00:07.989230
37600	8	9	0.0175	0	0:00:07.986562
37700	6	6	0.953	1	0:00:07.984614
37800	0	0	0.533	1	0:00:07.985176
37900	0	-1	0.0	0	0:00:07.987390
38000	9	9	0.953	1	0:00:07.985792
38100	6	6	0.053	1	0:00:07.988305
38200	3	6	0.146	0	0:00:07.987087
38300	5	6	0.365	0	0:00:07.985456
38400	0	0	0.572	1	0:00:07.986781
38500	4	4	0.796	1	0:00:07.986055
38600	3	3	0.165	1	0:00:07.987737
38700	3	3	0.427	1	0:00:07.986067
38800	0	0	0.31	1	0:00:07.986478
38900	2	4	0.0243	0	0:00:07.988436
39000	8	8	0.953	1	0:00:07.990548
39100	9	9	0.225	1	0:00:07.988074
39200	8	8	0.0651	1	0:00:07.987652
39300	5	3	0.0945	0	0:00:07.989725
39400	6	6	0.953	1	0:00:07.988642
39500	9	9	0.892	1	0:00:07.991088
39600	8	8	0.0674	1	0:00:07.988513
39700	0	0	0.127	1	0:00:07.992506
39800	1	1	0.913	1	0:00:07.992073
39900	8	8	0.873	1	0:00:07.989319
