idx	label	predict	radius	correct	time
40000	3	3	0.953	1	0:00:08.124723
40100	4	4	0.151	1	0:00:08.120257
40200	5	5	0.776	1	0:00:08.125038
40300	6	6	0.609	1	0:00:08.124858
40400	9	9	0.953	1	0:00:08.138816
40500	4	6	0.0719	0	0:00:08.122945
40600	8	8	0.673	1	0:00:08.128448
40700	7	7	0.953	1	0:00:08.125658
40800	7	7	0.953	1	0:00:08.132411
40900	2	6	0.201	0	0:00:08.131720
41000	5	5	0.953	1	0:00:08.129335
41100	7	7	0.14	1	0:00:08.128943
41200	8	8	0.47	1	0:00:08.128214
41300	4	3	0.129	0	0:00:08.113982
41400	5	-1	0.0	0	0:00:08.122521
41500	1	1	0.953	1	0:00:08.132196
41600	8	9	0.0293	0	0:00:08.125439
41700	5	5	0.185	1	0:00:08.127153
41800	4	4	0.423	1	0:00:08.122741
41900	8	8	0.953	1	0:00:08.125311
42000	1	1	0.22	1	0:00:08.122277
42100	2	2	0.509	1	0:00:08.119918
42200	0	0	0.555	1	0:00:08.118681
42300	3	3	0.148	1	0:00:08.118099
42400	0	0	0.639	1	0:00:08.124591
42500	4	4	0.675	1	0:00:08.119927
42600	8	8	0.953	1	0:00:08.115748
42700	9	9	0.402	1	0:00:08.124534
42800	4	4	0.402	1	0:00:08.114055
42900	3	5	0.922	0	0:00:08.118780
43000	5	5	0.953	1	0:00:08.115277
43100	0	0	0.953	1	0:00:08.107507
43200	5	5	0.471	1	0:00:08.111761
43300	4	4	0.217	1	0:00:08.113469
43400	6	4	0.593	0	0:00:08.112164
43500	1	1	0.458	1	0:00:08.114828
43600	4	2	0.537	0	0:00:08.113672
43700	3	3	0.844	1	0:00:08.115375
43800	9	9	0.416	1	0:00:08.110266
43900	3	6	0.877	0	0:00:08.113294
44000	8	0	0.0832	0	0:00:08.117054
44100	7	7	0.953	1	0:00:08.112436
44200	4	4	0.625	1	0:00:08.112932
44300	8	8	0.953	1	0:00:08.109511
44400	3	4	0.19	0	0:00:08.104854
44500	3	5	0.18	0	0:00:08.111882
44600	4	4	0.65	1	0:00:08.117191
44700	6	4	0.0261	0	0:00:08.110526
44800	9	9	0.953	1	0:00:08.111669
44900	3	3	0.143	1	0:00:08.113394
45000	7	7	0.953	1	0:00:08.110510
45100	3	3	0.953	1	0:00:08.110162
45200	3	3	0.935	1	0:00:08.111170
45300	9	9	0.178	1	0:00:08.114333
45400	9	9	0.645	1	0:00:08.110147
45500	8	8	0.691	1	0:00:08.110586
45600	6	-1	0.0	0	0:00:08.109886
45700	3	-1	0.0	0	0:00:08.117836
45800	2	2	0.825	1	0:00:08.112926
45900	4	3	0.099	0	0:00:08.106978
46000	8	8	0.659	1	0:00:08.112875
46100	1	1	0.827	1	0:00:08.114501
46200	3	3	0.881	1	0:00:08.116730
46300	1	1	0.327	1	0:00:08.116219
46400	0	8	0.0474	0	0:00:08.119289
46500	7	6	0.395	0	0:00:08.117374
46600	7	7	0.953	1	0:00:08.122779
46700	6	6	0.517	1	0:00:08.119604
46800	6	6	0.221	1	0:00:08.119696
46900	3	3	0.898	1	0:00:08.123799
47000	2	8	0.0119	0	0:00:08.119455
47100	9	3	0.892	0	0:00:08.124794
47200	4	4	0.126	1	0:00:08.124641
47300	3	5	0.415	0	0:00:08.129182
47400	3	3	0.314	1	0:00:08.126959
47500	6	6	0.953	1	0:00:08.128065
47600	8	9	0.399	0	0:00:08.125197
47700	6	6	0.922	1	0:00:08.125508
47800	0	0	0.935	1	0:00:08.125776
47900	0	4	0.151	0	0:00:08.132488
48000	9	9	0.922	1	0:00:08.129984
48100	6	2	0.101	0	0:00:08.136790
48200	3	4	0.0102	0	0:00:08.130089
48300	5	4	0.0112	0	0:00:08.127962
48400	0	0	0.5	1	0:00:08.130494
48500	4	4	0.953	1	0:00:08.127863
48600	3	4	0.249	0	0:00:08.132314
48700	3	3	0.708	1	0:00:08.131965
48800	0	0	0.953	1	0:00:08.127912
48900	2	2	0.189	1	0:00:08.124462
49000	8	8	0.953	1	0:00:08.126884
49100	9	1	0.149	0	0:00:08.126341
49200	8	8	0.953	1	0:00:08.124732
49300	5	5	0.176	1	0:00:08.121965
49400	6	6	0.153	1	0:00:08.122384
49500	9	9	0.715	1	0:00:08.129979
49600	8	8	0.869	1	0:00:08.125145
49700	0	0	0.953	1	0:00:08.119896
49800	1	1	0.953	1	0:00:08.132273
49900	8	8	0.245	1	0:00:08.118745
