idx	label	predict	radius	correct	time
40000	3	3	0.512	1	0:00:08.117686
40100	4	4	0.0434	1	0:00:08.118038
40200	5	5	0.881	1	0:00:08.119367
40300	6	6	0.953	1	0:00:08.126181
40400	9	9	0.953	1	0:00:08.125142
40500	4	6	0.269	0	0:00:08.121596
40600	8	8	0.905	1	0:00:08.122272
40700	7	7	0.953	1	0:00:08.119727
40800	7	7	0.953	1	0:00:08.122787
40900	2	6	0.41	0	0:00:08.118304
41000	5	5	0.953	1	0:00:08.123131
41100	7	7	0.217	1	0:00:08.124457
41200	8	8	0.818	1	0:00:08.125369
41300	4	3	0.131	0	0:00:08.119383
41400	5	5	0.137	1	0:00:08.122206
41500	1	1	0.953	1	0:00:08.128918
41600	8	9	0.32	0	0:00:08.125000
41700	5	5	0.524	1	0:00:08.130297
41800	4	4	0.239	1	0:00:08.130565
41900	8	8	0.953	1	0:00:08.125351
42000	1	1	0.742	1	0:00:08.127780
42100	2	2	0.669	1	0:00:08.125587
42200	0	0	0.549	1	0:00:08.126133
42300	3	3	0.065	1	0:00:08.124055
42400	0	0	0.953	1	0:00:08.130744
42500	4	6	0.0523	0	0:00:08.126943
42600	8	8	0.953	1	0:00:08.129579
42700	9	9	0.125	1	0:00:08.140236
42800	4	4	0.392	1	0:00:08.129105
42900	3	5	0.953	0	0:00:08.128891
43000	5	5	0.953	1	0:00:08.131458
43100	0	0	0.953	1	0:00:08.123372
43200	5	5	0.446	1	0:00:08.130956
43300	4	4	0.326	1	0:00:08.128775
43400	6	4	0.567	0	0:00:08.131761
43500	1	1	0.811	1	0:00:08.131744
43600	4	2	0.353	0	0:00:08.131876
43700	3	3	0.935	1	0:00:08.126371
43800	9	9	0.953	1	0:00:08.134174
43900	3	6	0.677	0	0:00:08.130541
44000	8	-1	0.0	0	0:00:08.127687
44100	7	7	0.953	1	0:00:08.129898
44200	4	4	0.749	1	0:00:08.121481
44300	8	8	0.953	1	0:00:08.123975
44400	3	4	0.237	0	0:00:08.127836
44500	3	3	0.0657	1	0:00:08.130946
44600	4	4	0.721	1	0:00:08.126413
44700	6	6	0.0712	1	0:00:08.122599
44800	9	9	0.953	1	0:00:08.126550
44900	3	3	0.2	1	0:00:08.127178
45000	7	7	0.953	1	0:00:08.125791
45100	3	3	0.953	1	0:00:08.122873
45200	3	3	0.858	1	0:00:08.119007
45300	9	9	0.898	1	0:00:08.125833
45400	9	9	0.922	1	0:00:08.118826
45500	8	8	0.38	1	0:00:08.117052
45600	6	-1	0.0	0	0:00:08.116314
45700	3	-1	0.0	0	0:00:08.121002
45800	2	2	0.819	1	0:00:08.116477
45900	4	4	0.0363	1	0:00:08.115168
46000	8	8	0.481	1	0:00:08.118603
46100	1	1	0.953	1	0:00:08.119382
46200	3	3	0.696	1	0:00:08.117337
46300	1	1	0.953	1	0:00:08.115994
46400	0	0	0.538	1	0:00:08.117514
46500	7	6	0.141	0	0:00:08.114625
46600	7	7	0.953	1	0:00:08.119920
46700	6	6	0.935	1	0:00:08.114610
46800	6	6	0.284	1	0:00:08.116468
46900	3	3	0.953	1	0:00:08.121785
47000	2	8	0.0119	0	0:00:08.114113
47100	9	3	0.739	0	0:00:08.117492
47200	4	6	0.0996	0	0:00:08.116674
47300	3	5	0.355	0	0:00:08.123392
47400	3	3	0.252	1	0:00:08.119022
47500	6	6	0.953	1	0:00:08.121294
47600	8	9	0.355	0	0:00:08.118926
47700	6	6	0.953	1	0:00:08.119982
47800	0	0	0.953	1	0:00:08.120703
47900	0	2	0.137	0	0:00:08.124052
48000	9	9	0.953	1	0:00:08.124327
48100	6	6	0.0186	1	0:00:08.124096
48200	3	6	0.00553	0	0:00:08.124605
48300	5	-1	0.0	0	0:00:08.123503
48400	0	0	0.609	1	0:00:08.124071
48500	4	4	0.935	1	0:00:08.125601
48600	3	3	0.0636	1	0:00:08.129630
48700	3	3	0.717	1	0:00:08.125041
48800	0	0	0.953	1	0:00:08.125311
48900	2	2	0.259	1	0:00:08.121922
49000	8	8	0.953	1	0:00:08.126526
49100	9	1	0.383	0	0:00:08.128288
49200	8	8	0.953	1	0:00:08.124891
49300	5	5	0.167	1	0:00:08.131202
49400	6	6	0.953	1	0:00:08.127990
49500	9	9	0.953	1	0:00:08.129569
49600	8	8	0.801	1	0:00:08.126671
49700	0	0	0.953	1	0:00:08.131227
49800	1	1	0.953	1	0:00:08.134731
49900	8	8	0.898	1	0:00:08.127981
