idx	label	predict	radius	correct	time
40000	3	3	0.16	1	0:00:08.124021
40100	4	5	0.225	0	0:00:08.118768
40200	5	5	0.218	1	0:00:08.125609
40300	6	6	0.886	1	0:00:08.126101
40400	9	9	0.953	1	0:00:08.135180
40500	4	5	0.159	0	0:00:08.129184
40600	8	8	0.779	1	0:00:08.122987
40700	7	7	0.953	1	0:00:08.121634
40800	7	7	0.953	1	0:00:08.123775
40900	2	4	0.378	0	0:00:08.118854
41000	5	5	0.953	1	0:00:08.123541
41100	7	8	0.703	0	0:00:08.121491
41200	8	8	0.953	1	0:00:08.122557
41300	4	3	0.675	0	0:00:08.114013
41400	5	5	0.953	1	0:00:08.115475
41500	1	9	0.269	0	0:00:08.120845
41600	8	9	0.432	0	0:00:08.115661
41700	5	5	0.619	1	0:00:08.115771
41800	4	-1	0.0	0	0:00:08.115198
41900	8	8	0.953	1	0:00:08.113507
42000	1	1	0.835	1	0:00:08.113560
42100	2	2	0.814	1	0:00:08.112539
42200	0	0	0.379	1	0:00:08.108393
42300	3	3	0.106	1	0:00:08.109131
42400	0	0	0.953	1	0:00:08.110155
42500	4	6	0.181	0	0:00:08.112332
42600	8	8	0.953	1	0:00:08.107109
42700	9	3	0.547	0	0:00:08.118310
42800	4	-1	0.0	0	0:00:08.109435
42900	3	5	0.467	0	0:00:08.115230
43000	5	5	0.953	1	0:00:08.110591
43100	0	0	0.953	1	0:00:08.103686
43200	5	7	0.38	0	0:00:08.119477
43300	4	3	0.0801	0	0:00:08.112483
43400	6	-1	0.0	0	0:00:08.120743
43500	1	1	0.644	1	0:00:08.120582
43600	4	2	0.148	0	0:00:08.118025
43700	3	3	0.112	1	0:00:08.125710
43800	9	3	0.335	0	0:00:08.121032
43900	3	-1	0.0	0	0:00:08.118502
44000	8	0	0.587	0	0:00:08.120237
44100	7	7	0.953	1	0:00:08.125749
44200	4	0	0.00935	0	0:00:08.124986
44300	8	8	0.695	1	0:00:08.119867
44400	3	5	0.0774	0	0:00:08.119196
44500	3	3	0.913	1	0:00:08.124532
44600	4	4	0.558	1	0:00:08.125524
44700	6	3	0.188	0	0:00:08.123564
44800	9	9	0.953	1	0:00:08.129485
44900	3	1	0.147	0	0:00:08.129130
45000	7	7	0.953	1	0:00:08.131224
45100	3	3	0.873	1	0:00:08.125329
45200	3	3	0.664	1	0:00:08.132793
45300	9	9	0.953	1	0:00:08.133422
45400	9	9	0.708	1	0:00:08.134555
45500	8	8	0.0284	1	0:00:08.124350
45600	6	4	0.322	0	0:00:08.130608
45700	3	3	0.272	1	0:00:08.130614
45800	2	2	0.683	1	0:00:08.129100
45900	4	-1	0.0	0	0:00:08.123566
46000	8	8	0.268	1	0:00:08.129903
46100	1	1	0.758	1	0:00:08.130835
46200	3	3	0.935	1	0:00:08.130589
46300	1	1	0.493	1	0:00:08.128217
46400	0	0	0.168	1	0:00:08.129317
46500	7	0	0.605	0	0:00:08.126852
46600	7	7	0.953	1	0:00:08.137053
46700	6	6	0.766	1	0:00:08.126505
46800	6	3	0.369	0	0:00:08.126812
46900	3	0	0.744	0	0:00:08.131845
47000	2	5	0.116	0	0:00:08.124501
47100	9	-1	0.0	0	0:00:08.128236
47200	4	3	0.117	0	0:00:08.123552
47300	3	5	0.238	0	0:00:08.124565
47400	3	5	0.427	0	0:00:08.123392
47500	6	6	0.858	1	0:00:08.124251
47600	8	9	0.259	0	0:00:08.123069
47700	6	6	0.847	1	0:00:08.114717
47800	0	0	0.953	1	0:00:08.113424
47900	0	8	0.594	0	0:00:08.122034
48000	9	-1	0.0	0	0:00:08.119836
48100	6	-1	0.0	0	0:00:08.116689
48200	3	0	0.538	0	0:00:08.124101
48300	5	5	0.792	1	0:00:08.114928
48400	0	0	0.302	1	0:00:08.113673
48500	4	4	0.66	1	0:00:08.111004
48600	3	2	0.0948	0	0:00:08.115553
48700	3	3	0.953	1	0:00:08.114000
48800	0	0	0.953	1	0:00:08.113878
48900	2	2	0.54	1	0:00:08.113381
49000	8	8	0.953	1	0:00:08.114660
49100	9	5	0.162	0	0:00:08.112390
49200	8	8	0.953	1	0:00:08.109837
49300	5	3	0.0747	0	0:00:08.113912
49400	6	6	0.674	1	0:00:08.114341
49500	9	9	0.552	1	0:00:08.112539
49600	8	8	0.371	1	0:00:08.111282
49700	0	0	0.953	1	0:00:08.112260
49800	1	1	0.953	1	0:00:08.114880
49900	8	8	0.136	1	0:00:08.109953
