idx	label	predict	radius	correct	time
40000	3	3	0.712	1	0:00:08.135480
40100	4	4	0.123	1	0:00:08.131318
40200	5	5	0.731	1	0:00:08.134413
40300	6	6	0.605	1	0:00:08.131750
40400	9	9	0.953	1	0:00:08.138411
40500	4	4	0.129	1	0:00:08.131665
40600	8	8	0.208	1	0:00:08.135243
40700	7	7	0.953	1	0:00:08.132755
40800	7	7	0.953	1	0:00:08.132859
40900	2	6	0.256	0	0:00:08.130996
41000	5	5	0.953	1	0:00:08.132672
41100	7	7	0.179	1	0:00:08.131811
41200	8	0	0.0394	0	0:00:08.132319
41300	4	3	0.0635	0	0:00:08.121320
41400	5	5	0.338	1	0:00:08.125643
41500	1	1	0.898	1	0:00:08.133323
41600	8	-1	0.0	0	0:00:08.126343
41700	5	5	0.461	1	0:00:08.127121
41800	4	4	0.392	1	0:00:08.122741
41900	8	8	0.953	1	0:00:08.126667
42000	1	6	0.0705	0	0:00:08.126677
42100	2	2	0.577	1	0:00:08.128187
42200	0	0	0.191	1	0:00:08.120943
42300	3	3	0.0972	1	0:00:08.119088
42400	0	0	0.913	1	0:00:08.131918
42500	4	4	0.445	1	0:00:08.118756
42600	8	8	0.953	1	0:00:08.120828
42700	9	9	0.192	1	0:00:08.124691
42800	4	4	0.411	1	0:00:08.118669
42900	3	5	0.953	0	0:00:08.130623
43000	5	5	0.953	1	0:00:08.120524
43100	0	0	0.953	1	0:00:08.115069
43200	5	5	0.666	1	0:00:08.118991
43300	4	4	0.323	1	0:00:08.114495
43400	6	4	0.728	0	0:00:08.114237
43500	1	1	0.211	1	0:00:08.115672
43600	4	2	0.572	0	0:00:08.116694
43700	3	3	0.862	1	0:00:08.114749
43800	9	9	0.61	1	0:00:08.120088
43900	3	6	0.764	0	0:00:08.122125
44000	8	-1	0.0	0	0:00:08.115720
44100	7	7	0.953	1	0:00:08.121988
44200	4	4	0.298	1	0:00:08.109786
44300	8	8	0.953	1	0:00:08.115190
44400	3	4	0.362	0	0:00:08.113127
44500	3	3	0.0691	1	0:00:08.111799
44600	4	4	0.922	1	0:00:08.115739
44700	6	6	0.357	1	0:00:08.113277
44800	9	9	0.953	1	0:00:08.115368
44900	3	3	0.16	1	0:00:08.127209
45000	7	7	0.953	1	0:00:08.117432
45100	3	3	0.953	1	0:00:08.118792
45200	3	3	0.922	1	0:00:08.115304
45300	9	9	0.209	1	0:00:08.116761
45400	9	9	0.869	1	0:00:08.115422
45500	8	8	0.563	1	0:00:08.116370
45600	6	4	0.118	0	0:00:08.114788
45700	3	3	0.252	1	0:00:08.122447
45800	2	2	0.591	1	0:00:08.117787
45900	4	3	0.0672	0	0:00:08.116638
46000	8	8	0.677	1	0:00:08.118934
46100	1	1	0.391	1	0:00:08.121058
46200	3	3	0.417	1	0:00:08.121289
46300	1	1	0.7	1	0:00:08.125113
46400	0	8	0.342	0	0:00:08.125427
46500	7	6	0.471	0	0:00:08.122776
46600	7	7	0.953	1	0:00:08.128826
46700	6	6	0.467	1	0:00:08.127273
46800	6	6	0.167	1	0:00:08.126507
46900	3	3	0.898	1	0:00:08.134213
47000	2	8	0.177	0	0:00:08.128389
47100	9	3	0.78	0	0:00:08.136012
47200	4	4	0.233	1	0:00:08.128919
47300	3	5	0.492	0	0:00:08.134812
47400	3	3	0.599	1	0:00:08.137470
47500	6	6	0.953	1	0:00:08.140432
47600	8	9	0.467	0	0:00:08.132574
47700	6	6	0.839	1	0:00:08.132770
47800	0	0	0.953	1	0:00:08.130886
47900	0	-1	0.0	0	0:00:08.135818
48000	9	9	0.935	1	0:00:08.136606
48100	6	2	0.202	0	0:00:08.137379
48200	3	4	0.233	0	0:00:08.137072
48300	5	2	0.01	0	0:00:08.128980
48400	0	0	0.488	1	0:00:08.131247
48500	4	4	0.953	1	0:00:08.132205
48600	3	4	0.199	0	0:00:08.132442
48700	3	3	0.855	1	0:00:08.134697
48800	0	0	0.953	1	0:00:08.131941
48900	2	2	0.317	1	0:00:08.143921
49000	8	8	0.953	1	0:00:08.133059
49100	9	-1	0.0	0	0:00:08.129738
49200	8	8	0.953	1	0:00:08.131030
49300	5	5	0.773	1	0:00:08.132232
49400	6	6	0.482	1	0:00:08.125672
49500	9	9	0.401	1	0:00:08.128102
49600	8	8	0.953	1	0:00:08.128180
49700	0	0	0.953	1	0:00:08.125499
49800	1	1	0.953	1	0:00:08.131601
49900	8	8	0.491	1	0:00:08.125604
