idx	label	predict	radius	correct	time
40000	3	3	0.332	1	0:00:08.137526
40100	4	4	0.131	1	0:00:08.138163
40200	5	5	0.379	1	0:00:08.140170
40300	6	6	0.898	1	0:00:08.139107
40400	9	9	0.748	1	0:00:08.140407
40500	4	6	0.0747	0	0:00:08.141051
40600	8	8	0.512	1	0:00:08.138252
40700	7	7	0.935	1	0:00:08.136203
40800	7	7	0.953	1	0:00:08.138861
40900	2	6	0.167	0	0:00:08.135504
41000	5	5	0.953	1	0:00:08.139221
41100	7	0	0.206	0	0:00:08.137248
41200	8	8	0.454	1	0:00:08.135682
41300	4	3	0.423	0	0:00:08.133243
41400	5	3	0.192	0	0:00:08.133354
41500	1	1	0.693	1	0:00:08.141177
41600	8	-1	0.0	0	0:00:08.139257
41700	5	3	0.00786	0	0:00:08.140795
41800	4	4	0.417	1	0:00:08.136928
41900	8	8	0.852	1	0:00:08.134001
42000	1	1	0.664	1	0:00:08.136947
42100	2	2	0.306	1	0:00:08.136169
42200	0	0	0.236	1	0:00:08.136607
42300	3	3	0.0626	1	0:00:08.138396
42400	0	0	0.953	1	0:00:08.139357
42500	4	4	0.173	1	0:00:08.143375
42600	8	8	0.835	1	0:00:08.148304
42700	9	1	0.0631	0	0:00:08.143231
42800	4	4	0.278	1	0:00:08.140669
42900	3	7	0.0968	0	0:00:08.140157
43000	5	5	0.773	1	0:00:08.136406
43100	0	0	0.537	1	0:00:08.130795
43200	5	5	0.393	1	0:00:08.136575
43300	4	4	0.255	1	0:00:08.129428
43400	6	4	0.474	0	0:00:08.128147
43500	1	1	0.138	1	0:00:08.128650
43600	4	2	0.529	0	0:00:08.125880
43700	3	3	0.765	1	0:00:08.121222
43800	9	9	0.712	1	0:00:08.123006
43900	3	3	0.0768	1	0:00:08.117642
44000	8	-1	0.0	0	0:00:08.121732
44100	7	7	0.953	1	0:00:08.124545
44200	4	4	0.357	1	0:00:08.119611
44300	8	8	0.425	1	0:00:08.122293
44400	3	-1	0.0	0	0:00:08.123520
44500	3	5	0.1	0	0:00:08.126727
44600	4	4	0.33	1	0:00:08.130192
44700	6	5	0.142	0	0:00:08.130118
44800	9	9	0.953	1	0:00:08.128800
44900	3	3	0.534	1	0:00:08.129272
45000	7	7	0.953	1	0:00:08.134547
45100	3	3	0.64	1	0:00:08.130410
45200	3	3	0.581	1	0:00:08.130611
45300	9	9	0.798	1	0:00:08.135582
45400	9	9	0.805	1	0:00:08.134390
45500	8	8	0.229	1	0:00:08.134878
45600	6	6	0.434	1	0:00:08.137271
45700	3	3	0.567	1	0:00:08.139004
45800	2	2	0.463	1	0:00:08.135811
45900	4	-1	0.0	0	0:00:08.134351
46000	8	8	0.369	1	0:00:08.137944
46100	1	1	0.869	1	0:00:08.148364
46200	3	3	0.0845	1	0:00:08.138125
46300	1	1	0.651	1	0:00:08.141323
46400	0	0	0.417	1	0:00:08.140483
46500	7	-1	0.0	0	0:00:08.140933
46600	7	7	0.935	1	0:00:08.142798
46700	6	6	0.913	1	0:00:08.143127
46800	6	6	0.0632	1	0:00:08.143140
46900	3	3	0.483	1	0:00:08.145667
47000	2	0	0.172	0	0:00:08.141515
47100	9	3	0.153	0	0:00:08.143964
47200	4	4	0.0323	1	0:00:08.141237
47300	3	-1	0.0	0	0:00:08.146898
47400	3	5	0.293	0	0:00:08.143422
47500	6	6	0.953	1	0:00:08.148751
47600	8	2	0.115	0	0:00:08.146684
47700	6	6	0.905	1	0:00:08.146335
47800	0	0	0.65	1	0:00:08.142668
47900	0	-1	0.0	0	0:00:08.144536
48000	9	9	0.668	1	0:00:08.142820
48100	6	6	0.148	1	0:00:08.145771
48200	3	-1	0.0	0	0:00:08.144171
48300	5	-1	0.0	0	0:00:08.142466
48400	0	0	0.29	1	0:00:08.141438
48500	4	4	0.595	1	0:00:08.142223
48600	3	2	0.0434	0	0:00:08.144058
48700	3	3	0.497	1	0:00:08.142409
48800	0	0	0.922	1	0:00:08.139879
48900	2	4	0.261	0	0:00:08.143714
49000	8	8	0.953	1	0:00:08.143436
49100	9	1	0.24	0	0:00:08.143643
49200	8	8	0.663	1	0:00:08.139008
49300	5	-1	0.0	0	0:00:08.143152
49400	6	6	0.953	1	0:00:08.142962
49500	9	9	0.578	1	0:00:08.144062
49600	8	8	0.204	1	0:00:08.138739
49700	0	0	0.746	1	0:00:08.139103
49800	1	1	0.953	1	0:00:08.145091
49900	8	8	0.881	1	0:00:08.141327
