idx	label	predict	radius	correct	time
40000	3	3	0.322	1	0:00:08.159609
40100	4	5	0.0626	0	0:00:08.156529
40200	5	5	0.219	1	0:00:08.157937
40300	6	6	0.935	1	0:00:08.157127
40400	9	9	0.639	1	0:00:08.157446
40500	4	6	0.106	0	0:00:08.153620
40600	8	8	0.369	1	0:00:08.153907
40700	7	7	0.935	1	0:00:08.155272
40800	7	7	0.953	1	0:00:08.162175
40900	2	6	0.096	0	0:00:08.154491
41000	5	5	0.913	1	0:00:08.153898
41100	7	0	0.0597	0	0:00:08.154508
41200	8	8	0.446	1	0:00:08.153978
41300	4	3	0.31	0	0:00:08.149432
41400	5	3	0.0958	0	0:00:08.152324
41500	1	1	0.576	1	0:00:08.158123
41600	8	9	0.0558	0	0:00:08.157472
41700	5	5	0.0707	1	0:00:08.157351
41800	4	4	0.249	1	0:00:08.156441
41900	8	8	0.886	1	0:00:08.154036
42000	1	1	0.69	1	0:00:08.157562
42100	2	2	0.403	1	0:00:08.157892
42200	0	0	0.277	1	0:00:08.155332
42300	3	-1	0.0	0	0:00:08.157145
42400	0	0	0.953	1	0:00:08.155503
42500	4	6	0.0221	0	0:00:08.165007
42600	8	8	0.825	1	0:00:08.158804
42700	9	9	0.111	1	0:00:08.163524
42800	4	4	0.337	1	0:00:08.162596
42900	3	7	0.0701	0	0:00:08.165497
43000	5	5	0.753	1	0:00:08.161980
43100	0	0	0.412	1	0:00:08.158601
43200	5	5	0.498	1	0:00:08.167584
43300	4	4	0.253	1	0:00:08.163050
43400	6	4	0.495	0	0:00:08.163207
43500	1	1	0.143	1	0:00:08.164876
43600	4	2	0.313	0	0:00:08.165983
43700	3	3	0.776	1	0:00:08.164048
43800	9	9	0.753	1	0:00:08.159428
43900	3	-1	0.0	0	0:00:08.155962
44000	8	-1	0.0	0	0:00:08.156590
44100	7	7	0.905	1	0:00:08.160442
44200	4	4	0.126	1	0:00:08.155189
44300	8	8	0.488	1	0:00:08.157226
44400	3	-1	0.0	0	0:00:08.156616
44500	3	5	0.0115	0	0:00:08.163346
44600	4	4	0.499	1	0:00:08.165989
44700	6	5	0.183	0	0:00:08.163703
44800	9	9	0.953	1	0:00:08.168100
44900	3	3	0.613	1	0:00:08.163525
45000	7	7	0.953	1	0:00:08.164418
45100	3	3	0.659	1	0:00:08.161035
45200	3	3	0.576	1	0:00:08.158336
45300	9	9	0.787	1	0:00:08.165193
45400	9	9	0.808	1	0:00:08.164068
45500	8	8	0.228	1	0:00:08.166889
45600	6	6	0.269	1	0:00:08.162989
45700	3	3	0.639	1	0:00:08.165345
45800	2	2	0.465	1	0:00:08.163244
45900	4	4	0.0265	1	0:00:08.158566
46000	8	8	0.404	1	0:00:08.161034
46100	1	1	0.935	1	0:00:08.162473
46200	3	-1	0.0	0	0:00:08.159570
46300	1	1	0.729	1	0:00:08.159549
46400	0	0	0.552	1	0:00:08.152381
46500	7	-1	0.0	0	0:00:08.151351
46600	7	7	0.953	1	0:00:08.153572
46700	6	6	0.922	1	0:00:08.153416
46800	6	6	0.0208	1	0:00:08.150396
46900	3	3	0.495	1	0:00:08.152603
47000	2	0	0.108	0	0:00:08.146882
47100	9	3	0.367	0	0:00:08.149776
47200	4	4	0.0639	1	0:00:08.147987
47300	3	4	0.159	0	0:00:08.146247
47400	3	5	0.321	0	0:00:08.154163
47500	6	6	0.953	1	0:00:08.148512
47600	8	2	0.0425	0	0:00:08.143354
47700	6	6	0.935	1	0:00:08.145102
47800	0	0	0.677	1	0:00:08.143515
47900	0	-1	0.0	0	0:00:08.150318
48000	9	9	0.563	1	0:00:08.146766
48100	6	2	0.0494	0	0:00:08.148693
48200	3	-1	0.0	0	0:00:08.148194
48300	5	-1	0.0	0	0:00:08.147897
48400	0	0	0.224	1	0:00:08.146931
48500	4	4	0.507	1	0:00:08.146409
48600	3	2	0.0566	0	0:00:08.150341
48700	3	3	0.526	1	0:00:08.153401
48800	0	0	0.935	1	0:00:08.147240
48900	2	4	0.162	0	0:00:08.151349
49000	8	8	0.953	1	0:00:08.151981
49100	9	1	0.0663	0	0:00:08.154913
49200	8	8	0.679	1	0:00:08.150808
49300	5	-1	0.0	0	0:00:08.160263
49400	6	6	0.953	1	0:00:08.158802
49500	9	9	0.679	1	0:00:08.161469
49600	8	8	0.257	1	0:00:08.157393
49700	0	0	0.783	1	0:00:08.157538
49800	1	1	0.953	1	0:00:08.162970
49900	8	8	0.922	1	0:00:08.161530
