idx	label	predict	radius	correct	time
40000	3	2	0.64	0	0:00:08.076239
40100	4	2	0.61	0	0:00:08.075109
40200	5	2	0.529	0	0:00:08.083008
40300	6	4	0.208	0	0:00:08.076489
40400	9	2	0.348	0	0:00:08.079327
40500	4	2	0.0749	0	0:00:08.084620
40600	8	0	0.443	0	0:00:08.077586
40700	7	4	0.226	0	0:00:08.078545
40800	7	2	0.511	0	0:00:08.076629
40900	2	4	0.935	0	0:00:08.078229
41000	5	2	0.489	0	0:00:08.078273
41100	7	0	0.19	0	0:00:08.080006
41200	8	0	0.0293	0	0:00:08.081094
41300	4	3	0.953	0	0:00:08.076077
41400	5	2	0.577	0	0:00:08.077567
41500	1	2	0.208	0	0:00:08.078363
41600	8	2	0.142	0	0:00:08.078684
41700	5	2	0.869	0	0:00:08.080537
41800	4	0	0.29	0	0:00:08.078969
41900	8	8	0.614	1	0:00:08.079284
42000	1	4	0.23	0	0:00:08.077640
42100	2	2	0.0206	1	0:00:08.079665
42200	0	0	0.953	1	0:00:08.081162
42300	3	4	0.279	0	0:00:08.078436
42400	0	0	0.636	1	0:00:08.081140
42500	4	4	0.0863	1	0:00:08.081094
42600	8	8	0.0982	1	0:00:08.077491
42700	9	8	0.0207	0	0:00:08.079495
42800	4	4	0.214	1	0:00:08.079008
42900	3	4	0.0443	0	0:00:08.078972
43000	5	4	0.349	0	0:00:08.078999
43100	0	0	0.953	1	0:00:08.077219
43200	5	4	0.953	0	0:00:08.079255
43300	4	2	0.428	0	0:00:08.077733
43400	6	6	0.205	1	0:00:08.077323
43500	1	2	0.362	0	0:00:08.077406
43600	4	2	0.781	0	0:00:08.076692
43700	3	4	0.243	0	0:00:08.077019
43800	9	0	0.113	0	0:00:08.076078
43900	3	0	0.368	0	0:00:08.079865
44000	8	2	0.57	0	0:00:08.078760
44100	7	4	0.5	0	0:00:08.074811
44200	4	2	0.306	0	0:00:08.074925
44300	8	0	0.688	0	0:00:08.075338
44400	3	2	0.097	0	0:00:08.075355
44500	3	2	0.0856	0	0:00:08.073979
44600	4	4	0.858	1	0:00:08.075283
44700	6	2	0.431	0	0:00:08.074994
44800	9	2	0.0405	0	0:00:08.076274
44900	3	2	0.222	0	0:00:08.074049
45000	7	2	0.292	0	0:00:08.074103
45100	3	2	0.0886	0	0:00:08.073684
45200	3	6	0.245	0	0:00:08.075302
45300	9	2	0.132	0	0:00:08.074473
45400	9	2	0.442	0	0:00:08.075512
45500	8	0	0.00703	0	0:00:08.080452
45600	6	4	0.427	0	0:00:08.077813
45700	3	2	0.731	0	0:00:08.076084
45800	2	4	0.0179	0	0:00:08.076349
45900	4	2	0.598	0	0:00:08.073054
46000	8	2	0.29	0	0:00:08.076057
46100	1	2	0.647	0	0:00:08.075140
46200	3	0	0.678	0	0:00:08.076699
46300	1	2	0.166	0	0:00:08.077754
46400	0	2	0.0397	0	0:00:08.076396
46500	7	2	0.133	0	0:00:08.077281
46600	7	2	0.262	0	0:00:08.078257
46700	6	4	0.485	0	0:00:08.075987
46800	6	4	0.713	0	0:00:08.074860
46900	3	2	0.25	0	0:00:08.078891
47000	2	0	0.316	0	0:00:08.077529
47100	9	-1	0.0	0	0:00:08.075551
47200	4	2	0.517	0	0:00:08.075261
47300	3	2	0.506	0	0:00:08.075991
47400	3	4	0.199	0	0:00:08.076089
47500	6	2	0.134	0	0:00:08.077258
47600	8	0	0.111	0	0:00:08.074425
47700	6	6	0.564	1	0:00:08.075963
47800	0	0	0.953	1	0:00:08.079504
47900	0	2	0.324	0	0:00:08.076765
48000	9	2	0.0478	0	0:00:08.075078
48100	6	4	0.594	0	0:00:08.074169
48200	3	2	0.285	0	0:00:08.073343
48300	5	2	0.405	0	0:00:08.072762
48400	0	8	0.405	0	0:00:08.074651
48500	4	4	0.711	1	0:00:08.075280
48600	3	4	0.205	0	0:00:08.074991
48700	3	2	0.706	0	0:00:08.074679
48800	0	0	0.953	1	0:00:08.076379
48900	2	4	0.369	0	0:00:08.073152
49000	8	0	0.881	0	0:00:08.075109
49100	9	4	0.128	0	0:00:08.071896
49200	8	0	0.308	0	0:00:08.073325
49300	5	4	0.114	0	0:00:08.076999
49400	6	2	0.286	0	0:00:08.073565
49500	9	2	0.325	0	0:00:08.073853
49600	8	8	0.569	1	0:00:08.072607
49700	0	0	0.905	1	0:00:08.073860
49800	1	0	0.308	0	0:00:08.076941
49900	8	0	0.227	0	0:00:08.076242
