idx	label	predict	radius	correct	time
40000	3	3	0.886	1	0:00:08.062506
40100	4	4	0.149	1	0:00:08.061981
40200	5	5	0.913	1	0:00:08.065298
40300	6	6	0.953	1	0:00:08.062144
40400	9	9	0.953	1	0:00:08.066903
40500	4	6	0.499	0	0:00:08.067825
40600	8	8	0.235	1	0:00:08.063216
40700	7	7	0.922	1	0:00:08.069896
40800	7	7	0.953	1	0:00:08.066299
40900	2	6	0.367	0	0:00:08.059386
41000	5	5	0.922	1	0:00:08.066391
41100	7	8	0.0679	0	0:00:08.067830
41200	8	8	0.476	1	0:00:08.067190
41300	4	3	0.711	0	0:00:08.056853
41400	5	3	0.457	0	0:00:08.062756
41500	1	1	0.877	1	0:00:08.066652
41600	8	9	0.0456	0	0:00:08.064950
41700	5	3	0.221	0	0:00:08.065632
41800	4	4	0.0746	1	0:00:08.064639
41900	8	8	0.953	1	0:00:08.067338
42000	1	1	0.0663	1	0:00:08.066550
42100	2	2	0.69	1	0:00:08.061229
42200	0	0	0.209	1	0:00:08.063236
42300	3	4	0.198	0	0:00:08.059334
42400	0	0	0.721	1	0:00:08.063277
42500	4	4	0.469	1	0:00:08.060144
42600	8	8	0.869	1	0:00:08.064822
42700	9	9	0.858	1	0:00:08.066284
42800	4	4	0.634	1	0:00:08.061823
42900	3	5	0.019	0	0:00:08.062816
43000	5	5	0.953	1	0:00:08.061809
43100	0	0	0.953	1	0:00:08.056478
43200	5	5	0.796	1	0:00:08.063042
43300	4	4	0.464	1	0:00:08.063031
43400	6	6	0.0318	1	0:00:08.061750
43500	1	1	0.367	1	0:00:08.066366
43600	4	2	0.291	0	0:00:08.063726
43700	3	3	0.736	1	0:00:08.062881
43800	9	9	0.0922	1	0:00:08.065161
43900	3	3	0.334	1	0:00:08.066038
44000	8	0	0.0574	0	0:00:08.065981
44100	7	7	0.953	1	0:00:08.066929
44200	4	4	0.604	1	0:00:08.060922
44300	8	8	0.953	1	0:00:08.066074
44400	3	-1	0.0	0	0:00:08.062301
44500	3	5	0.489	0	0:00:08.065545
44600	4	7	0.775	0	0:00:08.068321
44700	6	5	0.0257	0	0:00:08.066975
44800	9	9	0.953	1	0:00:08.068747
44900	3	3	0.502	1	0:00:08.066866
45000	7	7	0.953	1	0:00:08.070767
45100	3	3	0.953	1	0:00:08.065855
45200	3	3	0.953	1	0:00:08.066041
45300	9	9	0.17	1	0:00:08.068330
45400	9	9	0.247	1	0:00:08.068188
45500	8	8	0.686	1	0:00:08.065556
45600	6	5	0.00477	0	0:00:08.063508
45700	3	3	0.211	1	0:00:08.065630
45800	2	2	0.592	1	0:00:08.067467
45900	4	3	0.101	0	0:00:08.061671
46000	8	8	0.862	1	0:00:08.064943
46100	1	1	0.819	1	0:00:08.065300
46200	3	3	0.849	1	0:00:08.067851
46300	1	1	0.38	1	0:00:08.065080
46400	0	0	0.0792	1	0:00:08.066304
46500	7	6	0.454	0	0:00:08.065759
46600	7	7	0.953	1	0:00:08.070934
46700	6	6	0.728	1	0:00:08.066035
46800	6	6	0.458	1	0:00:08.063020
46900	3	3	0.892	1	0:00:08.068938
47000	2	-1	0.0	0	0:00:08.063865
47100	9	3	0.32	0	0:00:08.067705
47200	4	4	0.0792	1	0:00:08.065069
47300	3	5	0.204	0	0:00:08.069305
47400	3	5	0.0208	0	0:00:08.068362
47500	6	6	0.953	1	0:00:08.070248
47600	8	9	0.0809	0	0:00:08.063064
47700	6	6	0.953	1	0:00:08.060356
47800	0	0	0.935	1	0:00:08.059319
47900	0	8	0.634	0	0:00:08.066622
48000	9	9	0.935	1	0:00:08.066437
48100	6	2	0.274	0	0:00:08.066519
48200	3	6	0.0272	0	0:00:08.061842
48300	5	2	0.0733	0	0:00:08.059213
48400	0	0	0.384	1	0:00:08.058269
48500	4	4	0.953	1	0:00:08.054830
48600	3	3	0.13	1	0:00:08.059791
48700	3	3	0.644	1	0:00:08.055989
48800	0	0	0.953	1	0:00:08.058212
48900	2	2	0.149	1	0:00:08.054882
49000	8	8	0.953	1	0:00:08.058426
49100	9	1	0.667	0	0:00:08.056963
49200	8	8	0.898	1	0:00:08.053461
49300	5	4	0.119	0	0:00:08.058059
49400	6	6	0.831	1	0:00:08.055351
49500	9	9	0.953	1	0:00:08.059936
49600	8	8	0.484	1	0:00:08.054481
49700	0	0	0.622	1	0:00:08.056371
49800	1	1	0.898	1	0:00:08.060978
49900	8	8	0.597	1	0:00:08.055965
