idx	label	predict	radius	correct	time
40000	3	3	0.0762	1	0:00:08.080981
40100	4	2	0.514	0	0:00:08.079555
40200	5	5	0.525	1	0:00:08.082621
40300	6	6	0.479	1	0:00:08.078497
40400	9	3	0.1	0	0:00:08.081172
40500	4	6	0.253	0	0:00:08.081752
40600	8	4	0.649	0	0:00:08.080112
40700	7	5	0.406	0	0:00:08.079681
40800	7	5	0.331	0	0:00:08.080620
40900	2	6	0.616	0	0:00:08.077606
41000	5	2	0.0673	0	0:00:08.079073
41100	7	-1	0.0	0	0:00:08.077755
41200	8	5	0.0602	0	0:00:08.081407
41300	4	0	0.338	0	0:00:08.072538
41400	5	-1	0.0	0	0:00:08.076425
41500	1	4	0.239	0	0:00:08.075651
41600	8	6	0.803	0	0:00:08.074303
41700	5	4	0.898	0	0:00:08.073040
41800	4	8	0.314	0	0:00:08.074426
41900	8	8	0.479	1	0:00:08.074541
42000	1	3	0.261	0	0:00:08.079716
42100	2	4	0.744	0	0:00:08.074033
42200	0	0	0.352	1	0:00:08.075113
42300	3	6	0.0614	0	0:00:08.072504
42400	0	0	0.298	1	0:00:08.076548
42500	4	4	0.123	1	0:00:08.074741
42600	8	-1	0.0	0	0:00:08.073509
42700	9	3	0.567	0	0:00:08.078531
42800	4	4	0.796	1	0:00:08.075755
42900	3	-1	0.0	0	0:00:08.072736
43000	5	6	0.26	0	0:00:08.071375
43100	0	4	0.335	0	0:00:08.070399
43200	5	5	0.511	1	0:00:08.074450
43300	4	4	0.482	1	0:00:08.074633
43400	6	4	0.953	0	0:00:08.071496
43500	1	4	0.309	0	0:00:08.077356
43600	4	2	0.456	0	0:00:08.073344
43700	3	3	0.0499	1	0:00:08.072233
43800	9	-1	0.0	0	0:00:08.073257
43900	3	3	0.164	1	0:00:08.075825
44000	8	4	0.51	0	0:00:08.072824
44100	7	-1	0.0	0	0:00:08.075910
44200	4	4	0.501	1	0:00:08.075709
44300	8	8	0.048	1	0:00:08.079425
44400	3	4	0.272	0	0:00:08.074812
44500	3	4	0.203	0	0:00:08.074524
44600	4	2	0.095	0	0:00:08.075229
44700	6	-1	0.0	0	0:00:08.074883
44800	9	8	0.55	0	0:00:08.079484
44900	3	3	0.034	1	0:00:08.080842
45000	7	-1	0.0	0	0:00:08.083517
45100	3	4	0.0557	0	0:00:08.078707
45200	3	3	0.101	1	0:00:08.079674
45300	9	3	0.146	0	0:00:08.081649
45400	9	4	0.634	0	0:00:08.080399
45500	8	8	0.099	1	0:00:08.081436
45600	6	2	0.191	0	0:00:08.080219
45700	3	4	0.184	0	0:00:08.079025
45800	2	2	0.102	1	0:00:08.083099
45900	4	5	0.428	0	0:00:08.078757
46000	8	3	0.0663	0	0:00:08.081828
46100	1	2	0.124	0	0:00:08.082398
46200	3	-1	0.0	0	0:00:08.084162
46300	1	3	0.206	0	0:00:08.085121
46400	0	4	0.565	0	0:00:08.083312
46500	7	4	0.0671	0	0:00:08.083262
46600	7	5	0.483	0	0:00:08.088624
46700	6	4	0.00787	0	0:00:08.086003
46800	6	3	0.369	0	0:00:08.083911
46900	3	4	0.0214	0	0:00:08.087755
47000	2	3	0.74	0	0:00:08.083302
47100	9	3	0.4	0	0:00:08.085526
47200	4	4	0.799	1	0:00:08.083641
47300	3	4	0.0976	0	0:00:08.094254
47400	3	3	0.953	1	0:00:08.085802
47500	6	6	0.436	1	0:00:08.089592
47600	8	2	0.271	0	0:00:08.086143
47700	6	6	0.849	1	0:00:08.088027
47800	0	5	0.0756	0	0:00:08.088640
47900	0	4	0.296	0	0:00:08.089560
48000	9	6	0.662	0	0:00:08.091355
48100	6	2	0.431	0	0:00:08.092318
48200	3	2	0.145	0	0:00:08.091287
48300	5	4	0.244	0	0:00:08.088909
48400	0	-1	0.0	0	0:00:08.091331
48500	4	4	0.0132	1	0:00:08.087133
48600	3	4	0.0457	0	0:00:08.090994
48700	3	3	0.597	1	0:00:08.090335
48800	0	0	0.308	1	0:00:08.096030
48900	2	4	0.138	0	0:00:08.087710
49000	8	2	0.0751	0	0:00:08.091013
49100	9	5	0.372	0	0:00:08.088562
49200	8	8	0.702	1	0:00:08.088338
49300	5	4	0.527	0	0:00:08.091073
49400	6	6	0.753	1	0:00:08.087544
49500	9	-1	0.0	0	0:00:08.087859
49600	8	8	0.54	1	0:00:08.091699
49700	0	6	0.0432	0	0:00:08.087721
49800	1	9	0.714	0	0:00:08.092818
49900	8	4	0.334	0	0:00:08.088837
