idx	label	predict	radius	correct	time
40000	3	3	0.922	1	0:00:08.048600
40100	4	4	0.0568	1	0:00:08.047112
40200	5	5	0.816	1	0:00:08.050218
40300	6	6	0.922	1	0:00:08.047369
40400	9	9	0.953	1	0:00:08.051314
40500	4	6	0.343	0	0:00:08.049530
40600	8	8	0.494	1	0:00:08.050683
40700	7	7	0.953	1	0:00:08.053956
40800	7	7	0.953	1	0:00:08.049443
40900	2	6	0.317	0	0:00:08.044507
41000	5	5	0.953	1	0:00:08.048439
41100	7	-1	0.0	0	0:00:08.049560
41200	8	8	0.266	1	0:00:08.050268
41300	4	3	0.742	0	0:00:08.041369
41400	5	3	0.292	0	0:00:08.045708
41500	1	1	0.953	1	0:00:08.051981
41600	8	9	0.4	0	0:00:08.052721
41700	5	3	0.0825	0	0:00:08.051406
41800	4	4	0.0208	1	0:00:08.049001
41900	8	8	0.953	1	0:00:08.049249
42000	1	1	0.38	1	0:00:08.049265
42100	2	2	0.692	1	0:00:08.047643
42200	0	0	0.154	1	0:00:08.048380
42300	3	4	0.028	0	0:00:08.046885
42400	0	0	0.862	1	0:00:08.050276
42500	4	4	0.582	1	0:00:08.047435
42600	8	8	0.953	1	0:00:08.051081
42700	9	9	0.679	1	0:00:08.053146
42800	4	4	0.435	1	0:00:08.047341
42900	3	5	0.185	0	0:00:08.050439
43000	5	5	0.953	1	0:00:08.050472
43100	0	0	0.953	1	0:00:08.044668
43200	5	5	0.736	1	0:00:08.050367
43300	4	4	0.308	1	0:00:08.049295
43400	6	4	0.68	0	0:00:08.048849
43500	1	1	0.456	1	0:00:08.051023
43600	4	2	0.542	0	0:00:08.050830
43700	3	3	0.935	1	0:00:08.050977
43800	9	9	0.595	1	0:00:08.051866
43900	3	3	0.0963	1	0:00:08.051358
44000	8	0	0.0599	0	0:00:08.051355
44100	7	7	0.953	1	0:00:08.051211
44200	4	4	0.543	1	0:00:08.048055
44300	8	8	0.953	1	0:00:08.048723
44400	3	-1	0.0	0	0:00:08.047843
44500	3	5	0.0734	0	0:00:08.049962
44600	4	7	0.343	0	0:00:08.050920
44700	6	-1	0.0	0	0:00:08.050972
44800	9	9	0.953	1	0:00:08.052596
44900	3	3	0.393	1	0:00:08.050410
45000	7	7	0.953	1	0:00:08.052932
45100	3	3	0.953	1	0:00:08.050152
45200	3	3	0.953	1	0:00:08.048274
45300	9	9	0.632	1	0:00:08.049913
45400	9	9	0.22	1	0:00:08.051183
45500	8	8	0.905	1	0:00:08.050271
45600	6	5	0.237	0	0:00:08.048373
45700	3	5	0.0945	0	0:00:08.050807
45800	2	2	0.775	1	0:00:08.049868
45900	4	3	0.214	0	0:00:08.046667
46000	8	8	0.728	1	0:00:08.048810
46100	1	1	0.953	1	0:00:08.051243
46200	3	3	0.752	1	0:00:08.052597
46300	1	1	0.831	1	0:00:08.051403
46400	0	-1	0.0	0	0:00:08.049045
46500	7	6	0.408	0	0:00:08.048805
46600	7	7	0.953	1	0:00:08.053328
46700	6	6	0.892	1	0:00:08.050555
46800	6	6	0.297	1	0:00:08.048796
46900	3	3	0.953	1	0:00:08.053645
47000	2	8	0.188	0	0:00:08.048577
47100	9	9	0.171	1	0:00:08.050837
47200	4	4	0.102	1	0:00:08.050253
47300	3	5	0.172	0	0:00:08.052724
47400	3	3	0.0455	1	0:00:08.053416
47500	6	6	0.953	1	0:00:08.053744
47600	8	9	0.387	0	0:00:08.048735
47700	6	6	0.953	1	0:00:08.048750
47800	0	0	0.953	1	0:00:08.049403
47900	0	8	0.681	0	0:00:08.050098
48000	9	9	0.953	1	0:00:08.050531
48100	6	2	0.39	0	0:00:08.051013
48200	3	6	0.0776	0	0:00:08.051773
48300	5	2	0.088	0	0:00:08.050388
48400	0	0	0.389	1	0:00:08.049388
48500	4	4	0.953	1	0:00:08.046283
48600	3	3	0.294	1	0:00:08.049391
48700	3	3	0.478	1	0:00:08.048260
48800	0	0	0.953	1	0:00:08.048159
48900	2	2	0.0173	1	0:00:08.046003
49000	8	8	0.953	1	0:00:08.049977
49100	9	1	0.578	0	0:00:08.049101
49200	8	8	0.935	1	0:00:08.047353
49300	5	3	0.107	0	0:00:08.049413
49400	6	6	0.858	1	0:00:08.048144
49500	9	9	0.953	1	0:00:08.049644
49600	8	8	0.553	1	0:00:08.046750
49700	0	0	0.922	1	0:00:08.048272
49800	1	1	0.953	1	0:00:08.052922
49900	8	8	0.953	1	0:00:08.049432
