idx	label	predict	radius	correct	time
40000	3	3	0.763	1	0:00:08.085629
40100	4	4	0.12	1	0:00:08.078110
40200	5	5	0.731	1	0:00:08.084407
40300	6	6	0.686	1	0:00:08.082268
40400	9	9	0.953	1	0:00:08.089729
40500	4	4	0.198	1	0:00:08.083314
40600	8	4	0.308	0	0:00:08.085171
40700	7	7	0.953	1	0:00:08.088889
40800	7	7	0.953	1	0:00:08.085291
40900	2	6	0.443	0	0:00:08.077970
41000	5	5	0.953	1	0:00:08.081581
41100	7	8	0.199	0	0:00:08.083633
41200	8	0	0.444	0	0:00:08.082736
41300	4	3	0.665	0	0:00:08.073333
41400	5	3	0.129	0	0:00:08.079551
41500	1	1	0.898	1	0:00:08.084045
41600	8	-1	0.0	0	0:00:08.079394
41700	5	5	0.0654	1	0:00:08.079368
41800	4	4	0.124	1	0:00:08.081309
41900	8	8	0.953	1	0:00:08.082844
42000	1	1	0.0993	1	0:00:08.080247
42100	2	2	0.747	1	0:00:08.077912
42200	0	2	0.0676	0	0:00:08.079061
42300	3	4	0.29	0	0:00:08.076416
42400	0	0	0.913	1	0:00:08.083490
42500	4	4	0.376	1	0:00:08.076844
42600	8	8	0.953	1	0:00:08.082685
42700	9	9	0.277	1	0:00:08.083457
42800	4	4	0.398	1	0:00:08.076640
42900	3	5	0.217	0	0:00:08.084061
43000	5	5	0.953	1	0:00:08.081194
43100	0	0	0.953	1	0:00:08.075124
43200	5	5	0.886	1	0:00:08.083413
43300	4	4	0.313	1	0:00:08.079330
43400	6	4	0.592	0	0:00:08.081183
43500	1	1	0.0205	1	0:00:08.083892
43600	4	2	0.397	0	0:00:08.083121
43700	3	3	0.953	1	0:00:08.083253
43800	9	9	0.193	1	0:00:08.081586
43900	3	-1	0.0	0	0:00:08.083158
44000	8	0	0.155	0	0:00:08.082434
44100	7	7	0.953	1	0:00:08.083989
44200	4	4	0.00493	1	0:00:08.078476
44300	8	8	0.953	1	0:00:08.080706
44400	3	4	0.11	0	0:00:08.078673
44500	3	5	0.104	0	0:00:08.079995
44600	4	4	0.553	1	0:00:08.083976
44700	6	6	0.304	1	0:00:08.083485
44800	9	9	0.953	1	0:00:08.084281
44900	3	3	0.308	1	0:00:08.083967
45000	7	7	0.953	1	0:00:08.083946
45100	3	3	0.953	1	0:00:08.082360
45200	3	3	0.953	1	0:00:08.085604
45300	9	9	0.054	1	0:00:08.078937
45400	9	9	0.229	1	0:00:08.077985
45500	8	8	0.825	1	0:00:08.077336
45600	6	-1	0.0	0	0:00:08.074919
45700	3	3	0.0882	1	0:00:08.079014
45800	2	2	0.0579	1	0:00:08.079294
45900	4	3	0.304	0	0:00:08.074219
46000	8	8	0.788	1	0:00:08.076877
46100	1	1	0.262	1	0:00:08.077795
46200	3	3	0.357	1	0:00:08.079938
46300	1	1	0.905	1	0:00:08.078765
46400	0	4	0.0407	0	0:00:08.074911
46500	7	6	0.404	0	0:00:08.076332
46600	7	7	0.953	1	0:00:08.080828
46700	6	6	0.549	1	0:00:08.079360
46800	6	6	0.248	1	0:00:08.074897
46900	3	3	0.935	1	0:00:08.081255
47000	2	8	0.23	0	0:00:08.073844
47100	9	3	0.0644	0	0:00:08.078418
47200	4	-1	0.0	0	0:00:08.075393
47300	3	3	0.0994	1	0:00:08.077522
47400	3	3	0.164	1	0:00:08.075056
47500	6	6	0.953	1	0:00:08.080806
47600	8	9	0.329	0	0:00:08.073268
47700	6	6	0.953	1	0:00:08.071929
47800	0	0	0.953	1	0:00:08.074886
47900	0	8	0.403	0	0:00:08.077610
48000	9	9	0.935	1	0:00:08.077082
48100	6	2	0.769	0	0:00:08.076444
48200	3	4	0.175	0	0:00:08.082160
48300	5	2	0.457	0	0:00:08.075208
48400	0	0	0.142	1	0:00:08.075278
48500	4	4	0.953	1	0:00:08.074615
48600	3	3	0.342	1	0:00:08.077695
48700	3	3	0.719	1	0:00:08.077445
48800	0	0	0.953	1	0:00:08.081495
48900	2	2	0.193	1	0:00:08.072150
49000	8	8	0.953	1	0:00:08.078793
49100	9	1	0.307	0	0:00:08.077589
49200	8	8	0.869	1	0:00:08.073497
49300	5	3	0.111	0	0:00:08.073911
49400	6	6	0.734	1	0:00:08.072601
49500	9	9	0.596	1	0:00:08.074233
49600	8	8	0.935	1	0:00:08.073421
49700	0	0	0.886	1	0:00:08.074284
49800	1	1	0.953	1	0:00:08.079323
49900	8	8	0.869	1	0:00:08.076731
