idx	label	predict	radius	correct	time
40000	3	3	0.475	1	0:00:08.051224
40100	4	4	0.0716	1	0:00:08.049476
40200	5	5	0.0701	1	0:00:08.055747
40300	6	6	0.453	1	0:00:08.052443
40400	9	9	0.858	1	0:00:08.053294
40500	4	4	0.297	1	0:00:08.053158
40600	8	-1	0.0	0	0:00:08.056569
40700	7	7	0.785	1	0:00:08.050687
40800	7	7	0.778	1	0:00:08.052105
40900	2	-1	0.0	0	0:00:08.049527
41000	5	5	0.361	1	0:00:08.053087
41100	7	0	0.00333	0	0:00:08.055846
41200	8	8	0.104	1	0:00:08.054165
41300	4	4	0.249	1	0:00:08.048706
41400	5	5	0.0287	1	0:00:08.053129
41500	1	1	0.313	1	0:00:08.058879
41600	8	0	0.0646	0	0:00:08.058235
41700	5	5	0.247	1	0:00:08.057444
41800	4	0	0.232	0	0:00:08.055737
41900	8	8	0.953	1	0:00:08.056273
42000	1	-1	0.0	0	0:00:08.059367
42100	2	2	0.823	1	0:00:08.056621
42200	0	0	0.345	1	0:00:08.055818
42300	3	-1	0.0	0	0:00:08.059091
42400	0	0	0.953	1	0:00:08.060018
42500	4	4	0.325	1	0:00:08.059087
42600	8	8	0.935	1	0:00:08.063092
42700	9	1	0.277	0	0:00:08.065145
42800	4	0	0.109	0	0:00:08.065915
42900	3	5	0.116	0	0:00:08.065294
43000	5	3	0.591	0	0:00:08.063171
43100	0	0	0.526	1	0:00:08.060282
43200	5	5	0.647	1	0:00:08.064305
43300	4	-1	0.0	0	0:00:08.063411
43400	6	8	0.0435	0	0:00:08.064609
43500	1	-1	0.0	0	0:00:08.067651
43600	4	3	0.123	0	0:00:08.064690
43700	3	3	0.922	1	0:00:08.066028
43800	9	9	0.19	1	0:00:08.068371
43900	3	6	0.169	0	0:00:08.062460
44000	8	0	0.239	0	0:00:08.063192
44100	7	7	0.953	1	0:00:08.066107
44200	4	4	0.0654	1	0:00:08.062528
44300	8	0	0.135	0	0:00:08.066443
44400	3	8	0.149	0	0:00:08.064248
44500	3	3	0.69	1	0:00:08.063598
44600	4	4	0.858	1	0:00:08.065987
44700	6	6	0.00315	1	0:00:08.068787
44800	9	9	0.698	1	0:00:08.069717
44900	3	0	0.232	0	0:00:08.066475
45000	7	7	0.953	1	0:00:08.072547
45100	3	3	0.335	1	0:00:08.069940
45200	3	3	0.174	1	0:00:08.067834
45300	9	9	0.291	1	0:00:08.067630
45400	9	9	0.152	1	0:00:08.071566
45500	8	8	0.608	1	0:00:08.070547
45600	6	0	0.0918	0	0:00:08.068386
45700	3	3	0.431	1	0:00:08.069295
45800	2	2	0.709	1	0:00:08.067309
45900	4	0	0.251	0	0:00:08.064164
46000	8	8	0.357	1	0:00:08.074216
46100	1	1	0.108	1	0:00:08.074330
46200	3	3	0.76	1	0:00:08.070691
46300	1	1	0.199	1	0:00:08.068865
46400	0	0	0.418	1	0:00:08.066253
46500	7	-1	0.0	0	0:00:08.066045
46600	7	7	0.953	1	0:00:08.071417
46700	6	-1	0.0	0	0:00:08.065901
46800	6	6	0.123	1	0:00:08.065513
46900	3	3	0.679	1	0:00:08.067739
47000	2	0	0.0211	0	0:00:08.063708
47100	9	-1	0.0	0	0:00:08.063639
47200	4	5	0.0585	0	0:00:08.066250
47300	3	4	0.0198	0	0:00:08.068155
47400	3	3	0.567	1	0:00:08.064682
47500	6	6	0.953	1	0:00:08.064631
47600	8	-1	0.0	0	0:00:08.063335
47700	6	6	0.168	1	0:00:08.059894
47800	0	0	0.519	1	0:00:08.063869
47900	0	0	0.105	1	0:00:08.063984
48000	9	0	0.0907	0	0:00:08.060171
48100	6	2	0.354	0	0:00:08.062072
48200	3	0	0.264	0	0:00:08.058093
48300	5	5	0.16	1	0:00:08.057887
48400	0	0	0.193	1	0:00:08.057228
48500	4	4	0.656	1	0:00:08.056152
48600	3	0	0.129	0	0:00:08.057542
48700	3	3	0.186	1	0:00:08.055438
48800	0	0	0.575	1	0:00:08.050951
48900	2	2	0.0463	1	0:00:08.055290
49000	8	8	0.953	1	0:00:08.057878
49100	9	3	0.0552	0	0:00:08.055307
49200	8	8	0.34	1	0:00:08.053379
49300	5	5	0.0701	1	0:00:08.053154
49400	6	0	0.0607	0	0:00:08.055298
49500	9	9	0.569	1	0:00:08.053931
49600	8	8	0.28	1	0:00:08.050367
49700	0	0	0.922	1	0:00:08.048976
49800	1	1	0.953	1	0:00:08.061772
49900	8	8	0.479	1	0:00:08.053634
