idx	label	predict	radius	correct	time
40000	3	3	0.922	1	0:00:08.049024
40100	4	4	0.223	1	0:00:08.044843
40200	5	5	0.564	1	0:00:08.052072
40300	6	6	0.898	1	0:00:08.051027
40400	9	9	0.953	1	0:00:08.054221
40500	4	4	0.0371	1	0:00:08.048254
40600	8	8	0.0268	1	0:00:08.052134
40700	7	7	0.781	1	0:00:08.057096
40800	7	7	0.953	1	0:00:08.052928
40900	2	6	0.412	0	0:00:08.049289
41000	5	5	0.807	1	0:00:08.053095
41100	7	8	0.259	0	0:00:08.055229
41200	8	8	0.541	1	0:00:08.061310
41300	4	3	0.602	0	0:00:08.048392
41400	5	3	0.501	0	0:00:08.052090
41500	1	1	0.905	1	0:00:08.061529
41600	8	6	0.133	0	0:00:08.056139
41700	5	5	0.0253	1	0:00:08.057055
41800	4	4	0.0914	1	0:00:08.057524
41900	8	8	0.953	1	0:00:08.056375
42000	1	1	0.0874	1	0:00:08.057398
42100	2	2	0.505	1	0:00:08.059457
42200	0	0	0.134	1	0:00:08.060349
42300	3	2	0.178	0	0:00:08.056652
42400	0	0	0.953	1	0:00:08.060852
42500	4	4	0.352	1	0:00:08.056885
42600	8	8	0.877	1	0:00:08.062143
42700	9	9	0.0258	1	0:00:08.077120
42800	4	4	0.227	1	0:00:08.061324
42900	3	5	0.422	0	0:00:08.060733
43000	5	5	0.862	1	0:00:08.066758
43100	0	0	0.844	1	0:00:08.056821
43200	5	5	0.331	1	0:00:08.066746
43300	4	-1	0.0	0	0:00:08.063464
43400	6	6	0.117	1	0:00:08.068737
43500	1	1	0.0277	1	0:00:08.067269
43600	4	3	0.0786	0	0:00:08.066823
43700	3	3	0.953	1	0:00:08.066965
43800	9	9	0.0974	1	0:00:08.072485
43900	3	6	0.508	0	0:00:08.068530
44000	8	0	0.0318	0	0:00:08.067501
44100	7	7	0.953	1	0:00:08.065904
44200	4	4	0.381	1	0:00:08.072904
44300	8	8	0.736	1	0:00:08.066624
44400	3	-1	0.0	0	0:00:08.066474
44500	3	3	0.152	1	0:00:08.076031
44600	4	4	0.772	1	0:00:08.070538
44700	6	-1	0.0	0	0:00:08.070131
44800	9	9	0.953	1	0:00:08.070513
44900	3	6	0.208	0	0:00:08.067762
45000	7	7	0.898	1	0:00:08.069379
45100	3	3	0.922	1	0:00:08.067174
45200	3	5	0.133	0	0:00:08.066869
45300	9	9	0.531	1	0:00:08.070123
45400	9	9	0.343	1	0:00:08.067527
45500	8	8	0.667	1	0:00:08.063848
45600	6	0	0.152	0	0:00:08.065991
45700	3	3	0.0434	1	0:00:08.064903
45800	2	2	0.869	1	0:00:08.072529
45900	4	3	0.147	0	0:00:08.058731
46000	8	8	0.436	1	0:00:08.066055
46100	1	1	0.648	1	0:00:08.061601
46200	3	3	0.559	1	0:00:08.063054
46300	1	1	0.586	1	0:00:08.063411
46400	0	-1	0.0	0	0:00:08.063183
46500	7	6	0.25	0	0:00:08.060455
46600	7	7	0.953	1	0:00:08.064051
46700	6	6	0.271	1	0:00:08.061586
46800	6	-1	0.0	0	0:00:08.059210
46900	3	3	0.693	1	0:00:08.064266
47000	2	8	0.206	0	0:00:08.057549
47100	9	5	0.251	0	0:00:08.062098
47200	4	4	0.457	1	0:00:08.055335
47300	3	5	0.315	0	0:00:08.061953
47400	3	-1	0.0	0	0:00:08.059797
47500	6	6	0.953	1	0:00:08.062251
47600	8	9	0.0279	0	0:00:08.058270
47700	6	6	0.913	1	0:00:08.054823
47800	0	0	0.29	1	0:00:08.053095
47900	0	8	0.236	0	0:00:08.056146
48000	9	9	0.881	1	0:00:08.055842
48100	6	2	0.124	0	0:00:08.056143
48200	3	4	0.36	0	0:00:08.062431
48300	5	-1	0.0	0	0:00:08.052070
48400	0	0	0.432	1	0:00:08.052623
48500	4	4	0.858	1	0:00:08.050694
48600	3	-1	0.0	0	0:00:08.053817
48700	3	3	0.16	1	0:00:08.053196
48800	0	0	0.735	1	0:00:08.059103
48900	2	2	0.0731	1	0:00:08.052675
49000	8	8	0.953	1	0:00:08.054013
49100	9	1	0.524	0	0:00:08.054626
49200	8	8	0.524	1	0:00:08.052051
49300	5	5	0.146	1	0:00:08.056237
49400	6	6	0.337	1	0:00:08.054555
49500	9	9	0.468	1	0:00:08.055030
49600	8	8	0.412	1	0:00:08.053650
49700	0	0	0.839	1	0:00:08.055235
49800	1	1	0.792	1	0:00:08.062058
49900	8	8	0.555	1	0:00:08.055971
