idx	label	predict	radius	correct	time
40000	3	4	0.37	0	0:00:08.042037
40100	4	2	0.59	0	0:00:08.041376
40200	5	2	0.19	0	0:00:08.046530
40300	6	6	0.953	1	0:00:08.041557
40400	9	2	0.538	0	0:00:08.041772
40500	4	2	0.935	0	0:00:08.040805
40600	8	0	0.159	0	0:00:08.038962
40700	7	2	0.408	0	0:00:08.039539
40800	7	4	0.206	0	0:00:08.038835
40900	2	4	0.666	0	0:00:08.037118
41000	5	2	0.575	0	0:00:08.037623
41100	7	0	0.329	0	0:00:08.037898
41200	8	0	0.618	0	0:00:08.037966
41300	4	3	0.898	0	0:00:08.037063
41400	5	2	0.862	0	0:00:08.036094
41500	1	4	0.121	0	0:00:08.037107
41600	8	4	0.477	0	0:00:08.034780
41700	5	2	0.953	0	0:00:08.035777
41800	4	0	0.643	0	0:00:08.034605
41900	8	0	0.0276	0	0:00:08.039734
42000	1	6	0.543	0	0:00:08.033355
42100	2	6	0.289	0	0:00:08.033843
42200	0	0	0.953	1	0:00:08.033042
42300	3	4	0.0386	0	0:00:08.032412
42400	0	0	0.953	1	0:00:08.033470
42500	4	2	0.0537	0	0:00:08.032385
42600	8	0	0.131	0	0:00:08.031715
42700	9	0	0.246	0	0:00:08.032339
42800	4	4	0.373	1	0:00:08.034080
42900	3	4	0.238	0	0:00:08.030268
43000	5	4	0.255	0	0:00:08.031992
43100	0	0	0.953	1	0:00:08.031518
43200	5	4	0.546	0	0:00:08.030395
43300	4	2	0.241	0	0:00:08.030124
43400	6	6	0.276	1	0:00:08.029820
43500	1	4	0.47	0	0:00:08.031807
43600	4	2	0.873	0	0:00:08.032017
43700	3	2	0.232	0	0:00:08.031280
43800	9	2	0.212	0	0:00:08.031083
43900	3	0	0.702	0	0:00:08.030733
44000	8	2	0.569	0	0:00:08.029352
44100	7	4	0.678	0	0:00:08.029439
44200	4	2	0.935	0	0:00:08.033683
44300	8	0	0.718	0	0:00:08.029861
44400	3	2	0.249	0	0:00:08.038276
44500	3	6	0.0624	0	0:00:08.030795
44600	4	4	0.309	1	0:00:08.031347
44700	6	4	0.0627	0	0:00:08.030014
44800	9	2	0.432	0	0:00:08.034676
44900	3	2	0.239	0	0:00:08.031364
45000	7	-1	0.0	0	0:00:08.032292
45100	3	4	0.231	0	0:00:08.033220
45200	3	6	0.922	0	0:00:08.033970
45300	9	4	0.378	0	0:00:08.034615
45400	9	2	0.64	0	0:00:08.034567
45500	8	2	0.125	0	0:00:08.032386
45600	6	4	0.75	0	0:00:08.034195
45700	3	2	0.199	0	0:00:08.036215
45800	2	4	0.0655	0	0:00:08.035595
45900	4	2	0.478	0	0:00:08.033631
46000	8	2	0.545	0	0:00:08.035738
46100	1	2	0.0586	0	0:00:08.036090
46200	3	0	0.655	0	0:00:08.036211
46300	1	4	0.307	0	0:00:08.037971
46400	0	4	0.443	0	0:00:08.039631
46500	7	2	0.398	0	0:00:08.044386
46600	7	2	0.728	0	0:00:08.039680
46700	6	4	0.497	0	0:00:08.040882
46800	6	-1	0.0	0	0:00:08.040184
46900	3	2	0.0299	0	0:00:08.041711
47000	2	2	0.111	1	0:00:08.042620
47100	9	4	0.367	0	0:00:08.043613
47200	4	2	0.659	0	0:00:08.044506
47300	3	2	0.778	0	0:00:08.044785
47400	3	2	0.0392	0	0:00:08.046486
47500	6	2	0.0667	0	0:00:08.043904
47600	8	2	0.114	0	0:00:08.042200
47700	6	6	0.953	1	0:00:08.043473
47800	0	0	0.953	1	0:00:08.044206
47900	0	2	0.935	0	0:00:08.045324
48000	9	2	0.38	0	0:00:08.046528
48100	6	2	0.248	0	0:00:08.047517
48200	3	2	0.21	0	0:00:08.053093
48300	5	2	0.782	0	0:00:08.045860
48400	0	8	0.0482	0	0:00:08.046618
48500	4	2	0.0581	0	0:00:08.045772
48600	3	4	0.426	0	0:00:08.044392
48700	3	2	0.631	0	0:00:08.045052
48800	0	0	0.953	1	0:00:08.046303
48900	2	4	0.571	0	0:00:08.044997
49000	8	0	0.913	0	0:00:08.046155
49100	9	6	0.37	0	0:00:08.047624
49200	8	0	0.721	0	0:00:08.044745
49300	5	2	0.171	0	0:00:08.042462
49400	6	2	0.413	0	0:00:08.043796
49500	9	4	0.354	0	0:00:08.042851
49600	8	0	0.00224	0	0:00:08.042789
49700	0	0	0.935	1	0:00:08.041349
49800	1	0	0.228	0	0:00:08.042175
49900	8	0	0.514	0	0:00:08.041228
