idx	label	predict	radius	correct	time
40000	3	3	0.935	1	0:00:08.045223
40100	4	5	0.0238	0	0:00:08.044518
40200	5	5	0.953	1	0:00:08.046012
40300	6	6	0.953	1	0:00:08.044160
40400	9	9	0.953	1	0:00:08.049724
40500	4	6	0.395	0	0:00:08.043423
40600	8	8	0.687	1	0:00:08.044780
40700	7	7	0.935	1	0:00:08.041828
40800	7	7	0.953	1	0:00:08.042346
40900	2	6	0.35	0	0:00:08.040011
41000	5	5	0.892	1	0:00:08.042439
41100	7	8	0.5	0	0:00:08.043197
41200	8	8	0.489	1	0:00:08.040440
41300	4	3	0.698	0	0:00:08.036013
41400	5	5	0.281	1	0:00:08.039391
41500	1	1	0.953	1	0:00:08.042797
41600	8	-1	0.0	0	0:00:08.037580
41700	5	2	0.18	0	0:00:08.039901
41800	4	4	0.33	1	0:00:08.038167
41900	8	8	0.953	1	0:00:08.038233
42000	1	6	0.132	0	0:00:08.039493
42100	2	2	0.303	1	0:00:08.037679
42200	0	0	0.953	1	0:00:08.036652
42300	3	6	0.119	0	0:00:08.035501
42400	0	0	0.913	1	0:00:08.037576
42500	4	4	0.41	1	0:00:08.033426
42600	8	8	0.953	1	0:00:08.038461
42700	9	1	0.59	0	0:00:08.037817
42800	4	-1	0.0	0	0:00:08.037460
42900	3	5	0.835	0	0:00:08.038622
43000	5	5	0.953	1	0:00:08.039398
43100	0	0	0.953	1	0:00:08.033837
43200	5	5	0.587	1	0:00:08.037247
43300	4	4	0.331	1	0:00:08.037320
43400	6	6	0.0454	1	0:00:08.037785
43500	1	-1	0.0	0	0:00:08.039267
43600	4	2	0.0802	0	0:00:08.042470
43700	3	3	0.0113	1	0:00:08.041343
43800	9	9	0.181	1	0:00:08.045680
43900	3	6	0.781	0	0:00:08.044713
44000	8	9	0.0273	0	0:00:08.043581
44100	7	7	0.953	1	0:00:08.048219
44200	4	4	0.514	1	0:00:08.045815
44300	8	8	0.953	1	0:00:08.046478
44400	3	6	0.462	0	0:00:08.045562
44500	3	6	0.16	0	0:00:08.049537
44600	4	4	0.759	1	0:00:08.051002
44700	6	-1	0.0	0	0:00:08.048457
44800	9	9	0.953	1	0:00:08.051543
44900	3	6	0.294	0	0:00:08.052968
45000	7	7	0.953	1	0:00:08.053496
45100	3	3	0.401	1	0:00:08.050539
45200	3	3	0.953	1	0:00:08.051550
45300	9	9	0.421	1	0:00:08.053683
45400	9	9	0.455	1	0:00:08.052157
45500	8	8	0.583	1	0:00:08.051816
45600	6	-1	0.0	0	0:00:08.052068
45700	3	5	0.0431	0	0:00:08.053909
45800	2	2	0.469	1	0:00:08.053569
45900	4	-1	0.0	0	0:00:08.051442
46000	8	8	0.475	1	0:00:08.054299
46100	1	1	0.953	1	0:00:08.053167
46200	3	3	0.808	1	0:00:08.051657
46300	1	1	0.935	1	0:00:08.054387
46400	0	-1	0.0	0	0:00:08.054774
46500	7	6	0.657	0	0:00:08.052124
46600	7	7	0.953	1	0:00:08.055230
46700	6	6	0.852	1	0:00:08.051954
46800	6	6	0.457	1	0:00:08.049102
46900	3	3	0.394	1	0:00:08.055563
47000	2	2	0.0531	1	0:00:08.049101
47100	9	2	0.26	0	0:00:08.051427
47200	4	6	0.379	0	0:00:08.047727
47300	3	4	0.222	0	0:00:08.049440
47400	3	3	0.0775	1	0:00:08.049131
47500	6	6	0.953	1	0:00:08.052606
47600	8	9	0.341	0	0:00:08.045994
47700	6	6	0.953	1	0:00:08.047004
47800	0	0	0.823	1	0:00:08.043880
47900	0	8	0.635	0	0:00:08.045341
48000	9	9	0.953	1	0:00:08.055678
48100	6	2	0.858	0	0:00:08.046923
48200	3	6	0.36	0	0:00:08.045887
48300	5	4	0.0148	0	0:00:08.043905
48400	0	0	0.397	1	0:00:08.044073
48500	4	4	0.953	1	0:00:08.041785
48600	3	5	0.302	0	0:00:08.046377
48700	3	5	0.0277	0	0:00:08.045679
48800	0	0	0.953	1	0:00:08.045297
48900	2	4	0.283	0	0:00:08.045416
49000	8	8	0.953	1	0:00:08.047505
49100	9	1	0.266	0	0:00:08.049332
49200	8	8	0.814	1	0:00:08.046387
49300	5	5	0.316	1	0:00:08.048947
49400	6	6	0.624	1	0:00:08.048725
49500	9	9	0.618	1	0:00:08.052796
49600	8	8	0.634	1	0:00:08.050108
49700	0	0	0.786	1	0:00:08.050930
49800	1	1	0.953	1	0:00:08.056138
49900	8	8	0.886	1	0:00:08.053393
