idx	label	predict	radius	correct	time
40000	3	3	0.816	1	0:00:08.054319
40100	4	5	0.226	0	0:00:08.051630
40200	5	5	0.922	1	0:00:08.058530
40300	6	6	0.953	1	0:00:08.053960
40400	9	9	0.953	1	0:00:08.059296
40500	4	6	0.227	0	0:00:08.056169
40600	8	8	0.414	1	0:00:08.055991
40700	7	7	0.953	1	0:00:08.056355
40800	7	7	0.953	1	0:00:08.056202
40900	2	6	0.632	0	0:00:08.053354
41000	5	5	0.953	1	0:00:08.058413
41100	7	8	0.0601	0	0:00:08.058402
41200	8	8	0.379	1	0:00:08.060458
41300	4	3	0.685	0	0:00:08.053427
41400	5	5	0.512	1	0:00:08.054156
41500	1	1	0.953	1	0:00:08.062322
41600	8	9	0.072	0	0:00:08.056125
41700	5	5	0.467	1	0:00:08.057442
41800	4	4	0.341	1	0:00:08.055540
41900	8	8	0.953	1	0:00:08.056513
42000	1	1	0.23	1	0:00:08.056372
42100	2	2	0.223	1	0:00:08.056528
42200	0	0	0.953	1	0:00:08.055572
42300	3	6	0.0278	0	0:00:08.053999
42400	0	0	0.953	1	0:00:08.057631
42500	4	4	0.118	1	0:00:08.053596
42600	8	8	0.953	1	0:00:08.056780
42700	9	9	0.214	1	0:00:08.060873
42800	4	4	0.171	1	0:00:08.053010
42900	3	5	0.435	0	0:00:08.055768
43000	5	5	0.953	1	0:00:08.054583
43100	0	0	0.953	1	0:00:08.052019
43200	5	5	0.922	1	0:00:08.056963
43300	4	4	0.128	1	0:00:08.051161
43400	6	4	0.133	0	0:00:08.051742
43500	1	1	0.407	1	0:00:08.057755
43600	4	2	0.413	0	0:00:08.053966
43700	3	3	0.0635	1	0:00:08.050995
43800	9	9	0.805	1	0:00:08.051150
43900	3	6	0.579	0	0:00:08.050220
44000	8	-1	0.0	0	0:00:08.048420
44100	7	7	0.953	1	0:00:08.049782
44200	4	4	0.255	1	0:00:08.045302
44300	8	8	0.953	1	0:00:08.046419
44400	3	6	0.366	0	0:00:08.045019
44500	3	5	0.257	0	0:00:08.047246
44600	4	4	0.575	1	0:00:08.048315
44700	6	-1	0.0	0	0:00:08.044708
44800	9	9	0.953	1	0:00:08.048185
44900	3	5	0.0252	0	0:00:08.046007
45000	7	7	0.953	1	0:00:08.046313
45100	3	3	0.953	1	0:00:08.044367
45200	3	3	0.953	1	0:00:08.043560
45300	9	9	0.688	1	0:00:08.044481
45400	9	9	0.8	1	0:00:08.043943
45500	8	8	0.562	1	0:00:08.044634
45600	6	-1	0.0	0	0:00:08.041028
45700	3	5	0.653	0	0:00:08.042711
45800	2	2	0.804	1	0:00:08.040718
45900	4	-1	0.0	0	0:00:08.037506
46000	8	8	0.707	1	0:00:08.038474
46100	1	1	0.751	1	0:00:08.039889
46200	3	3	0.799	1	0:00:08.039850
46300	1	1	0.881	1	0:00:08.039629
46400	0	0	0.12	1	0:00:08.039767
46500	7	6	0.584	0	0:00:08.045974
46600	7	7	0.953	1	0:00:08.043777
46700	6	6	0.913	1	0:00:08.040458
46800	6	6	0.443	1	0:00:08.038982
46900	3	3	0.783	1	0:00:08.044908
47000	2	0	0.0332	0	0:00:08.039483
47100	9	2	0.423	0	0:00:08.043313
47200	4	6	0.516	0	0:00:08.042110
47300	3	4	0.347	0	0:00:08.042559
47400	3	3	0.0258	1	0:00:08.042791
47500	6	6	0.953	1	0:00:08.045845
47600	8	9	0.617	0	0:00:08.041948
47700	6	6	0.953	1	0:00:08.041944
47800	0	0	0.935	1	0:00:08.043089
47900	0	2	0.0707	0	0:00:08.046133
48000	9	9	0.953	1	0:00:08.045324
48100	6	2	0.81	0	0:00:08.045897
48200	3	6	0.273	0	0:00:08.045677
48300	5	-1	0.0	0	0:00:08.043121
48400	0	0	0.441	1	0:00:08.044068
48500	4	4	0.953	1	0:00:08.042812
48600	3	5	0.477	0	0:00:08.050344
48700	3	3	0.881	1	0:00:08.048013
48800	0	0	0.953	1	0:00:08.046865
48900	2	4	0.258	0	0:00:08.046540
49000	8	8	0.953	1	0:00:08.056755
49100	9	1	0.197	0	0:00:08.050215
49200	8	8	0.726	1	0:00:08.046709
49300	5	5	0.219	1	0:00:08.052896
49400	6	6	0.953	1	0:00:08.049856
49500	9	9	0.953	1	0:00:08.054250
49600	8	8	0.645	1	0:00:08.051458
49700	0	0	0.833	1	0:00:08.052291
49800	1	1	0.953	1	0:00:08.057635
49900	8	8	0.953	1	0:00:08.053874
