idx	label	predict	radius	correct	time
40000	3	3	0.0717	1	0:00:08.042667
40100	4	5	0.188	0	0:00:08.041060
40200	5	5	0.771	1	0:00:08.043348
40300	6	6	0.935	1	0:00:08.043557
40400	9	9	0.953	1	0:00:08.046746
40500	4	-1	0.0	0	0:00:08.043175
40600	8	8	0.778	1	0:00:08.043635
40700	7	7	0.953	1	0:00:08.045938
40800	7	7	0.953	1	0:00:08.047274
40900	2	6	0.0486	0	0:00:08.044639
41000	5	5	0.615	1	0:00:08.044770
41100	7	8	0.557	0	0:00:08.044505
41200	8	8	0.953	1	0:00:08.046340
41300	4	3	0.807	0	0:00:08.044641
41400	5	5	0.953	1	0:00:08.044393
41500	1	9	0.185	0	0:00:08.049145
41600	8	9	0.000194	0	0:00:08.050765
41700	5	5	0.57	1	0:00:08.049206
41800	4	8	0.0957	0	0:00:08.048239
41900	8	8	0.953	1	0:00:08.048573
42000	1	1	0.922	1	0:00:08.049644
42100	2	2	0.274	1	0:00:08.050106
42200	0	0	0.953	1	0:00:08.048580
42300	3	3	0.169	1	0:00:08.052201
42400	0	0	0.953	1	0:00:08.053680
42500	4	6	0.478	0	0:00:08.052285
42600	8	8	0.922	1	0:00:08.052781
42700	9	3	0.0748	0	0:00:08.057110
42800	4	6	0.0577	0	0:00:08.052489
42900	3	5	0.953	0	0:00:08.058420
43000	5	5	0.953	1	0:00:08.059404
43100	0	0	0.953	1	0:00:08.055500
43200	5	5	0.195	1	0:00:08.059217
43300	4	3	0.392	0	0:00:08.056207
43400	6	4	0.147	0	0:00:08.060029
43500	1	1	0.0856	1	0:00:08.058608
43600	4	2	0.05	0	0:00:08.057524
43700	3	-1	0.0	0	0:00:08.056250
43800	9	3	0.258	0	0:00:08.059494
43900	3	3	0.0988	1	0:00:08.055835
44000	8	-1	0.0	0	0:00:08.058284
44100	7	7	0.953	1	0:00:08.059399
44200	4	0	0.0431	0	0:00:08.054167
44300	8	8	0.221	1	0:00:08.054005
44400	3	5	0.011	0	0:00:08.052215
44500	3	6	0.0948	0	0:00:08.055872
44600	4	4	0.366	1	0:00:08.058051
44700	6	5	0.000933	0	0:00:08.055819
44800	9	9	0.953	1	0:00:08.056472
44900	3	1	0.551	0	0:00:08.053652
45000	7	7	0.953	1	0:00:08.062571
45100	3	3	0.813	1	0:00:08.057865
45200	3	3	0.953	1	0:00:08.053911
45300	9	9	0.953	1	0:00:08.054666
45400	9	9	0.814	1	0:00:08.052395
45500	8	8	0.0234	1	0:00:08.053713
45600	6	-1	0.0	0	0:00:08.049618
45700	3	3	0.595	1	0:00:08.051131
45800	2	2	0.582	1	0:00:08.050598
45900	4	5	0.303	0	0:00:08.047293
46000	8	9	0.239	0	0:00:08.049966
46100	1	1	0.922	1	0:00:08.050858
46200	3	3	0.922	1	0:00:08.046601
46300	1	1	0.0501	1	0:00:08.048325
46400	0	8	0.678	0	0:00:08.047041
46500	7	0	0.243	0	0:00:08.046031
46600	7	7	0.953	1	0:00:08.047542
46700	6	6	0.953	1	0:00:08.045372
46800	6	3	0.398	0	0:00:08.043689
46900	3	0	0.613	0	0:00:08.047948
47000	2	5	0.55	0	0:00:08.043642
47100	9	2	0.111	0	0:00:08.044150
47200	4	3	0.366	0	0:00:08.042526
47300	3	4	0.475	0	0:00:08.042912
47400	3	3	0.0488	1	0:00:08.042513
47500	6	6	0.953	1	0:00:08.042633
47600	8	9	0.57	0	0:00:08.042115
47700	6	6	0.953	1	0:00:08.040350
47800	0	0	0.922	1	0:00:08.036512
47900	0	8	0.712	0	0:00:08.040535
48000	9	9	0.448	1	0:00:08.045815
48100	6	2	0.0584	0	0:00:08.042882
48200	3	0	0.0537	0	0:00:08.043669
48300	5	5	0.731	1	0:00:08.041259
48400	0	0	0.484	1	0:00:08.045358
48500	4	0	0.128	0	0:00:08.043531
48600	3	3	0.0358	1	0:00:08.045054
48700	3	3	0.935	1	0:00:08.044019
48800	0	0	0.953	1	0:00:08.043626
48900	2	2	0.0883	1	0:00:08.045092
49000	8	8	0.953	1	0:00:08.044757
49100	9	3	0.401	0	0:00:08.047520
49200	8	8	0.686	1	0:00:08.045206
49300	5	3	0.0131	0	0:00:08.048849
49400	6	6	0.953	1	0:00:08.047215
49500	9	9	0.746	1	0:00:08.049761
49600	8	8	0.315	1	0:00:08.049065
49700	0	0	0.953	1	0:00:08.049490
49800	1	1	0.953	1	0:00:08.054905
49900	8	8	0.0826	1	0:00:08.053169
