idx	label	predict	radius	correct	time
40000	3	5	0.0447	0	0:00:08.178611
40100	4	5	0.401	0	0:00:08.176065
40200	5	5	0.376	1	0:00:08.181348
40300	6	6	0.953	1	0:00:08.180559
40400	9	9	0.953	1	0:00:08.179215
40500	4	6	0.292	0	0:00:08.173729
40600	8	8	0.819	1	0:00:08.180775
40700	7	7	0.516	1	0:00:08.176492
40800	7	7	0.953	1	0:00:08.178720
40900	2	3	0.192	0	0:00:08.175066
41000	5	5	0.953	1	0:00:08.179230
41100	7	8	0.233	0	0:00:08.177605
41200	8	0	0.577	0	0:00:08.180439
41300	4	4	0.661	1	0:00:08.172231
41400	5	5	0.358	1	0:00:08.174874
41500	1	1	0.399	1	0:00:08.179350
41600	8	3	0.225	0	0:00:08.178120
41700	5	5	0.238	1	0:00:08.178201
41800	4	4	0.126	1	0:00:08.174874
41900	8	8	0.953	1	0:00:08.174826
42000	1	1	0.639	1	0:00:08.179880
42100	2	2	0.953	1	0:00:08.177931
42200	0	0	0.13	1	0:00:08.171820
42300	3	3	0.362	1	0:00:08.169188
42400	0	0	0.953	1	0:00:08.172485
42500	4	4	0.0327	1	0:00:08.170370
42600	8	8	0.664	1	0:00:08.171166
42700	9	0	0.0193	0	0:00:08.178307
42800	4	4	0.47	1	0:00:08.174116
42900	3	5	0.437	0	0:00:08.176347
43000	5	5	0.953	1	0:00:08.172826
43100	0	0	0.953	1	0:00:08.167463
43200	5	5	0.953	1	0:00:08.174025
43300	4	3	0.251	0	0:00:08.169224
43400	6	8	0.49	0	0:00:08.170676
43500	1	1	0.422	1	0:00:08.174282
43600	4	3	0.169	0	0:00:08.176190
43700	3	3	0.827	1	0:00:08.170565
43800	9	9	0.205	1	0:00:08.174563
43900	3	6	0.494	0	0:00:08.172191
44000	8	0	0.445	0	0:00:08.172929
44100	7	7	0.953	1	0:00:08.177460
44200	4	0	0.677	0	0:00:08.172718
44300	8	0	0.0615	0	0:00:08.175203
44400	3	3	0.613	1	0:00:08.171851
44500	3	3	0.758	1	0:00:08.177087
44600	4	4	0.38	1	0:00:08.179892
44700	6	5	0.505	0	0:00:08.178895
44800	9	9	0.953	1	0:00:08.178446
44900	3	-1	0.0	0	0:00:08.177145
45000	7	7	0.953	1	0:00:08.180435
45100	3	5	0.0162	0	0:00:08.182139
45200	3	3	0.353	1	0:00:08.176385
45300	9	9	0.953	1	0:00:08.182694
45400	9	9	0.378	1	0:00:08.180167
45500	8	8	0.283	1	0:00:08.182269
45600	6	5	0.0164	0	0:00:08.180965
45700	3	3	0.111	1	0:00:08.187819
45800	2	2	0.953	1	0:00:08.184680
45900	4	3	0.247	0	0:00:08.179822
46000	8	8	0.561	1	0:00:08.180915
46100	1	1	0.858	1	0:00:08.183470
46200	3	3	0.322	1	0:00:08.182002
46300	1	1	0.0733	1	0:00:08.184175
46400	0	0	0.488	1	0:00:08.182301
46500	7	3	0.0351	0	0:00:08.182732
46600	7	7	0.953	1	0:00:08.190771
46700	6	6	0.561	1	0:00:08.188270
46800	6	6	0.0527	1	0:00:08.184414
46900	3	3	0.388	1	0:00:08.189583
47000	2	8	0.104	0	0:00:08.182369
47100	9	-1	0.0	0	0:00:08.184856
47200	4	3	0.4	0	0:00:08.181196
47300	3	5	0.805	0	0:00:08.185294
47400	3	3	0.479	1	0:00:08.182863
47500	6	6	0.953	1	0:00:08.184787
47600	8	-1	0.0	0	0:00:08.185959
47700	6	6	0.781	1	0:00:08.182535
47800	0	0	0.886	1	0:00:08.176036
47900	0	0	0.308	1	0:00:08.186741
48000	9	9	0.514	1	0:00:08.184837
48100	6	6	0.00209	1	0:00:08.188743
48200	3	0	0.328	0	0:00:08.187470
48300	5	5	0.383	1	0:00:08.184512
48400	0	0	0.533	1	0:00:08.180729
48500	4	4	0.361	1	0:00:08.179653
48600	3	3	0.301	1	0:00:08.184120
48700	3	3	0.677	1	0:00:08.183086
48800	0	0	0.159	1	0:00:08.185895
48900	2	2	0.953	1	0:00:08.182847
49000	8	8	0.953	1	0:00:08.181653
49100	9	5	0.173	0	0:00:08.181127
49200	8	8	0.486	1	0:00:08.175156
49300	5	3	0.221	0	0:00:08.183958
49400	6	6	0.366	1	0:00:08.179685
49500	9	9	0.653	1	0:00:08.184041
49600	8	8	0.272	1	0:00:08.179840
49700	0	0	0.295	1	0:00:08.177402
49800	1	1	0.953	1	0:00:08.182093
49900	8	8	0.953	1	0:00:08.182136
