idx	label	predict	radius	correct	time
40000	3	3	0.704	1	0:00:08.184462
40100	4	5	0.1	0	0:00:08.178952
40200	5	5	0.877	1	0:00:08.183143
40300	6	6	0.833	1	0:00:08.181431
40400	9	9	0.953	1	0:00:08.187259
40500	4	6	0.17	0	0:00:08.182645
40600	8	8	0.477	1	0:00:08.184208
40700	7	7	0.768	1	0:00:08.183042
40800	7	7	0.953	1	0:00:08.185626
40900	2	6	0.244	0	0:00:08.176985
41000	5	5	0.953	1	0:00:08.180561
41100	7	7	0.295	1	0:00:08.182274
41200	8	8	0.759	1	0:00:08.182291
41300	4	3	0.549	0	0:00:08.171063
41400	5	3	0.17	0	0:00:08.176832
41500	1	1	0.877	1	0:00:08.183263
41600	8	-1	0.0	0	0:00:08.181236
41700	5	5	0.153	1	0:00:08.181234
41800	4	4	0.181	1	0:00:08.176928
41900	8	8	0.953	1	0:00:08.180317
42000	1	1	0.49	1	0:00:08.179276
42100	2	2	0.744	1	0:00:08.176919
42200	0	0	0.511	1	0:00:08.172570
42300	3	4	0.0313	0	0:00:08.173676
42400	0	0	0.829	1	0:00:08.183218
42500	4	4	0.319	1	0:00:08.173008
42600	8	8	0.953	1	0:00:08.176711
42700	9	9	0.829	1	0:00:08.184381
42800	4	4	0.616	1	0:00:08.176565
42900	3	5	0.0237	0	0:00:08.181692
43000	5	5	0.953	1	0:00:08.181674
43100	0	0	0.922	1	0:00:08.173443
43200	5	5	0.598	1	0:00:08.183869
43300	4	4	0.367	1	0:00:08.181531
43400	6	4	0.25	0	0:00:08.183916
43500	1	1	0.00726	1	0:00:08.188912
43600	4	2	0.117	0	0:00:08.183474
43700	3	3	0.835	1	0:00:08.181419
43800	9	9	0.178	1	0:00:08.185192
43900	3	3	0.207	1	0:00:08.181750
44000	8	0	0.12	0	0:00:08.183289
44100	7	7	0.953	1	0:00:08.184540
44200	4	4	0.142	1	0:00:08.181733
44300	8	8	0.953	1	0:00:08.180499
44400	3	3	0.0245	1	0:00:08.180962
44500	3	5	0.494	0	0:00:08.187543
44600	4	7	0.686	0	0:00:08.189676
44700	6	-1	0.0	0	0:00:08.189692
44800	9	9	0.953	1	0:00:08.193976
44900	3	-1	0.0	0	0:00:08.192105
45000	7	7	0.953	1	0:00:08.196227
45100	3	3	0.837	1	0:00:08.191474
45200	3	3	0.787	1	0:00:08.192370
45300	9	9	0.463	1	0:00:08.192979
45400	9	9	0.922	1	0:00:08.192441
45500	8	8	0.36	1	0:00:08.191411
45600	6	5	0.0679	0	0:00:08.190913
45700	3	3	0.139	1	0:00:08.195614
45800	2	2	0.81	1	0:00:08.193408
45900	4	3	0.212	0	0:00:08.188684
46000	8	8	0.771	1	0:00:08.191945
46100	1	1	0.766	1	0:00:08.194620
46200	3	3	0.693	1	0:00:08.193035
46300	1	1	0.475	1	0:00:08.194545
46400	0	8	0.000501	0	0:00:08.192337
46500	7	6	0.299	0	0:00:08.190448
46600	7	7	0.953	1	0:00:08.197998
46700	6	6	0.459	1	0:00:08.193369
46800	6	4	0.0823	0	0:00:08.190730
46900	3	3	0.484	1	0:00:08.196429
47000	2	-1	0.0	0	0:00:08.190048
47100	9	5	0.0575	0	0:00:08.196568
47200	4	-1	0.0	0	0:00:08.190919
47300	3	5	0.444	0	0:00:08.196582
47400	3	3	0.73	1	0:00:08.195710
47500	6	6	0.953	1	0:00:08.196658
47600	8	9	0.0119	0	0:00:08.189931
47700	6	6	0.922	1	0:00:08.188642
47800	0	0	0.71	1	0:00:08.185192
47900	0	8	0.113	0	0:00:08.193553
48000	9	9	0.935	1	0:00:08.192226
48100	6	2	0.603	0	0:00:08.194657
48200	3	4	0.0102	0	0:00:08.193802
48300	5	-1	0.0	0	0:00:08.190215
48400	0	0	0.402	1	0:00:08.188412
48500	4	4	0.81	1	0:00:08.188091
48600	3	5	0.15	0	0:00:08.193119
48700	3	3	0.66	1	0:00:08.190680
48800	0	0	0.953	1	0:00:08.186378
48900	2	2	0.753	1	0:00:08.186713
49000	8	8	0.953	1	0:00:08.191154
49100	9	1	0.456	0	0:00:08.192070
49200	8	8	0.935	1	0:00:08.184570
49300	5	5	0.0785	1	0:00:08.193657
49400	6	6	0.905	1	0:00:08.191189
49500	9	9	0.76	1	0:00:08.194612
49600	8	8	0.669	1	0:00:08.187767
49700	0	0	0.71	1	0:00:08.189252
49800	1	1	0.953	1	0:00:08.197097
49900	8	8	0.454	1	0:00:08.189586
