idx	label	predict	radius	correct	time
40000	3	3	0.417	1	0:00:08.166626
40100	4	-1	0.0	0	0:00:08.164162
40200	5	5	0.145	1	0:00:08.166961
40300	6	6	0.424	1	0:00:08.165303
40400	9	9	0.865	1	0:00:08.168024
40500	4	4	0.318	1	0:00:08.167396
40600	8	8	0.289	1	0:00:08.168378
40700	7	7	0.761	1	0:00:08.170621
40800	7	7	0.862	1	0:00:08.168034
40900	2	4	0.0203	0	0:00:08.165413
41000	5	5	0.877	1	0:00:08.168816
41100	7	8	0.25	0	0:00:08.168498
41200	8	-1	0.0	0	0:00:08.170031
41300	4	4	0.0358	1	0:00:08.160859
41400	5	5	0.62	1	0:00:08.162025
41500	1	1	0.567	1	0:00:08.169652
41600	8	3	0.0327	0	0:00:08.163730
41700	5	5	0.17	1	0:00:08.162863
41800	4	0	0.183	0	0:00:08.162918
41900	8	8	0.953	1	0:00:08.166380
42000	1	1	0.14	1	0:00:08.164883
42100	2	2	0.759	1	0:00:08.160069
42200	0	0	0.534	1	0:00:08.159172
42300	3	4	0.24	0	0:00:08.162347
42400	0	0	0.953	1	0:00:08.166427
42500	4	4	0.0341	1	0:00:08.161425
42600	8	8	0.953	1	0:00:08.164879
42700	9	-1	0.0	0	0:00:08.168350
42800	4	0	0.0772	0	0:00:08.163738
42900	3	-1	0.0	0	0:00:08.166144
43000	5	5	0.494	1	0:00:08.165952
43100	0	0	0.773	1	0:00:08.159025
43200	5	5	0.211	1	0:00:08.165004
43300	4	4	0.182	1	0:00:08.162506
43400	6	7	0.0888	0	0:00:08.164873
43500	1	1	0.129	1	0:00:08.164624
43600	4	2	0.559	0	0:00:08.165712
43700	3	5	0.0483	0	0:00:08.163674
43800	9	9	0.0835	1	0:00:08.166659
43900	3	6	0.218	0	0:00:08.162070
44000	8	0	0.612	0	0:00:08.162243
44100	7	7	0.953	1	0:00:08.166729
44200	4	4	0.216	1	0:00:08.157802
44300	8	8	0.33	1	0:00:08.160629
44400	3	8	0.188	0	0:00:08.160311
44500	3	3	0.498	1	0:00:08.164974
44600	4	4	0.881	1	0:00:08.167716
44700	6	-1	0.0	0	0:00:08.164149
44800	9	9	0.953	1	0:00:08.168777
44900	3	0	0.505	0	0:00:08.168842
45000	7	7	0.953	1	0:00:08.170323
45100	3	3	0.0785	1	0:00:08.167971
45200	3	3	0.396	1	0:00:08.168564
45300	9	9	0.565	1	0:00:08.169762
45400	9	0	0.198	0	0:00:08.166432
45500	8	8	0.953	1	0:00:08.166010
45600	6	8	0.0167	0	0:00:08.168587
45700	3	3	0.354	1	0:00:08.169754
45800	2	2	0.886	1	0:00:08.165937
45900	4	-1	0.0	0	0:00:08.163913
46000	8	8	0.305	1	0:00:08.166859
46100	1	1	0.338	1	0:00:08.167443
46200	3	3	0.188	1	0:00:08.164978
46300	1	-1	0.0	0	0:00:08.168738
46400	0	0	0.262	1	0:00:08.171074
46500	7	-1	0.0	0	0:00:08.170063
46600	7	7	0.953	1	0:00:08.171344
46700	6	6	0.0758	1	0:00:08.167827
46800	6	6	0.28	1	0:00:08.165524
46900	3	3	0.106	1	0:00:08.171087
47000	2	0	0.00521	0	0:00:08.172359
47100	9	3	0.335	0	0:00:08.171194
47200	4	3	0.354	0	0:00:08.166485
47300	3	5	0.0531	0	0:00:08.166838
47400	3	3	0.731	1	0:00:08.167716
47500	6	6	0.953	1	0:00:08.170539
47600	8	0	0.386	0	0:00:08.168136
47700	6	6	0.123	1	0:00:08.163878
47800	0	0	0.688	1	0:00:08.162270
47900	0	0	0.0812	1	0:00:08.170672
48000	9	0	0.299	0	0:00:08.165157
48100	6	2	0.573	0	0:00:08.166746
48200	3	0	0.303	0	0:00:08.164322
48300	5	5	0.32	1	0:00:08.164311
48400	0	8	0.112	0	0:00:08.163093
48500	4	4	0.336	1	0:00:08.162091
48600	3	3	0.139	1	0:00:08.167068
48700	3	3	0.529	1	0:00:08.171036
48800	0	0	0.51	1	0:00:08.166129
48900	2	2	0.442	1	0:00:08.164351
49000	8	8	0.953	1	0:00:08.166358
49100	9	3	0.0753	0	0:00:08.167116
49200	8	8	0.953	1	0:00:08.161548
49300	5	3	0.0901	0	0:00:08.165811
49400	6	6	0.23	1	0:00:08.165437
49500	9	9	0.517	1	0:00:08.166972
49600	8	8	0.712	1	0:00:08.163319
49700	0	0	0.935	1	0:00:08.162352
49800	1	1	0.953	1	0:00:08.168904
49900	8	8	0.259	1	0:00:08.165633
