idx	label	predict	radius	correct	time
40000	3	3	0.821	1	0:00:08.132674
40100	4	5	0.0852	0	0:00:08.127941
40200	5	5	0.751	1	0:00:08.133599
40300	6	6	0.765	1	0:00:08.132304
40400	9	9	0.953	1	0:00:08.136769
40500	4	4	0.212	1	0:00:08.131831
40600	8	8	0.392	1	0:00:08.132858
40700	7	7	0.873	1	0:00:08.134825
40800	7	7	0.953	1	0:00:08.133511
40900	2	6	0.264	0	0:00:08.129073
41000	5	5	0.953	1	0:00:08.133813
41100	7	7	0.23	1	0:00:08.131880
41200	8	8	0.34	1	0:00:08.131068
41300	4	3	0.565	0	0:00:08.122663
41400	5	5	0.175	1	0:00:08.128003
41500	1	1	0.905	1	0:00:08.136893
41600	8	1	0.0716	0	0:00:08.137048
41700	5	5	0.246	1	0:00:08.132176
41800	4	4	0.208	1	0:00:08.128565
41900	8	8	0.953	1	0:00:08.128215
42000	1	1	0.606	1	0:00:08.132696
42100	2	2	0.53	1	0:00:08.130888
42200	0	0	0.532	1	0:00:08.124549
42300	3	3	0.0052	1	0:00:08.125488
42400	0	0	0.953	1	0:00:08.137495
42500	4	4	0.0443	1	0:00:08.128447
42600	8	8	0.953	1	0:00:08.129094
42700	9	9	0.292	1	0:00:08.131950
42800	4	4	0.492	1	0:00:08.129614
42900	3	5	0.0701	0	0:00:08.132485
43000	5	5	0.953	1	0:00:08.129788
43100	0	0	0.935	1	0:00:08.123764
43200	5	5	0.892	1	0:00:08.130059
43300	4	4	0.211	1	0:00:08.127219
43400	6	4	0.443	0	0:00:08.129222
43500	1	1	0.452	1	0:00:08.132634
43600	4	2	0.564	0	0:00:08.130910
43700	3	3	0.953	1	0:00:08.131219
43800	9	9	0.372	1	0:00:08.135815
43900	3	3	0.0863	1	0:00:08.138908
44000	8	0	0.029	0	0:00:08.139234
44100	7	7	0.953	1	0:00:08.143027
44200	4	4	0.128	1	0:00:08.137230
44300	8	8	0.953	1	0:00:08.144303
44400	3	3	0.0785	1	0:00:08.145972
44500	3	5	0.635	0	0:00:08.151678
44600	4	4	0.196	1	0:00:08.156523
44700	6	-1	0.0	0	0:00:08.152040
44800	9	9	0.953	1	0:00:08.158754
44900	3	5	0.313	0	0:00:08.160675
45000	7	7	0.953	1	0:00:08.174824
45100	3	3	0.953	1	0:00:08.164806
45200	3	3	0.898	1	0:00:08.164121
45300	9	9	0.485	1	0:00:08.166683
45400	9	9	0.813	1	0:00:08.169415
45500	8	8	0.445	1	0:00:08.169504
45600	6	5	0.148	0	0:00:08.169200
45700	3	3	0.409	1	0:00:08.171190
45800	2	2	0.68	1	0:00:08.168324
45900	4	3	0.301	0	0:00:08.163379
46000	8	8	0.727	1	0:00:08.169363
46100	1	1	0.381	1	0:00:08.172633
46200	3	3	0.865	1	0:00:08.172060
46300	1	1	0.338	1	0:00:08.171960
46400	0	8	0.377	0	0:00:08.171188
46500	7	6	0.187	0	0:00:08.171869
46600	7	7	0.953	1	0:00:08.176392
46700	6	6	0.741	1	0:00:08.171935
46800	6	6	0.00879	1	0:00:08.170804
46900	3	3	0.303	1	0:00:08.175476
47000	2	8	0.0557	0	0:00:08.166497
47100	9	8	0.463	0	0:00:08.170613
47200	4	-1	0.0	0	0:00:08.165881
47300	3	5	0.183	0	0:00:08.172958
47400	3	3	0.626	1	0:00:08.170672
47500	6	6	0.953	1	0:00:08.174467
47600	8	9	0.0144	0	0:00:08.170718
47700	6	6	0.953	1	0:00:08.168165
47800	0	0	0.701	1	0:00:08.164532
47900	0	-1	0.0	0	0:00:08.170406
48000	9	9	0.852	1	0:00:08.171040
48100	6	2	0.209	0	0:00:08.170294
48200	3	6	0.0147	0	0:00:08.168527
48300	5	2	0.0233	0	0:00:08.168787
48400	0	0	0.269	1	0:00:08.165737
48500	4	4	0.814	1	0:00:08.164079
48600	3	5	0.118	0	0:00:08.170950
48700	3	3	0.849	1	0:00:08.167197
48800	0	0	0.953	1	0:00:08.167613
48900	2	2	0.803	1	0:00:08.167704
49000	8	8	0.953	1	0:00:08.168251
49100	9	1	0.0494	0	0:00:08.167608
49200	8	8	0.935	1	0:00:08.161409
49300	5	5	0.167	1	0:00:08.168113
49400	6	6	0.913	1	0:00:08.165450
49500	9	9	0.665	1	0:00:08.169037
49600	8	8	0.849	1	0:00:08.163226
49700	0	0	0.561	1	0:00:08.165891
49800	1	1	0.953	1	0:00:08.172848
49900	8	8	0.42	1	0:00:08.168410
