idx	label	predict	radius	correct	time
40000	3	3	0.585	1	0:00:08.163935
40100	4	5	0.04	0	0:00:08.162132
40200	5	5	0.865	1	0:00:08.167147
40300	6	6	0.626	1	0:00:08.162858
40400	9	9	0.953	1	0:00:08.168066
40500	4	4	0.556	1	0:00:08.164210
40600	8	5	0.0484	0	0:00:08.164732
40700	7	7	0.855	1	0:00:08.164330
40800	7	7	0.953	1	0:00:08.165462
40900	2	6	0.268	0	0:00:08.160263
41000	5	5	0.953	1	0:00:08.164854
41100	7	7	0.269	1	0:00:08.167932
41200	8	8	0.0555	1	0:00:08.164870
41300	4	3	0.526	0	0:00:08.155490
41400	5	5	0.349	1	0:00:08.162216
41500	1	1	0.774	1	0:00:08.167913
41600	8	6	0.193	0	0:00:08.166873
41700	5	5	0.0753	1	0:00:08.171656
41800	4	4	0.38	1	0:00:08.165285
41900	8	8	0.953	1	0:00:08.165060
42000	1	1	0.402	1	0:00:08.167121
42100	2	2	0.612	1	0:00:08.167430
42200	0	0	0.145	1	0:00:08.163236
42300	3	4	0.116	0	0:00:08.164151
42400	0	0	0.953	1	0:00:08.166067
42500	4	4	0.185	1	0:00:08.168458
42600	8	8	0.953	1	0:00:08.168375
42700	9	9	0.251	1	0:00:08.171603
42800	4	4	0.327	1	0:00:08.165309
42900	3	5	0.13	0	0:00:08.169741
43000	5	5	0.953	1	0:00:08.166365
43100	0	0	0.935	1	0:00:08.160046
43200	5	5	0.623	1	0:00:08.170555
43300	4	4	0.331	1	0:00:08.165946
43400	6	4	0.611	0	0:00:08.166739
43500	1	-1	0.0	0	0:00:08.169528
43600	4	2	0.221	0	0:00:08.170796
43700	3	3	0.953	1	0:00:08.165712
43800	9	9	0.263	1	0:00:08.168629
43900	3	6	0.449	0	0:00:08.166581
44000	8	-1	0.0	0	0:00:08.170974
44100	7	7	0.953	1	0:00:08.170171
44200	4	2	0.242	0	0:00:08.163368
44300	8	8	0.953	1	0:00:08.167701
44400	3	3	0.000739	1	0:00:08.167181
44500	3	5	0.0247	0	0:00:08.168422
44600	4	4	0.226	1	0:00:08.172818
44700	6	6	0.252	1	0:00:08.172787
44800	9	9	0.953	1	0:00:08.171729
44900	3	3	0.0105	1	0:00:08.173530
45000	7	7	0.953	1	0:00:08.174797
45100	3	3	0.953	1	0:00:08.171299
45200	3	3	0.744	1	0:00:08.171064
45300	9	9	0.215	1	0:00:08.170704
45400	9	9	0.922	1	0:00:08.175666
45500	8	8	0.532	1	0:00:08.170920
45600	6	5	0.135	0	0:00:08.168431
45700	3	3	0.464	1	0:00:08.173854
45800	2	2	0.58	1	0:00:08.175037
45900	4	3	0.238	0	0:00:08.173829
46000	8	8	0.801	1	0:00:08.174253
46100	1	1	0.413	1	0:00:08.173663
46200	3	3	0.127	1	0:00:08.174658
46300	1	1	0.801	1	0:00:08.176184
46400	0	8	0.393	0	0:00:08.168762
46500	7	6	0.196	0	0:00:08.171062
46600	7	7	0.953	1	0:00:08.177351
46700	6	6	0.263	1	0:00:08.170800
46800	6	4	0.14	0	0:00:08.171050
46900	3	3	0.849	1	0:00:08.174041
47000	2	8	0.225	0	0:00:08.170598
47100	9	8	0.127	0	0:00:08.170943
47200	4	-1	0.0	0	0:00:08.168994
47300	3	5	0.174	0	0:00:08.173134
47400	3	3	0.849	1	0:00:08.172339
47500	6	6	0.953	1	0:00:08.174651
47600	8	-1	0.0	0	0:00:08.170165
47700	6	6	0.77	1	0:00:08.168823
47800	0	0	0.881	1	0:00:08.165252
47900	0	8	0.0811	0	0:00:08.172484
48000	9	9	0.953	1	0:00:08.165581
48100	6	2	0.688	0	0:00:08.168185
48200	3	4	0.43	0	0:00:08.170475
48300	5	2	0.147	0	0:00:08.168957
48400	0	0	0.123	1	0:00:08.168752
48500	4	4	0.892	1	0:00:08.167050
48600	3	-1	0.0	0	0:00:08.169147
48700	3	3	0.953	1	0:00:08.169612
48800	0	0	0.953	1	0:00:08.170261
48900	2	2	0.66	1	0:00:08.168084
49000	8	8	0.953	1	0:00:08.170854
49100	9	1	0.0134	0	0:00:08.171986
49200	8	8	0.935	1	0:00:08.165559
49300	5	5	0.255	1	0:00:08.168791
49400	6	6	0.849	1	0:00:08.169561
49500	9	9	0.538	1	0:00:08.169313
49600	8	8	0.953	1	0:00:08.167443
49700	0	0	0.601	1	0:00:08.167530
49800	1	1	0.953	1	0:00:08.175528
49900	8	8	0.578	1	0:00:08.171766
