idx	label	predict	radius	correct	time
40000	3	6	0.464	0	0:00:08.068708
40100	4	6	0.208	0	0:00:08.066904
40200	5	6	0.425	0	0:00:08.072027
40300	6	6	0.781	1	0:00:08.066566
40400	9	6	0.429	0	0:00:08.064206
40500	4	-1	0.0	0	0:00:08.072627
40600	8	-1	0.0	0	0:00:08.069093
40700	7	6	0.0146	0	0:00:08.069117
40800	7	6	0.514	0	0:00:08.065414
40900	2	4	0.107	0	0:00:08.064965
41000	5	6	0.296	0	0:00:08.067137
41100	7	-1	0.0	0	0:00:08.070943
41200	8	6	0.106	0	0:00:08.068213
41300	4	3	0.79	0	0:00:08.065111
41400	5	6	0.434	0	0:00:08.064422
41500	1	6	0.564	0	0:00:08.065737
41600	8	6	0.686	0	0:00:08.068024
41700	5	6	0.198	0	0:00:08.068202
41800	4	-1	0.0	0	0:00:08.070034
41900	8	4	0.052	0	0:00:08.073507
42000	1	6	0.752	0	0:00:08.067366
42100	2	6	0.348	0	0:00:08.066010
42200	0	0	0.447	1	0:00:08.068507
42300	3	6	0.513	0	0:00:08.064754
42400	0	-1	0.0	0	0:00:08.066367
42500	4	6	0.183	0	0:00:08.064571
42600	8	-1	0.0	0	0:00:08.068109
42700	9	6	0.137	0	0:00:08.071150
42800	4	6	0.355	0	0:00:08.069822
42900	3	6	0.43	0	0:00:08.070161
43000	5	6	0.412	0	0:00:08.070487
43100	0	-1	0.0	0	0:00:08.071069
43200	5	4	0.104	0	0:00:08.070292
43300	4	6	0.452	0	0:00:08.066568
43400	6	6	0.333	1	0:00:08.067185
43500	1	6	0.511	0	0:00:08.068126
43600	4	6	0.36	0	0:00:08.069924
43700	3	6	0.0743	0	0:00:08.063921
43800	9	6	0.313	0	0:00:08.072648
43900	3	4	0.0918	0	0:00:08.072508
44000	8	6	0.218	0	0:00:08.070136
44100	7	6	0.239	0	0:00:08.070801
44200	4	4	0.0357	1	0:00:08.069643
44300	8	0	0.193	0	0:00:08.073568
44400	3	6	0.375	0	0:00:08.072430
44500	3	6	0.715	0	0:00:08.074118
44600	4	4	0.0128	1	0:00:08.072746
44700	6	6	0.75	1	0:00:08.071369
44800	9	6	0.382	0	0:00:08.073793
44900	3	6	0.265	0	0:00:08.075642
45000	7	6	0.458	0	0:00:08.072759
45100	3	6	0.466	0	0:00:08.072994
45200	3	6	0.496	0	0:00:08.074229
45300	9	6	0.583	0	0:00:08.076128
45400	9	6	0.231	0	0:00:08.075117
45500	8	6	0.275	0	0:00:08.072227
45600	6	6	0.515	1	0:00:08.071500
45700	3	6	0.331	0	0:00:08.075367
45800	2	6	0.173	0	0:00:08.070238
45900	4	6	0.491	0	0:00:08.073861
46000	8	6	0.38	0	0:00:08.072023
46100	1	6	0.297	0	0:00:08.073962
46200	3	-1	0.0	0	0:00:08.074204
46300	1	6	0.572	0	0:00:08.070548
46400	0	6	0.202	0	0:00:08.071704
46500	7	6	0.295	0	0:00:08.071043
46600	7	6	0.147	0	0:00:08.073030
46700	6	6	0.356	1	0:00:08.071110
46800	6	6	0.192	1	0:00:08.070188
46900	3	6	0.421	0	0:00:08.072860
47000	2	6	0.151	0	0:00:08.074319
47100	9	6	0.288	0	0:00:08.069979
47200	4	6	0.45	0	0:00:08.069394
47300	3	6	0.14	0	0:00:08.073175
47400	3	6	0.185	0	0:00:08.070879
47500	6	6	0.294	1	0:00:08.071404
47600	8	6	0.123	0	0:00:08.070843
47700	6	6	0.922	1	0:00:08.070626
47800	0	0	0.079	1	0:00:08.075458
47900	0	6	0.329	0	0:00:08.070861
48000	9	6	0.147	0	0:00:08.071225
48100	6	4	0.128	0	0:00:08.070318
48200	3	6	0.246	0	0:00:08.069281
48300	5	6	0.196	0	0:00:08.069638
48400	0	6	0.202	0	0:00:08.073647
48500	4	4	0.0557	1	0:00:08.068898
48600	3	6	0.281	0	0:00:08.068323
48700	3	6	0.439	0	0:00:08.071982
48800	0	0	0.755	1	0:00:08.075582
48900	2	6	0.258	0	0:00:08.071409
49000	8	-1	0.0	0	0:00:08.074374
49100	9	6	0.712	0	0:00:08.071423
49200	8	0	0.132	0	0:00:08.075088
49300	5	6	0.224	0	0:00:08.074908
49400	6	6	0.316	1	0:00:08.071618
49500	9	6	0.6	0	0:00:08.072732
49600	8	4	0.00276	0	0:00:08.074893
49700	0	4	0.135	0	0:00:08.075832
49800	1	6	0.167	0	0:00:08.074755
49900	8	4	0.0262	0	0:00:08.072369
