idx	label	predict	radius	correct	time
40000	3	3	0.407	1	0:00:07.973437
40100	4	4	0.187	1	0:00:07.971670
40200	5	3	0.168	0	0:00:07.974921
40300	6	6	0.881	1	0:00:07.976488
40400	9	9	0.953	1	0:00:07.976051
40500	4	6	0.125	0	0:00:07.972896
40600	8	-1	0.0	0	0:00:07.975157
40700	7	7	0.432	1	0:00:07.974828
40800	7	7	0.913	1	0:00:07.973875
40900	2	6	0.373	0	0:00:07.970584
41000	5	5	0.285	1	0:00:07.972901
41100	7	-1	0.0	0	0:00:07.975771
41200	8	8	0.0997	1	0:00:07.974823
41300	4	3	0.696	0	0:00:07.967486
41400	5	6	0.315	0	0:00:07.968993
41500	1	1	0.226	1	0:00:07.974287
41600	8	6	0.0346	0	0:00:07.971735
41700	5	3	0.00505	0	0:00:07.973343
41800	4	4	0.169	1	0:00:07.973636
41900	8	8	0.905	1	0:00:07.974121
42000	1	-1	0.0	0	0:00:07.971387
42100	2	7	0.0192	0	0:00:07.974704
42200	0	0	0.0537	1	0:00:07.973961
42300	3	3	0.0262	1	0:00:07.969810
42400	0	0	0.765	1	0:00:07.972362
42500	4	6	0.321	0	0:00:07.971426
42600	8	8	0.399	1	0:00:07.973023
42700	9	9	0.156	1	0:00:07.974282
42800	4	4	0.23	1	0:00:07.970945
42900	3	3	0.331	1	0:00:07.972980
43000	5	6	0.0708	0	0:00:07.973522
43100	0	0	0.167	1	0:00:07.972841
43200	5	5	0.156	1	0:00:07.972052
43300	4	4	0.224	1	0:00:07.971383
43400	6	-1	0.0	0	0:00:07.972624
43500	1	-1	0.0	0	0:00:07.974756
43600	4	2	0.337	0	0:00:07.973264
43700	3	3	0.234	1	0:00:07.971655
43800	9	9	0.258	1	0:00:07.973637
43900	3	-1	0.0	0	0:00:07.973187
44000	8	4	0.108	0	0:00:07.973387
44100	7	7	0.738	1	0:00:07.974483
44200	4	4	0.0878	1	0:00:07.969406
44300	8	8	0.349	1	0:00:07.972897
44400	3	6	0.061	0	0:00:07.970290
44500	3	5	0.0365	0	0:00:07.971766
44600	4	4	0.306	1	0:00:07.972605
44700	6	-1	0.0	0	0:00:07.972017
44800	9	9	0.953	1	0:00:07.974969
44900	3	5	0.111	0	0:00:07.974245
45000	7	7	0.953	1	0:00:07.976642
45100	3	3	0.479	1	0:00:07.973154
45200	3	3	0.173	1	0:00:07.972696
45300	9	9	0.239	1	0:00:07.974264
45400	9	9	0.149	1	0:00:07.973545
45500	8	-1	0.0	0	0:00:07.973446
45600	6	6	0.567	1	0:00:07.971289
45700	3	3	0.103	1	0:00:07.973752
45800	2	2	0.305	1	0:00:07.970546
45900	4	6	0.146	0	0:00:07.969917
46000	8	-1	0.0	0	0:00:07.972187
46100	1	-1	0.0	0	0:00:07.973459
46200	3	3	0.437	1	0:00:07.973053
46300	1	-1	0.0	0	0:00:07.973011
46400	0	8	0.0092	0	0:00:07.972046
46500	7	6	0.0342	0	0:00:07.973185
46600	7	7	0.858	1	0:00:07.975061
46700	6	6	0.458	1	0:00:07.972399
46800	6	6	0.537	1	0:00:07.970981
46900	3	3	0.29	1	0:00:07.973996
47000	2	2	0.0505	1	0:00:07.971355
47100	9	3	0.0729	0	0:00:07.972628
47200	4	6	0.263	0	0:00:07.968812
47300	3	4	0.0311	0	0:00:07.974468
47400	3	9	0.411	0	0:00:07.972915
47500	6	6	0.953	1	0:00:07.975048
47600	8	9	0.0391	0	0:00:07.972188
47700	6	6	0.953	1	0:00:07.969333
47800	0	0	0.633	1	0:00:07.971960
47900	0	-1	0.0	0	0:00:07.973410
48000	9	9	0.679	1	0:00:07.975563
48100	6	6	0.423	1	0:00:07.973062
48200	3	6	0.265	0	0:00:07.973406
48300	5	6	0.346	0	0:00:07.970056
48400	0	0	0.539	1	0:00:07.971619
48500	4	4	0.643	1	0:00:07.970165
48600	3	-1	0.0	0	0:00:07.972555
48700	3	3	0.584	1	0:00:07.971231
48800	0	0	0.844	1	0:00:07.974164
48900	2	4	0.3	0	0:00:07.969927
49000	8	8	0.953	1	0:00:07.973100
49100	9	9	0.0887	1	0:00:07.972884
49200	8	8	0.213	1	0:00:07.971784
49300	5	-1	0.0	0	0:00:07.971496
49400	6	6	0.913	1	0:00:07.972287
49500	9	9	0.892	1	0:00:07.972185
49600	8	0	0.0977	0	0:00:07.970773
49700	0	0	0.0749	1	0:00:07.970968
49800	1	1	0.755	1	0:00:07.974020
49900	8	8	0.236	1	0:00:07.970916
