idx	label	predict	radius	correct	time
0	3	3	0.532	1	0:00:08.172452
100	4	4	0.258	1	0:00:08.172240
200	5	5	0.672	1	0:00:08.176631
300	6	6	0.662	1	0:00:08.176048
400	9	9	0.953	1	0:00:08.183592
500	4	4	0.0165	1	0:00:08.177311
600	8	8	0.76	1	0:00:08.175971
700	7	7	0.825	1	0:00:08.179470
800	7	7	0.953	1	0:00:08.183618
900	2	-1	0.0	0	0:00:08.177368
1000	5	5	0.953	1	0:00:08.180423
1100	7	7	0.0278	1	0:00:08.180789
1200	8	-1	0.0	0	0:00:08.174757
1300	4	3	0.877	0	0:00:08.166731
1400	5	-1	0.0	0	0:00:08.173100
1500	1	1	0.913	1	0:00:08.179087
1600	8	6	0.187	0	0:00:08.177264
1700	5	-1	0.0	0	0:00:08.176877
1800	4	-1	0.0	0	0:00:08.176577
1900	8	8	0.953	1	0:00:08.174713
2000	1	1	0.0893	1	0:00:08.176821
2100	2	2	0.691	1	0:00:08.176366
2200	0	0	0.758	1	0:00:08.173108
2300	3	-1	0.0	0	0:00:08.173877
2400	0	0	0.953	1	0:00:08.177149
2500	4	4	0.0656	1	0:00:08.174080
2600	8	8	0.953	1	0:00:08.175576
2700	9	9	0.0137	1	0:00:08.177932
2800	4	4	0.18	1	0:00:08.172915
2900	3	2	0.133	0	0:00:08.175341
3000	5	5	0.953	1	0:00:08.173900
3100	0	0	0.852	1	0:00:08.166040
3200	5	5	0.423	1	0:00:08.173775
3300	4	4	0.0756	1	0:00:08.175510
3400	6	4	0.52	0	0:00:08.173932
3500	1	1	0.122	1	0:00:08.174577
3600	4	2	0.414	0	0:00:08.171529
3700	3	3	0.953	1	0:00:08.172068
3800	9	9	0.0979	1	0:00:08.177345
3900	3	6	0.198	0	0:00:08.173364
4000	8	4	0.128	0	0:00:08.173413
4100	7	7	0.953	1	0:00:08.180379
4200	4	4	0.0375	1	0:00:08.169944
4300	8	8	0.669	1	0:00:08.172534
4400	3	-1	0.0	0	0:00:08.171132
4500	3	-1	0.0	0	0:00:08.177471
4600	4	4	0.259	1	0:00:08.175537
4700	6	6	0.356	1	0:00:08.173721
4800	9	9	0.953	1	0:00:08.178492
4900	3	6	0.156	0	0:00:08.175745
5000	7	7	0.953	1	0:00:08.178928
5100	3	3	0.731	1	0:00:08.178231
5200	3	3	0.609	1	0:00:08.177506
5300	9	9	0.953	1	0:00:08.179445
5400	9	9	0.755	1	0:00:08.174454
5500	8	8	0.789	1	0:00:08.176143
5600	6	6	0.318	1	0:00:08.177385
5700	3	3	0.263	1	0:00:08.175056
5800	2	2	0.793	1	0:00:08.173941
5900	4	3	0.0589	0	0:00:08.170829
6000	8	8	0.583	1	0:00:08.172702
6100	1	1	0.56	1	0:00:08.173825
6200	3	3	0.44	1	0:00:08.173976
6300	1	1	0.279	1	0:00:08.178646
6400	0	0	0.0562	1	0:00:08.175668
6500	7	6	0.142	0	0:00:08.175619
6600	7	7	0.953	1	0:00:08.179970
6700	6	6	0.913	1	0:00:08.174955
6800	6	4	0.0529	0	0:00:08.171614
6900	3	3	0.421	1	0:00:08.176116
7000	2	-1	0.0	0	0:00:08.171274
7100	9	5	0.303	0	0:00:08.176581
7200	4	-1	0.0	0	0:00:08.168459
7300	3	5	0.129	0	0:00:08.175726
7400	3	3	0.823	1	0:00:08.174769
7500	6	6	0.953	1	0:00:08.175711
7600	8	-1	0.0	0	0:00:08.171585
7700	6	6	0.905	1	0:00:08.170956
7800	0	0	0.8	1	0:00:08.169904
7900	0	0	0.0719	1	0:00:08.177567
8000	9	9	0.582	1	0:00:08.174732
8100	6	2	0.607	0	0:00:08.175081
8200	3	4	0.408	0	0:00:08.173264
8300	5	2	0.0743	0	0:00:08.170070
8400	0	8	0.0912	0	0:00:08.169873
8500	4	4	0.81	1	0:00:08.164987
8600	3	6	0.16	0	0:00:08.172979
8700	3	3	0.642	1	0:00:08.171206
8800	0	0	0.78	1	0:00:08.168719
8900	2	2	0.319	1	0:00:08.166758
9000	8	8	0.953	1	0:00:08.170709
9100	9	1	0.0446	0	0:00:08.171011
9200	8	8	0.953	1	0:00:08.166732
9300	5	2	0.0538	0	0:00:08.173284
9400	6	6	0.739	1	0:00:08.177038
9500	9	9	0.628	1	0:00:08.174672
9600	8	8	0.922	1	0:00:08.170177
9700	0	0	0.654	1	0:00:08.170763
9800	1	1	0.953	1	0:00:08.179121
9900	8	8	0.674	1	0:00:08.174363
10000	3	2	0.106	0	0:00:08.169990
10100	4	4	0.345	1	0:00:08.166057
10200	5	-1	0.0	0	0:00:08.176508
10300	6	6	0.277	1	0:00:08.167086
10400	9	6	0.271	0	0:00:08.169977
10500	4	4	0.146	1	0:00:08.166378
10600	8	8	0.0787	1	0:00:08.168122
10700	7	7	0.0833	1	0:00:08.169144
10800	7	7	0.616	1	0:00:08.171449
10900	2	4	0.346	0	0:00:08.167902
11000	5	5	0.858	1	0:00:08.166810
11100	7	8	0.379	0	0:00:08.168351
11200	8	0	0.604	0	0:00:08.168156
11300	4	3	0.953	0	0:00:08.163004
11400	5	2	0.228	0	0:00:08.163779
