idx	label	predict	radius	correct	time
0	3	3	0.479	1	0:00:08.202395
100	4	5	0.0211	0	0:00:08.200519
200	5	5	0.835	1	0:00:08.205131
300	6	6	0.953	1	0:00:08.203220
400	9	9	0.953	1	0:00:08.203063
500	4	6	0.157	0	0:00:08.204779
600	8	8	0.922	1	0:00:08.201592
700	7	7	0.953	1	0:00:08.201767
800	7	7	0.953	1	0:00:08.202738
900	2	6	0.29	0	0:00:08.198828
1000	5	5	0.953	1	0:00:08.201761
1100	7	7	0.307	1	0:00:08.201871
1200	8	8	0.619	1	0:00:08.203533
1300	4	3	0.568	0	0:00:08.191285
1400	5	3	0.0178	0	0:00:08.197175
1500	1	1	0.953	1	0:00:08.202734
1600	8	-1	0.0	0	0:00:08.199009
1700	5	5	0.411	1	0:00:08.199001
1800	4	4	0.252	1	0:00:08.199616
1900	8	8	0.953	1	0:00:08.198667
2000	1	1	0.886	1	0:00:08.201842
2100	2	2	0.74	1	0:00:08.198606
2200	0	0	0.345	1	0:00:08.195217
2300	3	3	0.117	1	0:00:08.196180
2400	0	0	0.953	1	0:00:08.200008
2500	4	4	0.138	1	0:00:08.197724
2600	8	8	0.953	1	0:00:08.196757
2700	9	9	0.252	1	0:00:08.204935
2800	4	4	0.4	1	0:00:08.198957
2900	3	5	0.286	0	0:00:08.201869
3000	5	5	0.953	1	0:00:08.199276
3100	0	0	0.935	1	0:00:08.188838
3200	5	5	0.47	1	0:00:08.199306
3300	4	4	0.291	1	0:00:08.197964
3400	6	4	0.476	0	0:00:08.198212
3500	1	1	0.503	1	0:00:08.204342
3600	4	2	0.407	0	0:00:08.202025
3700	3	3	0.953	1	0:00:08.199056
3800	9	9	0.794	1	0:00:08.200132
3900	3	6	0.326	0	0:00:08.199858
4000	8	0	0.0767	0	0:00:08.200527
4100	7	7	0.953	1	0:00:08.200468
4200	4	4	0.29	1	0:00:08.196595
4300	8	8	0.953	1	0:00:08.198533
4400	3	3	0.0584	1	0:00:08.195961
4500	3	5	0.319	0	0:00:08.199194
4600	4	4	0.0267	1	0:00:08.201572
4700	6	-1	0.0	0	0:00:08.200611
4800	9	9	0.953	1	0:00:08.202749
4900	3	-1	0.0	0	0:00:08.201256
5000	7	7	0.953	1	0:00:08.204437
5100	3	3	0.953	1	0:00:08.203304
5200	3	3	0.858	1	0:00:08.202339
