idx	label	predict	radius	correct	time
0	3	3	0.573	1	0:00:08.201292
100	4	-1	0.0	0	0:00:08.199540
200	5	5	0.424	1	0:00:08.209640
300	6	6	0.672	1	0:00:08.207080
400	9	9	0.953	1	0:00:08.209649
500	4	6	0.0343	0	0:00:08.206662
600	8	8	0.0297	1	0:00:08.205827
700	7	7	0.581	1	0:00:08.209732
800	7	7	0.953	1	0:00:08.208965
900	2	6	0.564	0	0:00:08.204416
1000	5	5	0.953	1	0:00:08.207923
1100	7	7	0.41	1	0:00:08.211411
1200	8	8	0.405	1	0:00:08.209928
1300	4	3	0.543	0	0:00:08.197186
1400	5	5	0.225	1	0:00:08.204713
1500	1	1	0.953	1	0:00:08.209971
1600	8	6	0.108	0	0:00:08.204210
1700	5	5	0.113	1	0:00:08.203516
1800	4	4	0.19	1	0:00:08.206474
1900	8	8	0.953	1	0:00:08.207775
2000	1	1	0.291	1	0:00:08.210592
2100	2	2	0.898	1	0:00:08.208207
2200	0	2	0.0491	0	0:00:08.204707
2300	3	3	0.214	1	0:00:08.204010
2400	0	0	0.953	1	0:00:08.208561
2500	4	4	0.187	1	0:00:08.206531
2600	8	8	0.953	1	0:00:08.205693
2700	9	9	0.0879	1	0:00:08.209265
2800	4	4	0.24	1	0:00:08.205042
2900	3	-1	0.0	0	0:00:08.208019
3000	5	5	0.953	1	0:00:08.205919
3100	0	0	0.913	1	0:00:08.196929
3200	5	5	0.367	1	0:00:08.205857
3300	4	2	0.108	0	0:00:08.205118
3400	6	4	0.565	0	0:00:08.205503
3500	1	9	0.25	0	0:00:08.206651
3600	4	2	0.519	0	0:00:08.204652
3700	3	3	0.935	1	0:00:08.201846
3800	9	9	0.388	1	0:00:08.203279
3900	3	6	0.631	0	0:00:08.202410
4000	8	0	0.326	0	0:00:08.200538
4100	7	7	0.953	1	0:00:08.206353
4200	4	2	0.18	0	0:00:08.198560
4300	8	8	0.905	1	0:00:08.202760
4400	3	6	0.11	0	0:00:08.203270
4500	3	5	0.656	0	0:00:08.206451
4600	4	4	0.334	1	0:00:08.205740
4700	6	1	0.0976	0	0:00:08.206855
4800	9	9	0.953	1	0:00:08.210421
4900	3	5	0.072	0	0:00:08.208757
5000	7	7	0.953	1	0:00:08.207423
5100	3	3	0.935	1	0:00:08.205860
5200	3	5	0.145	0	0:00:08.207011
5300	9	9	0.0704	1	0:00:08.207836
5400	9	9	0.595	1	0:00:08.204479
5500	8	8	0.513	1	0:00:08.205532
5600	6	5	0.19	0	0:00:08.205028
5700	3	3	0.326	1	0:00:08.207340
5800	2	2	0.922	1	0:00:08.204834
5900	4	3	0.178	0	0:00:08.202777
6000	8	9	0.0598	0	0:00:08.204181
6100	1	1	0.498	1	0:00:08.204366
6200	3	2	0.18	0	0:00:08.205544
6300	1	1	0.159	1	0:00:08.203939
6400	0	0	0.186	1	0:00:08.205426
6500	7	-1	0.0	0	0:00:08.206314
6600	7	7	0.953	1	0:00:08.210450
6700	6	6	0.496	1	0:00:08.208221
