idx	label	predict	radius	correct	time
0	3	3	0.646	1	0:00:08.155302
100	4	4	0.33	1	0:00:08.153242
200	5	5	0.935	1	0:00:08.159827
300	6	6	0.61	1	0:00:08.157888
400	9	9	0.953	1	0:00:08.162826
500	4	4	0.144	1	0:00:08.160475
600	8	8	0.724	1	0:00:08.160218
700	7	7	0.953	1	0:00:08.159599
800	7	7	0.953	1	0:00:08.162034
900	2	6	0.112	0	0:00:08.159989
1000	5	5	0.953	1	0:00:08.159745
1100	7	8	0.0338	0	0:00:08.158908
1200	8	8	0.556	1	0:00:08.158996
1300	4	3	0.922	0	0:00:08.152083
1400	5	3	0.0596	0	0:00:08.154901
1500	1	1	0.953	1	0:00:08.162496
1600	8	-1	0.0	0	0:00:08.159666
1700	5	5	0.186	1	0:00:08.162028
1800	4	4	0.0211	1	0:00:08.158895
1900	8	8	0.953	1	0:00:08.157313
2000	1	1	0.432	1	0:00:08.157679
2100	2	2	0.695	1	0:00:08.156297
2200	0	0	0.188	1	0:00:08.154582
2300	3	-1	0.0	0	0:00:08.156014
2400	0	0	0.953	1	0:00:08.164674
2500	4	4	0.059	1	0:00:08.155230
2600	8	8	0.953	1	0:00:08.154460
2700	9	1	0.215	0	0:00:08.160393
2800	4	4	0.405	1	0:00:08.153212
2900	3	5	0.0374	0	0:00:08.160115
3000	5	5	0.953	1	0:00:08.157111
3100	0	0	0.476	1	0:00:08.148492
3200	5	5	0.475	1	0:00:08.159169
3300	4	4	0.12	1	0:00:08.156795
3400	6	4	0.47	0	0:00:08.157051
3500	1	1	0.205	1	0:00:08.160434
3600	4	2	0.401	0	0:00:08.159493
3700	3	3	0.953	1	0:00:08.156256
3800	9	9	0.174	1	0:00:08.158958
3900	3	3	0.143	1	0:00:08.159616
4000	8	4	0.211	0	0:00:08.155381
4100	7	7	0.953	1	0:00:08.161283
4200	4	4	0.0922	1	0:00:08.154256
4300	8	8	0.913	1	0:00:08.157247
4400	3	-1	0.0	0	0:00:08.165845
4500	3	5	0.0165	0	0:00:08.159339
4600	4	4	0.29	1	0:00:08.159414
4700	6	6	0.32	1	0:00:08.161780
4800	9	9	0.953	1	0:00:08.162539
4900	3	5	0.0695	0	0:00:08.163341
5000	7	7	0.953	1	0:00:08.169155
5100	3	3	0.72	1	0:00:08.161238
5200	3	3	0.125	1	0:00:08.158633
5300	9	9	0.953	1	0:00:08.162585
5400	9	9	0.862	1	0:00:08.163713
5500	8	8	0.492	1	0:00:08.160976
5600	6	6	0.0304	1	0:00:08.160977
5700	3	3	0.272	1	0:00:08.160279
5800	2	2	0.842	1	0:00:08.157979
5900	4	2	0.067	0	0:00:08.155204
6000	8	8	0.58	1	0:00:08.158831
6100	1	1	0.905	1	0:00:08.158489
6200	3	3	0.498	1	0:00:08.163704
6300	1	1	0.654	1	0:00:08.160362
6400	0	0	0.182	1	0:00:08.159546
6500	7	6	0.00499	0	0:00:08.158155
6600	7	7	0.953	1	0:00:08.162728
6700	6	6	0.892	1	0:00:08.159220
6800	6	6	0.0849	1	0:00:08.159580
6900	3	3	0.347	1	0:00:08.166060
7000	2	2	0.0256	1	0:00:08.156435
7100	9	5	0.0342	0	0:00:08.163055
7200	4	-1	0.0	0	0:00:08.154922
7300	3	5	0.143	0	0:00:08.157381
7400	3	3	0.892	1	0:00:08.157772
7500	6	6	0.953	1	0:00:08.162127
7600	8	0	0.117	0	0:00:08.157162
7700	6	6	0.953	1	0:00:08.156795
7800	0	0	0.68	1	0:00:08.153327
7900	0	0	0.00703	1	0:00:08.158784
8000	9	9	0.789	1	0:00:08.159744
8100	6	2	0.634	0	0:00:08.160222
8200	3	4	0.0677	0	0:00:08.159138
8300	5	2	0.475	0	0:00:08.155170
8400	0	0	0.0565	1	0:00:08.155354
8500	4	4	0.881	1	0:00:08.154365
8600	3	6	0.00507	0	0:00:08.157002
8700	3	3	0.745	1	0:00:08.156773
8800	0	0	0.953	1	0:00:08.155869
8900	2	2	0.823	1	0:00:08.154965
9000	8	8	0.953	1	0:00:08.158582
9100	9	1	0.023	0	0:00:08.158074
9200	8	8	0.953	1	0:00:08.153522
9300	5	-1	0.0	0	0:00:08.159062
9400	6	6	0.784	1	0:00:08.158046
9500	9	9	0.66	1	0:00:08.159460
9600	8	8	0.953	1	0:00:08.155563
9700	0	0	0.596	1	0:00:08.155628
9800	1	1	0.953	1	0:00:08.163152
9900	8	8	0.784	1	0:00:08.156934
10000	3	3	0.363	1	0:00:08.158176
10100	4	4	0.204	1	0:00:08.154932
10200	5	5	0.248	1	0:00:08.160239
10300	6	4	0.145	0	0:00:08.156217
10400	9	9	0.837	1	0:00:08.162635
10500	4	6	0.323	0	0:00:08.158148
10600	8	8	0.173	1	0:00:08.157305
10700	7	7	0.446	1	0:00:08.159423
10800	7	7	0.636	1	0:00:08.156713
10900	2	4	0.698	0	0:00:08.152081
11000	5	5	0.935	1	0:00:08.154763
11100	7	8	0.0133	0	0:00:08.156315
11200	8	8	0.855	1	0:00:08.157959
11300	4	3	0.953	0	0:00:08.149162
11400	5	3	0.107	0	0:00:08.154306
11500	1	1	0.575	1	0:00:08.167286
11600	8	-1	0.0	0	0:00:08.158536
11700	5	2	0.219	0	0:00:08.154991
11800	4	-1	0.0	0	0:00:08.155001
11900	8	8	0.953	1	0:00:08.155240
12000	1	6	0.469	0	0:00:08.154934
12100	2	2	0.557	1	0:00:08.155219
12200	0	0	0.599	1	0:00:08.155265
12300	3	4	0.061	0	0:00:08.156726
12400	0	0	0.953	1	0:00:08.159888
12500	4	4	0.565	1	0:00:08.155481
12600	8	8	0.953	1	0:00:08.154207
12700	9	9	0.384	1	0:00:08.159647
12800	4	4	0.571	1	0:00:08.152248
12900	3	-1	0.0	0	0:00:08.155582
13000	5	5	0.371	1	0:00:08.157716
13100	0	0	0.0625	1	0:00:08.149045
13200	5	5	0.41	1	0:00:08.156096
13300	4	2	0.204	0	0:00:08.153483
13400	6	4	0.546	0	0:00:08.153638
13500	1	9	0.183	0	0:00:08.156351
13600	4	2	0.38	0	0:00:08.156749
13700	3	3	0.527	1	0:00:08.157939
13800	9	3	0.185	0	0:00:08.158088
13900	3	6	0.399	0	0:00:08.156383
14000	8	4	0.316	0	0:00:08.152957
14100	7	7	0.953	1	0:00:08.157450
14200	4	4	0.216	1	0:00:08.151150
14300	8	8	0.758	1	0:00:08.152705
14400	3	-1	0.0	0	0:00:08.152053
14500	3	5	0.00199	0	0:00:08.158205
14600	4	4	0.38	1	0:00:08.157243
14700	6	6	0.164	1	0:00:08.154281
14800	9	9	0.953	1	0:00:08.156867
14900	3	3	0.00217	1	0:00:08.155292
15000	7	7	0.953	1	0:00:08.158267
15100	3	3	0.32	1	0:00:08.158552
15200	3	-1	0.0	0	0:00:08.156229
15300	9	9	0.59	1	0:00:08.156253
15400	9	9	0.852	1	0:00:08.151936
15500	8	8	0.765	1	0:00:08.152043
15600	6	5	0.298	0	0:00:08.153610
15700	3	3	0.171	1	0:00:08.153173
15800	2	2	0.47	1	0:00:08.152415
15900	4	4	0.269	1	0:00:08.150637
16000	8	8	0.0678	1	0:00:08.162832
16100	1	-1	0.0	0	0:00:08.171051
16200	3	3	0.877	1	0:00:08.158742
16300	1	1	0.056	1	0:00:08.160984
16400	0	8	0.185	0	0:00:08.161787
16500	7	6	0.221	0	0:00:08.159644
16600	7	7	0.953	1	0:00:08.164283
16700	6	6	0.621	1	0:00:08.160605
16800	6	4	0.623	0	0:00:08.157715
16900	3	3	0.154	1	0:00:08.165720
17000	2	2	0.442	1	0:00:08.158499
17100	9	5	0.0219	0	0:00:08.163149
17200	4	3	0.0316	0	0:00:08.155292
17300	3	4	0.138	0	0:00:08.156689
17400	3	3	0.749	1	0:00:08.161684
17500	6	6	0.953	1	0:00:08.162784
17600	8	2	0.00984	0	0:00:08.155694
17700	6	6	0.371	1	0:00:08.155553
17800	0	0	0.279	1	0:00:08.153724
17900	0	2	0.0804	0	0:00:08.154223
18000	9	9	0.429	1	0:00:08.154360
18100	6	2	0.819	0	0:00:08.159214
18200	3	4	0.431	0	0:00:08.157026
18300	5	2	0.163	0	0:00:08.156856
18400	0	8	0.043	0	0:00:08.154687
18500	4	4	0.831	1	0:00:08.153157
18600	3	6	0.0288	0	0:00:08.157225
18700	3	3	0.486	1	0:00:08.153753
18800	0	0	0.953	1	0:00:08.153215
18900	2	2	0.648	1	0:00:08.154964
19000	8	8	0.953	1	0:00:08.157838
19100	9	-1	0.0	0	0:00:08.159219
19200	8	8	0.953	1	0:00:08.154255
19300	5	2	0.0285	0	0:00:08.157621
19400	6	6	0.186	1	0:00:08.158518
19500	9	9	0.423	1	0:00:08.159841
19600	8	8	0.804	1	0:00:08.153694
19700	0	-1	0.0	0	0:00:08.156667
19800	1	1	0.953	1	0:00:08.164793
19900	8	8	0.366	1	0:00:08.160773
20000	3	3	0.413	1	0:00:08.160660
20100	4	5	0.11	0	0:00:08.155115
20200	5	5	0.256	1	0:00:08.167999
20300	6	-1	0.0	0	0:00:08.161655
20400	9	9	0.786	1	0:00:08.163570
20500	4	4	0.309	1	0:00:08.162591
20600	8	8	0.0706	1	0:00:08.159706
20700	7	7	0.514	1	0:00:08.161125
20800	7	7	0.495	1	0:00:08.162990
20900	2	4	0.508	0	0:00:08.158638
21000	5	5	0.913	1	0:00:08.162270
21100	7	8	0.312	0	0:00:08.161156
21200	8	8	0.312	1	0:00:08.159937
21300	4	3	0.842	0	0:00:08.158533
21400	5	3	0.56	0	0:00:08.162342
21500	1	1	0.129	1	0:00:08.163349
21600	8	4	0.512	0	0:00:08.160004
21700	5	2	0.457	0	0:00:08.162394
21800	4	8	0.0679	0	0:00:08.159575
21900	8	8	0.953	1	0:00:08.160140
22000	1	4	0.0413	0	0:00:08.163771
22100	2	2	0.00453	1	0:00:08.162427
22200	0	0	0.0641	1	0:00:08.159075
22300	3	-1	0.0	0	0:00:08.160970
22400	0	0	0.953	1	0:00:08.163792
22500	4	2	0.485	0	0:00:08.158457
22600	8	8	0.63	1	0:00:08.155479
22700	9	3	0.381	0	0:00:08.163847
22800	4	3	0.275	0	0:00:08.159877
22900	3	2	0.0155	0	0:00:08.160519
23000	5	5	0.905	1	0:00:08.160609
23100	0	0	0.227	1	0:00:08.157521
23200	5	7	0.11	0	0:00:08.163301
23300	4	4	0.721	1	0:00:08.159660
23400	6	-1	0.0	0	0:00:08.159706
23500	1	2	0.0777	0	0:00:08.164275
23600	4	2	0.435	0	0:00:08.159521
23700	3	3	0.228	1	0:00:08.158044
23800	9	-1	0.0	0	0:00:08.162924
23900	3	6	0.0542	0	0:00:08.162647
24000	8	4	0.354	0	0:00:08.160075
24100	7	7	0.398	1	0:00:08.162385
24200	4	2	0.0158	0	0:00:08.161395
24300	8	8	0.732	1	0:00:08.162034
24400	3	6	0.209	0	0:00:08.160792
24500	3	3	0.533	1	0:00:08.161088
24600	4	4	0.583	1	0:00:08.165322
24700	6	4	0.221	0	0:00:08.165288
