idx	label	predict	radius	correct	time
0	3	3	0.446	1	0:00:08.548551
100	4	4	0.0451	1	0:00:08.022894
200	5	5	0.796	1	0:00:08.062703
300	6	6	0.953	1	0:00:08.079659
400	9	9	0.953	1	0:00:08.102242
500	4	6	0.247	0	0:00:08.116194
600	8	8	0.953	1	0:00:08.136523
700	7	7	0.953	1	0:00:08.149363
800	7	7	0.953	1	0:00:08.160060
900	2	6	0.289	0	0:00:08.159292
1000	5	5	0.953	1	0:00:08.169786
1100	7	7	0.326	1	0:00:08.171683
1200	8	8	0.595	1	0:00:08.177556
1300	4	3	0.605	0	0:00:08.168157
1400	5	3	0.0288	0	0:00:08.177338
1500	1	1	0.953	1	0:00:08.185603
1600	8	9	0.0602	0	0:00:08.192119
1700	5	5	0.42	1	0:00:08.194941
1800	4	4	0.231	1	0:00:08.195514
1900	8	8	0.953	1	0:00:08.192689
2000	1	1	0.922	1	0:00:08.198933
2100	2	2	0.756	1	0:00:08.197950
2200	0	0	0.323	1	0:00:08.197080
2300	3	3	0.191	1	0:00:08.199358
2400	0	0	0.953	1	0:00:08.202240
2500	4	4	0.0486	1	0:00:08.198987
2600	8	8	0.953	1	0:00:08.201620
2700	9	9	0.281	1	0:00:08.204302
2800	4	4	0.443	1	0:00:08.198118
2900	3	5	0.296	0	0:00:08.201132
3000	5	5	0.953	1	0:00:08.200515
3100	0	0	0.935	1	0:00:08.191244
3200	5	5	0.522	1	0:00:08.202615
3300	4	4	0.289	1	0:00:08.197986
3400	6	4	0.449	0	0:00:08.199546
3500	1	1	0.508	1	0:00:08.204262
3600	4	2	0.411	0	0:00:08.203737
3700	3	3	0.953	1	0:00:08.199522
3800	9	9	0.877	1	0:00:08.205848
3900	3	6	0.282	0	0:00:08.200145
4000	8	0	0.0234	0	0:00:08.198604
4100	7	7	0.953	1	0:00:08.203346
4200	4	4	0.296	1	0:00:08.197913
4300	8	8	0.953	1	0:00:08.198431
4400	3	3	0.028	1	0:00:08.200438
4500	3	5	0.317	0	0:00:08.202781
4600	4	4	0.0925	1	0:00:08.205280
4700	6	-1	0.0	0	0:00:08.201849
4800	9	9	0.953	1	0:00:08.204216
4900	3	3	0.0479	1	0:00:08.204423
5000	7	7	0.953	1	0:00:08.207043
5100	3	3	0.953	1	0:00:08.201325
5200	3	3	0.873	1	0:00:08.203190
5300	9	9	0.953	1	0:00:08.205437
5400	9	9	0.953	1	0:00:08.204293
5500	8	8	0.492	1	0:00:08.201938
5600	6	-1	0.0	0	0:00:08.199529
5700	3	3	0.156	1	0:00:08.202864
5800	2	2	0.953	1	0:00:08.200970
5900	4	3	0.0992	0	0:00:08.197296
6000	8	8	0.626	1	0:00:08.205242
6100	1	1	0.953	1	0:00:08.206408
6200	3	3	0.616	1	0:00:08.205032
6300	1	1	0.953	1	0:00:08.206641
6400	0	0	0.256	1	0:00:08.204705
6500	7	6	0.123	0	0:00:08.203379
6600	7	7	0.953	1	0:00:08.206296
6700	6	6	0.865	1	0:00:08.204079
6800	6	-1	0.0	0	0:00:08.201033
6900	3	3	0.667	1	0:00:08.207192
7000	2	-1	0.0	0	0:00:08.199374
7100	9	5	0.192	0	0:00:08.204784
7200	4	-1	0.0	0	0:00:08.197662
7300	3	5	0.374	0	0:00:08.203928
7400	3	3	0.677	1	0:00:08.201426
7500	6	6	0.953	1	0:00:08.206762
7600	8	9	0.201	0	0:00:08.198323
7700	6	6	0.953	1	0:00:08.199343
7800	0	0	0.922	1	0:00:08.192421
7900	0	-1	0.0	0	0:00:08.200056
8000	9	9	0.953	1	0:00:08.199195
8100	6	2	0.721	0	0:00:08.200010
8200	3	4	0.05	0	0:00:08.202407
8300	5	-1	0.0	0	0:00:08.199709
8400	0	0	0.413	1	0:00:08.196933
8500	4	4	0.829	1	0:00:08.196087
8600	3	5	0.0307	0	0:00:08.205609
8700	3	3	0.792	1	0:00:08.203775
8800	0	0	0.545	1	0:00:08.198853
8900	2	2	0.819	1	0:00:08.198161
9000	8	8	0.953	1	0:00:08.207054
9100	9	1	0.0489	0	0:00:08.199963
9200	8	8	0.935	1	0:00:08.192712
9300	5	5	0.163	1	0:00:08.200249
9400	6	6	0.953	1	0:00:08.200738
9500	9	9	0.953	1	0:00:08.199479
9600	8	8	0.829	1	0:00:08.196760
9700	0	0	0.767	1	0:00:08.195401
9800	1	1	0.953	1	0:00:08.207355
9900	8	8	0.898	1	0:00:08.201370
10000	3	3	0.469	1	0:00:08.199112
10100	4	-1	0.0	0	0:00:08.191765
10200	5	5	0.818	1	0:00:08.198312
10300	6	6	0.953	1	0:00:08.192791
10400	9	9	0.953	1	0:00:08.197494
10500	4	6	0.179	0	0:00:08.196224
10600	8	8	0.905	1	0:00:08.196461
10700	7	7	0.953	1	0:00:08.196321
10800	7	7	0.953	1	0:00:08.196701
10900	2	6	0.276	0	0:00:08.193640
11000	5	5	0.953	1	0:00:08.196365
11100	7	7	0.282	1	0:00:08.192485
11200	8	8	0.715	1	0:00:08.194767
11300	4	3	0.648	0	0:00:08.186277
11400	5	3	0.0295	0	0:00:08.188769
11500	1	1	0.953	1	0:00:08.198164
11600	8	9	0.0402	0	0:00:08.194888
11700	5	5	0.465	1	0:00:08.199582
11800	4	4	0.184	1	0:00:08.194509
11900	8	8	0.953	1	0:00:08.192935
12000	1	1	0.935	1	0:00:08.199188
12100	2	2	0.703	1	0:00:08.193884
12200	0	0	0.474	1	0:00:08.191653
12300	3	3	0.166	1	0:00:08.192795
12400	0	0	0.953	1	0:00:08.196625
12500	4	4	0.0354	1	0:00:08.193163
12600	8	8	0.953	1	0:00:08.196334
12700	9	9	0.275	1	0:00:08.201005
12800	4	4	0.433	1	0:00:08.198580
12900	3	5	0.351	0	0:00:08.199335
13000	5	5	0.953	1	0:00:08.200278
13100	0	0	0.953	1	0:00:08.189075
13200	5	5	0.443	1	0:00:08.201816
13300	4	4	0.301	1	0:00:08.197630
13400	6	4	0.486	0	0:00:08.198189
13500	1	1	0.571	1	0:00:08.205283
13600	4	2	0.426	0	0:00:08.201867
13700	3	3	0.953	1	0:00:08.202466
13800	9	9	0.913	1	0:00:08.204983
13900	3	6	0.231	0	0:00:08.204115
14000	8	-1	0.0	0	0:00:08.203735
14100	7	7	0.953	1	0:00:08.208023
14200	4	4	0.402	1	0:00:08.199187
14300	8	8	0.935	1	0:00:08.206646
14400	3	-1	0.0	0	0:00:08.204707
14500	3	5	0.34	0	0:00:08.206954
14600	4	4	0.0857	1	0:00:08.206998
