idx	label	predict	radius	correct	time
0	3	3	0.426	1	0:00:08.171687
100	4	5	0.0295	0	0:00:08.172818
200	5	5	0.855	1	0:00:08.175569
300	6	6	0.953	1	0:00:08.173589
400	9	9	0.953	1	0:00:08.178293
500	4	6	0.223	0	0:00:08.173487
600	8	8	0.935	1	0:00:08.177263
700	7	7	0.953	1	0:00:08.176954
800	7	7	0.953	1	0:00:08.178797
900	2	6	0.285	0	0:00:08.173517
1000	5	5	0.953	1	0:00:08.177141
1100	7	7	0.197	1	0:00:08.178301
1200	8	8	0.637	1	0:00:08.181262
1300	4	3	0.561	0	0:00:08.170520
1400	5	3	0.0389	0	0:00:08.172230
1500	1	1	0.953	1	0:00:08.177673
1600	8	9	0.0903	0	0:00:08.178213
1700	5	5	0.497	1	0:00:08.177418
1800	4	4	0.212	1	0:00:08.175467
1900	8	8	0.953	1	0:00:08.172539
2000	1	1	0.913	1	0:00:08.176965
2100	2	2	0.768	1	0:00:08.173364
2200	0	0	0.294	1	0:00:08.173620
2300	3	3	0.121	1	0:00:08.175746
2400	0	0	0.953	1	0:00:08.175802
2500	4	-1	0.0	0	0:00:08.174772
2600	8	8	0.953	1	0:00:08.174577
2700	9	9	0.182	1	0:00:08.181429
2800	4	4	0.392	1	0:00:08.174968
2900	3	5	0.268	0	0:00:08.178815
3000	5	5	0.953	1	0:00:08.179974
3100	0	0	0.953	1	0:00:08.172576
3200	5	5	0.447	1	0:00:08.181104
3300	4	4	0.31	1	0:00:08.179592
3400	6	4	0.473	0	0:00:08.178792
3500	1	1	0.442	1	0:00:08.182812
3600	4	2	0.446	0	0:00:08.178134
3700	3	3	0.953	1	0:00:08.174260
3800	9	9	0.881	1	0:00:08.179632
3900	3	6	0.32	0	0:00:08.178120
4000	8	0	0.144	0	0:00:08.177572
4100	7	7	0.953	1	0:00:08.179287
4200	4	4	0.305	1	0:00:08.171374
4300	8	8	0.953	1	0:00:08.174386
4400	3	3	0.0018	1	0:00:08.175053
4500	3	5	0.266	0	0:00:08.179405
4600	4	4	0.0313	1	0:00:08.179862
4700	6	-1	0.0	0	0:00:08.177958
4800	9	9	0.953	1	0:00:08.180933
4900	3	3	0.0669	1	0:00:08.179045
5000	7	7	0.953	1	0:00:08.180788
5100	3	3	0.953	1	0:00:08.181077
5200	3	3	0.825	1	0:00:08.178070
5300	9	9	0.953	1	0:00:08.183526
5400	9	9	0.922	1	0:00:08.179571
5500	8	8	0.644	1	0:00:08.179391
5600	6	6	0.0271	1	0:00:08.181075
5700	3	3	0.226	1	0:00:08.181971
5800	2	2	0.953	1	0:00:08.177512
5900	4	3	0.118	0	0:00:08.175505
6000	8	8	0.676	1	0:00:08.180043
6100	1	1	0.953	1	0:00:08.182779
6200	3	3	0.671	1	0:00:08.179927
6300	1	1	0.953	1	0:00:08.182001
6400	0	0	0.276	1	0:00:08.180505
6500	7	6	0.222	0	0:00:08.178462
6600	7	7	0.953	1	0:00:08.183155
