idx	label	predict	radius	correct	time
0	3	3	0.667	1	0:00:08.158169
100	4	5	0.0865	0	0:00:08.155396
200	5	5	0.913	1	0:00:08.162305
300	6	6	0.935	1	0:00:08.163008
400	9	9	0.953	1	0:00:08.166390
500	4	6	0.16	0	0:00:08.162716
600	8	8	0.892	1	0:00:08.163822
700	7	7	0.935	1	0:00:08.162437
800	7	7	0.953	1	0:00:08.169630
900	2	6	0.344	0	0:00:08.159395
1000	5	5	0.953	1	0:00:08.165457
1100	7	7	0.228	1	0:00:08.162856
1200	8	8	0.556	1	0:00:08.159857
1300	4	3	0.598	0	0:00:08.154242
1400	5	3	0.108	0	0:00:08.157122
1500	1	1	0.953	1	0:00:08.168165
1600	8	9	0.0262	0	0:00:08.163729
1700	5	5	0.138	1	0:00:08.161175
1800	4	4	0.14	1	0:00:08.159502
1900	8	8	0.953	1	0:00:08.158518
2000	1	1	0.8	1	0:00:08.161823
2100	2	2	0.772	1	0:00:08.161059
2200	0	0	0.418	1	0:00:08.161293
2300	3	3	0.0168	1	0:00:08.161300
2400	0	0	0.953	1	0:00:08.162173
2500	4	4	0.242	1	0:00:08.158227
2600	8	8	0.953	1	0:00:08.157738
2700	9	9	0.151	1	0:00:08.161579
2800	4	4	0.19	1	0:00:08.157859
2900	3	5	0.328	0	0:00:08.163187
3000	5	5	0.953	1	0:00:08.160861
3100	0	0	0.953	1	0:00:08.151361
3200	5	5	0.418	1	0:00:08.160840
3300	4	4	0.245	1	0:00:08.159337
3400	6	4	0.469	0	0:00:08.158018
3500	1	1	0.611	1	0:00:08.164702
3600	4	2	0.347	0	0:00:08.160945
3700	3	3	0.953	1	0:00:08.159078
3800	9	9	0.548	1	0:00:08.159190
3900	3	6	0.411	0	0:00:08.160026
4000	8	0	0.169	0	0:00:08.158493
4100	7	7	0.953	1	0:00:08.160206
4200	4	4	0.155	1	0:00:08.153112
4300	8	8	0.953	1	0:00:08.154944
4400	3	3	0.0783	1	0:00:08.156989
4500	3	5	0.377	0	0:00:08.158950
4600	4	4	0.0954	1	0:00:08.161130
4700	6	-1	0.0	0	0:00:08.159922
4800	9	9	0.953	1	0:00:08.162992
4900	3	-1	0.0	0	0:00:08.163171
5000	7	7	0.953	1	0:00:08.164066
5100	3	3	0.953	1	0:00:08.160226
5200	3	3	0.81	1	0:00:08.160622
5300	9	9	0.935	1	0:00:08.161816
5400	9	9	0.852	1	0:00:08.158745
5500	8	8	0.669	1	0:00:08.160798
5600	6	-1	0.0	0	0:00:08.159724
5700	3	3	0.307	1	0:00:08.162596
5800	2	2	0.953	1	0:00:08.159858
5900	4	3	0.114	0	0:00:08.158070
6000	8	8	0.564	1	0:00:08.158988
6100	1	1	0.953	1	0:00:08.161793
6200	3	3	0.788	1	0:00:08.160214
6300	1	1	0.935	1	0:00:08.160380
6400	0	0	0.228	1	0:00:08.160481
6500	7	6	0.152	0	0:00:08.159367
6600	7	7	0.953	1	0:00:08.163308
6700	6	6	0.759	1	0:00:08.162243
6800	6	4	0.0552	0	0:00:08.158705
6900	3	3	0.865	1	0:00:08.166090
7000	2	8	0.0251	0	0:00:08.156955
7100	9	5	0.0837	0	0:00:08.162525
7200	4	-1	0.0	0	0:00:08.156453
7300	3	5	0.383	0	0:00:08.171357
7400	3	3	0.718	1	0:00:08.172021
7500	6	6	0.953	1	0:00:08.175005
7600	8	9	0.117	0	0:00:08.174248
7700	6	6	0.953	1	0:00:08.172836
7800	0	0	0.827	1	0:00:08.169671
7900	0	8	0.425	0	0:00:08.172235
8000	9	9	0.953	1	0:00:08.173332
8100	6	2	0.844	0	0:00:08.175502
8200	3	4	0.131	0	0:00:08.175637
8300	5	2	0.0536	0	0:00:08.170917
8400	0	0	0.4	1	0:00:08.173665
8500	4	4	0.922	1	0:00:08.170703
8600	3	-1	0.0	0	0:00:08.176429
8700	3	3	0.849	1	0:00:08.173453
8800	0	0	0.61	1	0:00:08.173250
8900	2	2	0.778	1	0:00:08.171229
9000	8	8	0.953	1	0:00:08.176596
9100	9	1	0.209	0	0:00:08.175976
9200	8	8	0.953	1	0:00:08.172637
9300	5	5	0.0498	1	0:00:08.175056
9400	6	6	0.721	1	0:00:08.172771
9500	9	9	0.819	1	0:00:08.180139
9600	8	8	0.829	1	0:00:08.174301
9700	0	0	0.726	1	0:00:08.175510
9800	1	1	0.953	1	0:00:08.179958
9900	8	8	0.759	1	0:00:08.179366
10000	3	3	0.877	1	0:00:08.176763
10100	4	5	0.0354	0	0:00:08.175907
10200	5	5	0.886	1	0:00:08.177363
10300	6	6	0.569	1	0:00:08.174294
10400	9	9	0.953	1	0:00:08.178096
10500	4	-1	0.0	0	0:00:08.172818
10600	8	8	0.881	1	0:00:08.175160
10700	7	7	0.886	1	0:00:08.179069
10800	7	7	0.953	1	0:00:08.174222
10900	2	6	0.225	0	0:00:08.171128
11000	5	5	0.953	1	0:00:08.175976
11100	7	7	0.255	1	0:00:08.180782
11200	8	8	0.64	1	0:00:08.174307
11300	4	3	0.62	0	0:00:08.165244
11400	5	3	0.155	0	0:00:08.172142
11500	1	1	0.953	1	0:00:08.179139
11600	8	9	0.058	0	0:00:08.174144
11700	5	5	0.0981	1	0:00:08.175758
11800	4	4	0.0956	1	0:00:08.174500
11900	8	8	0.953	1	0:00:08.170897
12000	1	1	0.663	1	0:00:08.173622
12100	2	2	0.751	1	0:00:08.170489
12200	0	0	0.476	1	0:00:08.170274
12300	3	3	0.0975	1	0:00:08.170921
12400	0	0	0.953	1	0:00:08.173554
12500	4	4	0.306	1	0:00:08.172452
12600	8	8	0.953	1	0:00:08.171569
12700	9	9	0.162	1	0:00:08.176757
12800	4	4	0.468	1	0:00:08.172077
12900	3	5	0.332	0	0:00:08.173637
13000	5	5	0.953	1	0:00:08.173459
13100	0	0	0.935	1	0:00:08.165300
13200	5	5	0.319	1	0:00:08.172643
13300	4	4	0.213	1	0:00:08.174969
13400	6	4	0.52	0	0:00:08.175705
13500	1	1	0.298	1	0:00:08.177715
13600	4	2	0.275	0	0:00:08.176664
13700	3	3	0.953	1	0:00:08.174711
13800	9	9	0.379	1	0:00:08.176446
13900	3	6	0.471	0	0:00:08.173056
14000	8	0	0.211	0	0:00:08.173102
14100	7	7	0.953	1	0:00:08.176794
14200	4	4	0.233	1	0:00:08.169675
14300	8	8	0.953	1	0:00:08.172145
14400	3	3	0.14	1	0:00:08.171212
14500	3	5	0.396	0	0:00:08.175587
14600	4	4	0.134	1	0:00:08.176700
14700	6	-1	0.0	0	0:00:08.174147
14800	9	9	0.953	1	0:00:08.177414
