idx	label	predict	radius	correct	time
0	3	3	0.509	1	0:00:08.170261
100	4	5	0.0222	0	0:00:08.167591
200	5	5	0.833	1	0:00:08.172934
300	6	6	0.913	1	0:00:08.170756
400	9	9	0.953	1	0:00:08.175290
500	4	6	0.145	0	0:00:08.172439
600	8	8	0.953	1	0:00:08.173476
700	7	7	0.953	1	0:00:08.171436
800	7	7	0.953	1	0:00:08.172680
900	2	6	0.278	0	0:00:08.169296
1000	5	5	0.953	1	0:00:08.173829
1100	7	7	0.318	1	0:00:08.173380
1200	8	8	0.636	1	0:00:08.173465
1300	4	3	0.593	0	0:00:08.162160
1400	5	3	0.0223	0	0:00:08.167478
1500	1	1	0.953	1	0:00:08.175164
1600	8	9	0.0906	0	0:00:08.174328
1700	5	5	0.445	1	0:00:08.173489
1800	4	4	0.227	1	0:00:08.171696
1900	8	8	0.953	1	0:00:08.174636
2000	1	1	0.913	1	0:00:08.174142
2100	2	2	0.778	1	0:00:08.173852
2200	0	0	0.347	1	0:00:08.169096
2300	3	3	0.0903	1	0:00:08.170532
2400	0	0	0.953	1	0:00:08.176961
2500	4	4	0.0903	1	0:00:08.175652
2600	8	8	0.953	1	0:00:08.171652
2700	9	9	0.236	1	0:00:08.182061
2800	4	4	0.385	1	0:00:08.179528
2900	3	5	0.29	0	0:00:08.182499
3000	5	5	0.953	1	0:00:08.182279
3100	0	0	0.953	1	0:00:08.171754
3200	5	5	0.521	1	0:00:08.180756
3300	4	4	0.299	1	0:00:08.179583
3400	6	4	0.457	0	0:00:08.178240
3500	1	1	0.446	1	0:00:08.180392
3600	4	2	0.411	0	0:00:08.179039
3700	3	3	0.953	1	0:00:08.179204
3800	9	9	0.808	1	0:00:08.183282
3900	3	6	0.299	0	0:00:08.180490
4000	8	0	0.0947	0	0:00:08.177267
4100	7	7	0.953	1	0:00:08.179112
4200	4	4	0.295	1	0:00:08.175035
4300	8	8	0.953	1	0:00:08.177390
4400	3	3	0.065	1	0:00:08.174251
4500	3	5	0.318	0	0:00:08.178263
4600	4	4	0.0527	1	0:00:08.176945
4700	6	6	0.0495	1	0:00:08.176136
4800	9	9	0.953	1	0:00:08.178613
4900	3	3	0.00198	1	0:00:08.179789
5000	7	7	0.953	1	0:00:08.180448
5100	3	3	0.953	1	0:00:08.177164
5200	3	3	0.877	1	0:00:08.177125
5300	9	9	0.953	1	0:00:08.177308
5400	9	9	0.922	1	0:00:08.175613
5500	8	8	0.54	1	0:00:08.174345
5600	6	-1	0.0	0	0:00:08.173158
5700	3	3	0.206	1	0:00:08.177219
5800	2	2	0.953	1	0:00:08.175754
5900	4	3	0.124	0	0:00:08.173883
6000	8	8	0.686	1	0:00:08.175979
6100	1	1	0.935	1	0:00:08.178362
6200	3	3	0.767	1	0:00:08.176784
6300	1	1	0.953	1	0:00:08.177398
6400	0	0	0.51	1	0:00:08.175775
6500	7	6	0.0903	0	0:00:08.179861
6600	7	7	0.953	1	0:00:08.180741
6700	6	6	0.873	1	0:00:08.179590
6800	6	4	0.00553	0	0:00:08.174781
6900	3	3	0.6	1	0:00:08.182324
7000	2	8	0.0101	0	0:00:08.175717
7100	9	5	0.0939	0	0:00:08.180514
7200	4	-1	0.0	0	0:00:08.175938
7300	3	5	0.417	0	0:00:08.178558
7400	3	3	0.716	1	0:00:08.179945
7500	6	6	0.953	1	0:00:08.180311
7600	8	9	0.166	0	0:00:08.179759
7700	6	6	0.953	1	0:00:08.177703
7800	0	0	0.905	1	0:00:08.172583
7900	0	8	0.0879	0	0:00:08.181434
8000	9	9	0.953	1	0:00:08.175185
8100	6	2	0.681	0	0:00:08.174694
8200	3	4	0.133	0	0:00:08.175876
8300	5	-1	0.0	0	0:00:08.173342
8400	0	0	0.462	1	0:00:08.171227
8500	4	4	0.844	1	0:00:08.171657
8600	3	5	0.027	0	0:00:08.178840
8700	3	3	0.781	1	0:00:08.179380
8800	0	0	0.522	1	0:00:08.174358
8900	2	2	0.796	1	0:00:08.173600
9000	8	8	0.953	1	0:00:08.182250
9100	9	1	0.0435	0	0:00:08.177394
9200	8	8	0.953	1	0:00:08.170362
9300	5	5	0.0528	1	0:00:08.184597
9400	6	6	0.953	1	0:00:08.183528
9500	9	9	0.953	1	0:00:08.184154
9600	8	8	0.818	1	0:00:08.178402
9700	0	0	0.785	1	0:00:08.180622
9800	1	1	0.953	1	0:00:08.186765
9900	8	8	0.869	1	0:00:08.181014
10000	3	3	0.446	1	0:00:08.182644
10100	4	-1	0.0	0	0:00:08.177374
10200	5	5	0.862	1	0:00:08.181238
10300	6	6	0.953	1	0:00:08.181227
10400	9	9	0.953	1	0:00:08.184125
10500	4	6	0.158	0	0:00:08.181643
10600	8	8	0.935	1	0:00:08.184012
10700	7	7	0.935	1	0:00:08.182906
10800	7	7	0.953	1	0:00:08.182237
10900	2	6	0.278	0	0:00:08.180911
11000	5	5	0.953	1	0:00:08.181453
11100	7	7	0.201	1	0:00:08.183642
