idx	label	predict	radius	correct	time
0	3	3	0.467	1	0:00:08.230748
100	4	-1	0.0	0	0:00:08.226450
200	5	5	0.829	1	0:00:08.235161
300	6	6	0.953	1	0:00:08.231134
400	9	9	0.953	1	0:00:08.237108
500	4	6	0.234	0	0:00:08.235364
600	8	8	0.922	1	0:00:08.235548
700	7	7	0.953	1	0:00:08.234754
800	7	7	0.953	1	0:00:08.237420
900	2	6	0.28	0	0:00:08.235213
1000	5	5	0.953	1	0:00:08.237251
1100	7	7	0.316	1	0:00:08.234792
1200	8	8	0.627	1	0:00:08.235909
1300	4	3	0.573	0	0:00:08.222799
1400	5	3	0.0428	0	0:00:08.228873
1500	1	1	0.953	1	0:00:08.234460
1600	8	9	0.0793	0	0:00:08.232131
1700	5	5	0.447	1	0:00:08.234465
1800	4	4	0.286	1	0:00:08.230702
1900	8	8	0.953	1	0:00:08.229292
2000	1	1	0.905	1	0:00:08.228987
2100	2	2	0.721	1	0:00:08.226125
2200	0	0	0.379	1	0:00:08.225898
2300	3	3	0.158	1	0:00:08.220978
2400	0	0	0.953	1	0:00:08.226938
2500	4	4	0.0833	1	0:00:08.221259
2600	8	8	0.953	1	0:00:08.222397
2700	9	9	0.256	1	0:00:08.223251
2800	4	4	0.404	1	0:00:08.219210
2900	3	5	0.329	0	0:00:08.223603
3000	5	5	0.953	1	0:00:08.224196
3100	0	0	0.953	1	0:00:08.212510
3200	5	5	0.443	1	0:00:08.225098
3300	4	4	0.332	1	0:00:08.219389
3400	6	4	0.426	0	0:00:08.213503
3500	1	1	0.552	1	0:00:08.219313
3600	4	2	0.394	0	0:00:08.218335
3700	3	3	0.953	1	0:00:08.216352
3800	9	9	0.898	1	0:00:08.219320
3900	3	6	0.334	0	0:00:08.215649
4000	8	0	0.0638	0	0:00:08.214361
4100	7	7	0.953	1	0:00:08.218007
4200	4	4	0.313	1	0:00:08.211989
4300	8	8	0.953	1	0:00:08.214351
4400	3	3	0.0489	1	0:00:08.215220
4500	3	5	0.306	0	0:00:08.219489
4600	4	4	0.0162	1	0:00:08.219609
4700	6	6	0.0345	1	0:00:08.226378
4800	9	9	0.953	1	0:00:08.225678
4900	3	3	0.0898	1	0:00:08.226007
5000	7	7	0.953	1	0:00:08.226006
5100	3	3	0.953	1	0:00:08.224172
5200	3	3	0.844	1	0:00:08.221048
5300	9	9	0.953	1	0:00:08.222424
5400	9	9	0.953	1	0:00:08.224399
5500	8	8	0.595	1	0:00:08.222652
5600	6	6	0.0392	1	0:00:08.223999
5700	3	3	0.192	1	0:00:08.227690
5800	2	2	0.953	1	0:00:08.226381
5900	4	3	0.11	0	0:00:08.223466
6000	8	8	0.684	1	0:00:08.225950
