idx	label	predict	radius	correct	time
0	3	3	0.463	1	0:00:08.167920
100	4	4	0.0358	1	0:00:08.169579
200	5	5	0.905	1	0:00:08.173133
300	6	6	0.953	1	0:00:08.172014
400	9	9	0.953	1	0:00:08.174223
500	4	6	0.0934	0	0:00:08.170227
600	8	8	0.953	1	0:00:08.173910
700	7	7	0.953	1	0:00:08.172474
800	7	7	0.953	1	0:00:08.171749
900	2	6	0.121	0	0:00:08.168337
1000	5	5	0.953	1	0:00:08.171439
1100	7	7	0.239	1	0:00:08.176322
1200	8	8	0.745	1	0:00:08.169697
1300	4	3	0.687	0	0:00:08.162918
1400	5	5	0.0047	1	0:00:08.169629
1500	1	1	0.852	1	0:00:08.177152
1600	8	9	0.0119	0	0:00:08.173486
1700	5	5	0.442	1	0:00:08.171551
1800	4	4	0.102	1	0:00:08.172011
1900	8	8	0.953	1	0:00:08.166405
2000	1	1	0.953	1	0:00:08.172940
2100	2	2	0.818	1	0:00:08.173182
2200	0	0	0.394	1	0:00:08.169389
2300	3	3	0.174	1	0:00:08.171632
2400	0	0	0.953	1	0:00:08.173560
2500	4	4	0.0863	1	0:00:08.169854
2600	8	8	0.953	1	0:00:08.169643
2700	9	9	0.149	1	0:00:08.175197
2800	4	4	0.392	1	0:00:08.172501
2900	3	5	0.401	0	0:00:08.173778
3000	5	5	0.953	1	0:00:08.171568
3100	0	0	0.953	1	0:00:08.162091
3200	5	5	0.403	1	0:00:08.172734
3300	4	4	0.323	1	0:00:08.172880
3400	6	4	0.538	0	0:00:08.170720
3500	1	1	0.395	1	0:00:08.174650
3600	4	2	0.322	0	0:00:08.173566
3700	3	3	0.953	1	0:00:08.173851
3800	9	9	0.898	1	0:00:08.177461
3900	3	6	0.38	0	0:00:08.172622
4000	8	0	0.178	0	0:00:08.173016
4100	7	7	0.953	1	0:00:08.176000
4200	4	4	0.32	1	0:00:08.169910
4300	8	8	0.953	1	0:00:08.172588
4400	3	3	0.192	1	0:00:08.169285
4500	3	5	0.047	0	0:00:08.171792
4600	4	4	0.149	1	0:00:08.174525
4700	6	5	0.0555	0	0:00:08.174160
4800	9	9	0.953	1	0:00:08.173206
4900	3	3	0.0823	1	0:00:08.173120
5000	7	7	0.953	1	0:00:08.176703
5100	3	3	0.953	1	0:00:08.174783
5200	3	3	0.618	1	0:00:08.174096
5300	9	9	0.953	1	0:00:08.176360
5400	9	9	0.953	1	0:00:08.173326
5500	8	8	0.686	1	0:00:08.171062
5600	6	5	0.1	0	0:00:08.170889
5700	3	3	0.376	1	0:00:08.175420
5800	2	2	0.953	1	0:00:08.176133
5900	4	3	0.12	0	0:00:08.169389
6000	8	8	0.655	1	0:00:08.172717
6100	1	1	0.953	1	0:00:08.175417
6200	3	3	0.661	1	0:00:08.172704
6300	1	1	0.953	1	0:00:08.175024
6400	0	0	0.259	1	0:00:08.176263
6500	7	6	0.0335	0	0:00:08.173957
6600	7	7	0.953	1	0:00:08.176995
6700	6	6	0.819	1	0:00:08.176048
6800	6	4	0.066	0	0:00:08.172051
6900	3	3	0.661	1	0:00:08.176717
7000	2	8	0.0707	0	0:00:08.170756
7100	9	5	0.112	0	0:00:08.177690
7200	4	-1	0.0	0	0:00:08.173943
7300	3	5	0.457	0	0:00:08.173430
7400	3	3	0.525	1	0:00:08.174804
7500	6	6	0.953	1	0:00:08.178577
7600	8	9	0.294	0	0:00:08.173091
7700	6	6	0.953	1	0:00:08.170886
7800	0	0	0.953	1	0:00:08.168086
7900	0	0	0.0989	1	0:00:08.172685
8000	9	9	0.953	1	0:00:08.174708
8100	6	2	0.676	0	0:00:08.173511
8200	3	-1	0.0	0	0:00:08.172314
8300	5	2	0.0373	0	0:00:08.174445
8400	0	0	0.579	1	0:00:08.170695
8500	4	4	0.683	1	0:00:08.169861
8600	3	-1	0.0	0	0:00:08.173448
8700	3	3	0.753	1	0:00:08.171410
8800	0	0	0.389	1	0:00:08.171496
8900	2	2	0.877	1	0:00:08.171021
9000	8	8	0.953	1	0:00:08.172831
9100	9	1	0.163	0	0:00:08.173066
9200	8	8	0.953	1	0:00:08.166095
9300	5	3	0.0181	0	0:00:08.171982
9400	6	6	0.953	1	0:00:08.171406
9500	9	9	0.953	1	0:00:08.172920
9600	8	8	0.701	1	0:00:08.168864
9700	0	0	0.774	1	0:00:08.166908
9800	1	1	0.953	1	0:00:08.176454
9900	8	8	0.886	1	0:00:08.173469
10000	3	3	0.432	1	0:00:08.172711
10100	4	5	0.19	0	0:00:08.170881
10200	5	5	0.669	1	0:00:08.177605
10300	6	6	0.881	1	0:00:08.176023
10400	9	9	0.953	1	0:00:08.174988
10500	4	4	0.00142	1	0:00:08.174576
10600	8	8	0.953	1	0:00:08.173885
10700	7	7	0.953	1	0:00:08.176684
10800	7	7	0.953	1	0:00:08.177763
10900	2	6	0.0583	0	0:00:08.171711
11000	5	5	0.953	1	0:00:08.176718
11100	7	7	0.197	1	0:00:08.175708
11200	8	8	0.724	1	0:00:08.177764
11300	4	3	0.121	0	0:00:08.173519
11400	5	5	0.159	1	0:00:08.172881
11500	1	1	0.549	1	0:00:08.180789
11600	8	9	0.149	0	0:00:08.178640
11700	5	5	0.512	1	0:00:08.181427
11800	4	0	0.0524	0	0:00:08.180029
11900	8	8	0.953	1	0:00:08.184871
12000	1	1	0.849	1	0:00:08.182676
12100	2	2	0.774	1	0:00:08.177115
12200	0	0	0.415	1	0:00:08.174926
12300	3	3	0.272	1	0:00:08.178724
12400	0	0	0.953	1	0:00:08.179256
12500	4	4	0.149	1	0:00:08.179993
12600	8	8	0.953	1	0:00:08.176777
12700	9	9	0.0555	1	0:00:08.183010
12800	4	4	0.512	1	0:00:08.179565
12900	3	5	0.393	0	0:00:08.181261
13000	5	5	0.953	1	0:00:08.179763
13100	0	0	0.953	1	0:00:08.172568
13200	5	5	0.242	1	0:00:08.182106
13300	4	4	0.0337	1	0:00:08.178093
13400	6	4	0.143	0	0:00:08.183059
13500	1	1	0.309	1	0:00:08.182586
13600	4	2	0.14	0	0:00:08.182516
13700	3	3	0.855	1	0:00:08.180035
13800	9	9	0.512	1	0:00:08.182008
13900	3	6	0.405	0	0:00:08.178261
14000	8	0	0.398	0	0:00:08.176194
14100	7	7	0.953	1	0:00:08.176829
14200	4	4	0.389	1	0:00:08.171691
14300	8	8	0.816	1	0:00:08.172777
14400	3	3	0.123	1	0:00:08.174949
14500	3	3	0.0465	1	0:00:08.181186
14600	4	4	0.182	1	0:00:08.181235
14700	6	5	0.0302	0	0:00:08.181399
14800	9	9	0.953	1	0:00:08.180708
14900	3	-1	0.0	0	0:00:08.183050
15000	7	7	0.953	1	0:00:08.182195
15100	3	3	0.655	1	0:00:08.179297
15200	3	3	0.269	1	0:00:08.178792
15300	9	9	0.953	1	0:00:08.179598
15400	9	9	0.953	1	0:00:08.177491
15500	8	8	0.617	1	0:00:08.176596
15600	6	5	0.205	0	0:00:08.177211
15700	3	3	0.452	1	0:00:08.178295
15800	2	2	0.953	1	0:00:08.177386
15900	4	3	0.156	0	0:00:08.175318
16000	8	8	0.539	1	0:00:08.176905
16100	1	1	0.898	1	0:00:08.179410
16200	3	3	0.428	1	0:00:08.176438
16300	1	1	0.898	1	0:00:08.179152
16400	0	0	0.158	1	0:00:08.175782
16500	7	-1	0.0	0	0:00:08.175382
16600	7	7	0.953	1	0:00:08.180952
16700	6	6	0.847	1	0:00:08.178128
16800	6	4	0.113	0	0:00:08.178395
16900	3	3	0.543	1	0:00:08.182297
17000	2	8	0.153	0	0:00:08.176867
17100	9	5	0.311	0	0:00:08.180400
17200	4	3	0.137	0	0:00:08.175520
17300	3	5	0.305	0	0:00:08.179260
17400	3	3	0.491	1	0:00:08.178876
17500	6	6	0.953	1	0:00:08.181164
17600	8	9	0.695	0	0:00:08.177041
17700	6	6	0.953	1	0:00:08.177366
17800	0	0	0.715	1	0:00:08.172040
17900	0	0	0.46	1	0:00:08.177782
18000	9	9	0.734	1	0:00:08.176752
18100	6	2	0.733	0	0:00:08.177774
18200	3	4	0.0817	0	0:00:08.181709
18300	5	2	0.0353	0	0:00:08.178336
18400	0	0	0.503	1	0:00:08.173999
18500	4	4	0.443	1	0:00:08.170093
18600	3	3	0.0647	1	0:00:08.178035
18700	3	3	0.695	1	0:00:08.177502
18800	0	0	0.397	1	0:00:08.173709
18900	2	2	0.855	1	0:00:08.176058
19000	8	8	0.953	1	0:00:08.175151
19100	9	1	0.192	0	0:00:08.174075
19200	8	8	0.935	1	0:00:08.168797
19300	5	3	0.254	0	0:00:08.174213
19400	6	6	0.953	1	0:00:08.173939
19500	9	9	0.953	1	0:00:08.176718
19600	8	8	0.372	1	0:00:08.170065
19700	0	0	0.633	1	0:00:08.171706
19800	1	1	0.953	1	0:00:08.177645
19900	8	8	0.821	1	0:00:08.172333
20000	3	3	0.465	1	0:00:08.175028
20100	4	4	0.07	1	0:00:08.169724
20200	5	5	0.898	1	0:00:08.175832
20300	6	6	0.953	1	0:00:08.173911
20400	9	9	0.953	1	0:00:08.177492
20500	4	6	0.0907	0	0:00:08.172576
20600	8	8	0.953	1	0:00:08.174649
20700	7	7	0.953	1	0:00:08.175408
20800	7	7	0.953	1	0:00:08.177301
20900	2	6	0.0609	0	0:00:08.168278
21000	5	5	0.953	1	0:00:08.172696
21100	7	8	0.354	0	0:00:08.171353
21200	8	8	0.564	1	0:00:08.173191
21300	4	3	0.203	0	0:00:08.169633
21400	5	3	0.311	0	0:00:08.171296
21500	1	1	0.631	1	0:00:08.177084
21600	8	9	0.0208	0	0:00:08.172434
21700	5	5	0.473	1	0:00:08.172099
21800	4	0	0.165	0	0:00:08.171945
21900	8	8	0.953	1	0:00:08.171988
22000	1	1	0.753	1	0:00:08.174061
22100	2	2	0.686	1	0:00:08.171070
22200	0	0	0.551	1	0:00:08.166836
22300	3	3	0.276	1	0:00:08.168030
22400	0	0	0.953	1	0:00:08.169396
22500	4	4	0.137	1	0:00:08.171315
22600	8	8	0.727	1	0:00:08.167942
22700	9	1	0.0887	0	0:00:08.167363
22800	4	4	0.69	1	0:00:08.163812
22900	3	5	0.438	0	0:00:08.172386
23000	5	5	0.847	1	0:00:08.170120
23100	0	0	0.953	1	0:00:08.160007
23200	5	5	0.289	1	0:00:08.165563
23300	4	3	0.0306	0	0:00:08.161238
23400	6	4	0.0551	0	0:00:08.168864
23500	1	1	0.414	1	0:00:08.167633
23600	4	2	0.36	0	0:00:08.168208
23700	3	3	0.905	1	0:00:08.165188
23800	9	9	0.657	1	0:00:08.169104
23900	3	6	0.337	0	0:00:08.166311
24000	8	4	0.0167	0	0:00:08.168703
24100	7	7	0.953	1	0:00:08.175862
24200	4	4	0.479	1	0:00:08.162663
24300	8	8	0.635	1	0:00:08.164043
24400	3	3	0.12	1	0:00:08.164131
24500	3	3	0.23	1	0:00:08.165198
24600	4	-1	0.0	0	0:00:08.168462
24700	6	5	0.388	0	0:00:08.168602
24800	9	9	0.953	1	0:00:08.172172
24900	3	0	0.284	0	0:00:08.168477
25000	7	7	0.953	1	0:00:08.173100
25100	3	3	0.819	1	0:00:08.172894
25200	3	3	0.241	1	0:00:08.169119
25300	9	9	0.953	1	0:00:08.169107
25400	9	9	0.935	1	0:00:08.166153
25500	8	8	0.681	1	0:00:08.168174
25600	6	-1	0.0	0	0:00:08.169761
