idx	label	predict	radius	correct	time
0	3	3	0.154	1	0:00:08.060307
100	4	4	0.171	1	0:00:08.060706
200	5	3	0.0461	0	0:00:08.066440
300	6	6	0.953	1	0:00:08.065285
400	9	9	0.953	1	0:00:08.068478
500	4	6	0.0927	0	0:00:08.064269
600	8	8	0.336	1	0:00:08.067990
700	7	7	0.57	1	0:00:08.067126
800	7	7	0.788	1	0:00:08.066445
900	2	6	0.33	0	0:00:08.061472
1000	5	5	0.197	1	0:00:08.064485
1100	7	-1	0.0	0	0:00:08.068455
1200	8	8	0.114	1	0:00:08.066187
1300	4	3	0.658	0	0:00:08.055879
1400	5	6	0.415	0	0:00:08.062211
1500	1	1	0.543	1	0:00:08.067526
1600	8	6	0.357	0	0:00:08.068705
1700	5	-1	0.0	0	0:00:08.064590
1800	4	4	0.106	1	0:00:08.068715
1900	8	8	0.774	1	0:00:08.068889
2000	1	6	0.148	0	0:00:08.066202
2100	2	7	0.0612	0	0:00:08.064400
2200	0	0	0.345	1	0:00:08.066947
2300	3	6	0.121	0	0:00:08.061889
2400	0	0	0.849	1	0:00:08.066591
2500	4	6	0.455	0	0:00:08.062960
2600	8	8	0.417	1	0:00:08.069461
2700	9	9	0.034	1	0:00:08.066896
2800	4	4	0.0377	1	0:00:08.066280
2900	3	3	0.172	1	0:00:08.061521
3000	5	6	0.135	0	0:00:08.065368
3100	0	0	0.0473	1	0:00:08.067173
3200	5	5	0.253	1	0:00:08.063483
3300	4	4	0.182	1	0:00:08.071661
3400	6	4	0.283	0	0:00:08.064999
3500	1	-1	0.0	0	0:00:08.064965
3600	4	2	0.108	0	0:00:08.068706
3700	3	3	0.27	1	0:00:08.067257
3800	9	9	0.0882	1	0:00:08.074126
3900	3	6	0.169	0	0:00:08.065028
4000	8	4	0.277	0	0:00:08.060855
4100	7	7	0.713	1	0:00:08.066822
4200	4	4	0.106	1	0:00:08.060292
4300	8	8	0.0698	1	0:00:08.067416
4400	3	6	0.345	0	0:00:08.063126
4500	3	6	0.0952	0	0:00:08.067833
4600	4	4	0.669	1	0:00:08.068806
4700	6	6	0.306	1	0:00:08.064341
4800	9	9	0.953	1	0:00:08.068782
4900	3	3	0.0524	1	0:00:08.070403
5000	7	7	0.953	1	0:00:08.070082
5100	3	3	0.113	1	0:00:08.066459
5200	3	6	0.331	0	0:00:08.064808
5300	9	9	0.758	1	0:00:08.076724
5400	9	9	0.0989	1	0:00:08.072215
5500	8	-1	0.0	0	0:00:08.066191
5600	6	6	0.79	1	0:00:08.066100
5700	3	3	0.0993	1	0:00:08.067674
5800	2	2	0.329	1	0:00:08.065391
5900	4	6	0.383	0	0:00:08.063050
6000	8	8	0.0131	1	0:00:08.065702
6100	1	1	0.371	1	0:00:08.066316
6200	3	3	0.374	1	0:00:08.071476
6300	1	-1	0.0	0	0:00:08.066432
6400	0	-1	0.0	0	0:00:08.066806
6500	7	4	0.0148	0	0:00:08.063711
6600	7	7	0.953	1	0:00:08.066053
6700	6	6	0.696	1	0:00:08.063347
6800	6	6	0.369	1	0:00:08.064686
6900	3	3	0.441	1	0:00:08.068614
7000	2	2	0.265	1	0:00:08.068464
7100	9	5	0.0415	0	0:00:08.069778
7200	4	6	0.318	0	0:00:08.061572
7300	3	4	0.0937	0	0:00:08.073818
7400	3	3	0.0622	1	0:00:08.065605
7500	6	6	0.953	1	0:00:08.065034
7600	8	6	0.00625	0	0:00:08.063143
7700	6	6	0.953	1	0:00:08.060916
7800	0	0	0.624	1	0:00:08.063400
7900	0	-1	0.0	0	0:00:08.068817
8000	9	9	0.556	1	0:00:08.067257
8100	6	6	0.211	1	0:00:08.067210
8200	3	6	0.0708	0	0:00:08.062434
8300	5	6	0.233	0	0:00:08.062231
8400	0	0	0.502	1	0:00:08.067061
8500	4	4	0.519	1	0:00:08.062701
8600	3	4	0.0196	0	0:00:08.066129
8700	3	3	0.193	1	0:00:08.067211
8800	0	0	0.535	1	0:00:08.067314
8900	2	4	0.32	0	0:00:08.058813
9000	8	8	0.865	1	0:00:08.065512
9100	9	9	0.0883	1	0:00:08.063842
9200	8	-1	0.0	0	0:00:08.061252
9300	5	3	0.00382	0	0:00:08.062633
9400	6	6	0.842	1	0:00:08.060692
9500	9	9	0.699	1	0:00:08.063463
9600	8	-1	0.0	0	0:00:08.068902
9700	0	0	0.194	1	0:00:08.063637
9800	1	1	0.811	1	0:00:08.066318
9900	8	8	0.721	1	0:00:08.063545
10000	3	6	0.289	0	0:00:08.061185
10100	4	4	0.0258	1	0:00:08.062076
10200	5	6	0.166	0	0:00:08.060956
10300	6	6	0.905	1	0:00:08.061492
10400	9	-1	0.0	0	0:00:08.062116
10500	4	6	0.178	0	0:00:08.064325
10600	8	4	0.127	0	0:00:08.062689
10700	7	4	0.153	0	0:00:08.061654
10800	7	7	0.0817	1	0:00:08.061350
10900	2	6	0.149	0	0:00:08.056107
11000	5	6	0.265	0	0:00:08.061957
11100	7	-1	0.0	0	0:00:08.063235
11200	8	0	0.0271	0	0:00:08.063646
11300	4	3	0.739	0	0:00:08.058867
11400	5	6	0.561	0	0:00:08.057988
11500	1	6	0.119	0	0:00:08.063110
11600	8	6	0.807	0	0:00:08.060219
11700	5	6	0.191	0	0:00:08.064172
11800	4	-1	0.0	0	0:00:08.063054
11900	8	8	0.429	1	0:00:08.064004
12000	1	6	0.842	0	0:00:08.062489
12100	2	6	0.0718	0	0:00:08.063086
12200	0	0	0.625	1	0:00:08.066017
12300	3	6	0.431	0	0:00:08.065109
12400	0	0	0.476	1	0:00:08.067167
12500	4	6	0.339	0	0:00:08.064555
12600	8	8	0.113	1	0:00:08.066020
12700	9	6	0.0616	0	0:00:08.066640
