idx	label	predict	radius	correct	time
0	3	3	0.399	1	0:00:07.939343
100	4	4	0.263	1	0:00:07.937789
200	5	3	0.0432	0	0:00:07.940364
300	6	6	0.953	1	0:00:07.940767
400	9	9	0.953	1	0:00:07.944020
500	4	-1	0.0	0	0:00:07.940844
600	8	8	0.468	1	0:00:07.943834
700	7	7	0.898	1	0:00:07.941845
800	7	7	0.953	1	0:00:07.941494
900	2	6	0.302	0	0:00:07.938927
1000	5	5	0.625	1	0:00:07.941624
1100	7	-1	0.0	0	0:00:07.944165
1200	8	8	0.573	1	0:00:07.944420
1300	4	3	0.56	0	0:00:07.935655
1400	5	6	0.253	0	0:00:07.938911
1500	1	1	0.743	1	0:00:07.945147
1600	8	-1	0.0	0	0:00:07.942020
1700	5	3	0.0983	0	0:00:07.942153
1800	4	4	0.318	1	0:00:07.941438
1900	8	8	0.953	1	0:00:07.942234
2000	1	1	0.336	1	0:00:07.940932
2100	2	7	0.134	0	0:00:07.940973
2200	0	0	0.156	1	0:00:07.943583
2300	3	3	0.0393	1	0:00:07.938040
2400	0	0	0.953	1	0:00:07.940877
2500	4	6	0.47	0	0:00:07.939790
2600	8	8	0.786	1	0:00:07.941906
2700	9	9	0.245	1	0:00:07.943671
2800	4	4	0.283	1	0:00:07.938973
2900	3	-1	0.0	0	0:00:07.941991
3000	5	5	0.336	1	0:00:07.942209
3100	0	0	0.0717	1	0:00:07.940207
3200	5	5	0.517	1	0:00:07.942809
3300	4	4	0.369	1	0:00:07.941278
3400	6	4	0.283	0	0:00:07.941147
3500	1	1	0.131	1	0:00:07.943593
3600	4	2	0.246	0	0:00:07.943086
3700	3	3	0.342	1	0:00:07.941926
3800	9	9	0.637	1	0:00:07.942801
3900	3	3	0.0771	1	0:00:07.942289
4000	8	4	0.207	0	0:00:07.942744
4100	7	7	0.913	1	0:00:07.943308
4200	4	4	0.0741	1	0:00:07.938027
4300	8	8	0.242	1	0:00:07.941702
4400	3	6	0.103	0	0:00:07.939282
4500	3	3	0.0669	1	0:00:07.941272
4600	4	4	0.66	1	0:00:07.942045
4700	6	-1	0.0	0	0:00:07.941251
4800	9	9	0.953	1	0:00:07.942490
4900	3	-1	0.0	0	0:00:07.946986
5000	7	7	0.953	1	0:00:07.943975
5100	3	3	0.474	1	0:00:07.940480
5200	3	3	0.0323	1	0:00:07.941730
5300	9	9	0.787	1	0:00:07.947794
5400	9	9	0.597	1	0:00:07.942706
5500	8	1	0.053	0	0:00:07.941654
5600	6	6	0.656	1	0:00:07.940823
5700	3	3	0.0901	1	0:00:07.942951
5800	2	2	0.467	1	0:00:07.940101
5900	4	6	0.192	0	0:00:07.939543
6000	8	8	0.137	1	0:00:07.943108
6100	1	1	0.759	1	0:00:07.942739
6200	3	3	0.209	1	0:00:07.943176
6300	1	1	0.349	1	0:00:07.941798
6400	0	-1	0.0	0	0:00:07.940694
6500	7	-1	0.0	0	0:00:07.940530
6600	7	7	0.953	1	0:00:07.944066
6700	6	6	0.695	1	0:00:07.942799
6800	6	6	0.431	1	0:00:07.941867
6900	3	3	0.898	1	0:00:07.944507
7000	2	0	0.0442	0	0:00:07.941419
7100	9	5	0.127	0	0:00:07.944127
7200	4	-1	0.0	0	0:00:07.939929
7300	3	5	0.218	0	0:00:07.943711
7400	3	-1	0.0	0	0:00:07.943080
7500	6	6	0.953	1	0:00:07.947142
7600	8	9	0.0587	0	0:00:07.942363
7700	6	6	0.953	1	0:00:07.940736
7800	0	0	0.737	1	0:00:07.944079
7900	0	0	0.0449	1	0:00:07.943741
8000	9	9	0.922	1	0:00:07.943482
8100	6	2	0.086	0	0:00:07.942823
8200	3	6	0.253	0	0:00:07.942928
8300	5	6	0.26	0	0:00:07.941556
8400	0	0	0.532	1	0:00:07.939871
8500	4	4	0.71	1	0:00:07.937188
8600	3	3	0.097	1	0:00:07.941579
8700	3	3	0.413	1	0:00:07.941654
8800	0	0	0.384	1	0:00:07.942478
8900	2	4	0.0635	0	0:00:07.942139
9000	8	8	0.953	1	0:00:07.944277
9100	9	9	0.146	1	0:00:07.945557
9200	8	8	0.222	1	0:00:07.941523
9300	5	3	0.126	0	0:00:07.943068
9400	6	6	0.953	1	0:00:07.943065
9500	9	9	0.905	1	0:00:07.944286
9600	8	8	0.114	1	0:00:07.942362
9700	0	0	0.342	1	0:00:07.942797
9800	1	1	0.953	1	0:00:07.947856
9900	8	8	0.922	1	0:00:07.945634
10000	3	3	0.42	1	0:00:07.945644
10100	4	4	0.249	1	0:00:07.943322
10200	5	3	0.0235	0	0:00:07.944431
10300	6	6	0.922	1	0:00:07.943234
10400	9	9	0.953	1	0:00:07.946870
10500	4	-1	0.0	0	0:00:07.948293
10600	8	8	0.444	1	0:00:07.945631
10700	7	7	0.858	1	0:00:07.944321
10800	7	7	0.953	1	0:00:07.944317
10900	2	6	0.324	0	0:00:07.941236
11000	5	5	0.62	1	0:00:07.944068
11100	7	-1	0.0	0	0:00:07.946501
11200	8	8	0.49	1	0:00:07.944144
11300	4	3	0.572	0	0:00:07.934678
11400	5	6	0.257	0	0:00:07.942110
11500	1	1	0.729	1	0:00:07.944307
11600	8	-1	0.0	0	0:00:07.941789
11700	5	3	0.147	0	0:00:07.942917
11800	4	4	0.3	1	0:00:07.943023
11900	8	8	0.953	1	0:00:07.943238
12000	1	1	0.272	1	0:00:07.943158
12100	2	7	0.132	0	0:00:07.939912
12200	0	0	0.13	1	0:00:07.943862
12300	3	3	0.0452	1	0:00:07.941250
12400	0	0	0.935	1	0:00:07.942599
12500	4	6	0.393	0	0:00:07.938024
12600	8	8	0.743	1	0:00:07.940567
12700	9	9	0.212	1	0:00:07.944414
12800	4	4	0.26	1	0:00:07.939243
12900	3	3	0.0497	1	0:00:07.942940
13000	5	5	0.299	1	0:00:07.942504
13100	0	0	0.0752	1	0:00:07.940679
13200	5	5	0.487	1	0:00:07.943176
13300	4	4	0.322	1	0:00:07.946120
13400	6	4	0.322	0	0:00:07.941857
13500	1	1	0.101	1	0:00:07.942459
13600	4	2	0.267	0	0:00:07.942355
13700	3	3	0.358	1	0:00:07.941387
13800	9	9	0.566	1	0:00:07.942344
13900	3	6	0.00318	0	0:00:07.944011
14000	8	4	0.227	0	0:00:07.940945
14100	7	7	0.922	1	0:00:07.942405
