idx	label	predict	radius	correct	time
0	3	3	0.554	1	0:00:07.965138
100	4	4	0.413	1	0:00:07.964750
200	5	3	0.157	0	0:00:07.964166
300	6	6	0.913	1	0:00:07.963100
400	9	9	0.953	1	0:00:07.969248
500	4	4	0.154	1	0:00:07.964219
600	8	8	0.591	1	0:00:07.971372
700	7	7	0.922	1	0:00:07.967467
800	7	7	0.953	1	0:00:07.967450
900	2	6	0.246	0	0:00:07.964517
1000	5	5	0.615	1	0:00:07.967571
1100	7	-1	0.0	0	0:00:07.967481
1200	8	8	0.665	1	0:00:07.966547
1300	4	6	0.371	0	0:00:07.960285
1400	5	-1	0.0	0	0:00:07.962020
1500	1	1	0.497	1	0:00:07.968044
1600	8	-1	0.0	0	0:00:07.964317
1700	5	3	0.236	0	0:00:07.964259
1800	4	-1	0.0	0	0:00:07.965094
1900	8	8	0.953	1	0:00:07.963444
2000	1	1	0.381	1	0:00:07.965958
2100	2	2	0.351	1	0:00:07.964792
2200	0	0	0.269	1	0:00:07.968022
2300	3	-1	0.0	0	0:00:07.965407
2400	0	0	0.953	1	0:00:07.966615
2500	4	6	0.205	0	0:00:07.963961
2600	8	8	0.403	1	0:00:07.966384
2700	9	9	0.369	1	0:00:07.968140
2800	4	4	0.31	1	0:00:07.964508
2900	3	-1	0.0	0	0:00:07.968104
3000	5	5	0.396	1	0:00:07.965964
3100	0	0	0.373	1	0:00:07.965386
3200	5	5	0.524	1	0:00:07.966784
3300	4	4	0.23	1	0:00:07.966407
3400	6	4	0.204	0	0:00:07.966036
3500	1	-1	0.0	0	0:00:07.968449
3600	4	2	0.272	0	0:00:07.967224
3700	3	3	0.426	1	0:00:07.971167
3800	9	9	0.67	1	0:00:07.969630
3900	3	6	0.101	0	0:00:07.967547
4000	8	4	0.0774	0	0:00:07.967193
4100	7	7	0.892	1	0:00:07.968616
4200	4	4	0.269	1	0:00:07.962424
4300	8	-1	0.0	0	0:00:07.967246
4400	3	-1	0.0	0	0:00:07.965698
4500	3	3	0.141	1	0:00:07.970899
4600	4	4	0.794	1	0:00:07.969232
4700	6	-1	0.0	0	0:00:07.967462
4800	9	9	0.953	1	0:00:07.969777
4900	3	3	0.106	1	0:00:07.968160
5000	7	7	0.953	1	0:00:07.973955
5100	3	3	0.216	1	0:00:07.970224
5200	3	6	0.355	0	0:00:07.969932
5300	9	9	0.518	1	0:00:07.972309
5400	9	9	0.121	1	0:00:07.971426
5500	8	0	0.0346	0	0:00:07.976553
5600	6	6	0.354	1	0:00:07.968915
5700	3	3	0.172	1	0:00:07.970876
5800	2	2	0.527	1	0:00:07.969975
5900	4	6	0.0165	0	0:00:07.967560
6000	8	8	0.239	1	0:00:07.970558
6100	1	1	0.704	1	0:00:07.970768
6200	3	3	0.179	1	0:00:07.968955
6300	1	1	0.09	1	0:00:07.968237
6400	0	8	0.0308	0	0:00:07.967858
6500	7	0	0.0551	0	0:00:07.968317
6600	7	7	0.953	1	0:00:07.970373
6700	6	6	0.629	1	0:00:07.967893
6800	6	6	0.485	1	0:00:07.967735
6900	3	3	0.721	1	0:00:07.971518
7000	2	0	0.149	0	0:00:07.967566
7100	9	-1	0.0	0	0:00:07.970498
7200	4	-1	0.0	0	0:00:07.965161
7300	3	5	0.226	0	0:00:07.967933
7400	3	3	0.425	1	0:00:07.968396
7500	6	6	0.953	1	0:00:07.968854
7600	8	9	0.147	0	0:00:07.969726
7700	6	6	0.953	1	0:00:07.964318
7800	0	0	0.922	1	0:00:07.964384
7900	0	0	0.464	1	0:00:07.966729
8000	9	9	0.752	1	0:00:07.966406
8100	6	2	0.207	0	0:00:07.967249
8200	3	-1	0.0	0	0:00:07.964945
8300	5	6	0.0459	0	0:00:07.964568
8400	0	0	0.57	1	0:00:07.964570
8500	4	4	0.458	1	0:00:07.963702
8600	3	3	0.198	1	0:00:07.967205
8700	3	3	0.364	1	0:00:07.965339
8800	0	0	0.46	1	0:00:07.966280
8900	2	2	0.117	1	0:00:07.966791
9000	8	8	0.953	1	0:00:07.967838
9100	9	9	0.101	1	0:00:07.970724
9200	8	0	0.054	0	0:00:07.966126
9300	5	3	0.18	0	0:00:07.966182
9400	6	6	0.913	1	0:00:07.965598
9500	9	9	0.935	1	0:00:07.970389
9600	8	8	0.0655	1	0:00:07.967823
9700	0	0	0.629	1	0:00:07.969909
9800	1	1	0.953	1	0:00:07.973092
9900	8	8	0.873	1	0:00:07.971968
10000	3	3	0.564	1	0:00:07.971793
10100	4	4	0.265	1	0:00:07.970956
10200	5	3	0.199	0	0:00:07.971950
10300	6	6	0.807	1	0:00:07.972348
10400	9	9	0.953	1	0:00:07.975062
10500	4	4	0.0895	1	0:00:07.972667
10600	8	8	0.602	1	0:00:07.977174
10700	7	7	0.922	1	0:00:07.976244
10800	7	7	0.935	1	0:00:07.977906
10900	2	6	0.233	0	0:00:07.980616
11000	5	5	0.236	1	0:00:07.981164
11100	7	-1	0.0	0	0:00:07.979928
11200	8	8	0.561	1	0:00:07.982706
11300	4	6	0.206	0	0:00:07.976118
11400	5	3	0.219	0	0:00:07.980048
11500	1	1	0.414	1	0:00:07.984284
11600	8	8	0.035	1	0:00:07.981897
11700	5	3	0.254	0	0:00:07.982206
11800	4	4	0.0985	1	0:00:07.983955
11900	8	8	0.886	1	0:00:07.981680
12000	1	1	0.359	1	0:00:07.981495
12100	2	2	0.365	1	0:00:07.981515
12200	0	0	0.238	1	0:00:07.983329
12300	3	-1	0.0	0	0:00:07.981192
12400	0	0	0.935	1	0:00:07.983296
12500	4	6	0.227	0	0:00:07.982437
12600	8	8	0.369	1	0:00:07.983360
12700	9	9	0.327	1	0:00:07.985768
12800	4	4	0.237	1	0:00:07.982554
12900	3	3	0.369	1	0:00:07.983485
13000	5	5	0.396	1	0:00:07.984563
13100	0	0	0.565	1	0:00:07.981605
13200	5	5	0.57	1	0:00:07.983613
13300	4	-1	0.0	0	0:00:07.982181
13400	6	4	0.0984	0	0:00:07.983743
13500	1	-1	0.0	0	0:00:07.985310
13600	4	2	0.089	0	0:00:07.982689
13700	3	3	0.386	1	0:00:07.981997
13800	9	9	0.719	1	0:00:07.985270
13900	3	6	0.278	0	0:00:07.983130
14000	8	0	0.264	0	0:00:07.985157
14100	7	7	0.825	1	0:00:07.984845
14200	4	4	0.148	1	0:00:07.981838
14300	8	0	0.0262	0	0:00:07.984576
