idx	label	predict	radius	correct	time
0	3	3	0.387	1	0:00:08.289236
100	4	4	0.279	1	0:00:07.825498
200	5	3	0.0973	0	0:00:07.844616
300	6	6	0.953	1	0:00:07.843127
400	9	9	0.953	1	0:00:07.872207
500	4	6	0.0362	0	0:00:07.888850
600	8	8	0.489	1	0:00:07.905175
700	7	7	0.953	1	0:00:07.911774
800	7	7	0.953	1	0:00:07.915495
900	2	6	0.266	0	0:00:07.919511
1000	5	5	0.547	1	0:00:07.930251
1100	7	-1	0.0	0	0:00:07.937834
1200	8	8	0.607	1	0:00:07.943675
1300	4	3	0.551	0	0:00:07.940836
1400	5	6	0.299	0	0:00:07.946416
1500	1	1	0.696	1	0:00:07.954340
1600	8	-1	0.0	0	0:00:07.955128
1700	5	3	0.0464	0	0:00:07.958363
1800	4	4	0.333	1	0:00:07.963703
1900	8	8	0.953	1	0:00:07.977525
2000	1	1	0.329	1	0:00:07.977561
2100	2	7	0.168	0	0:00:07.978133
2200	0	0	0.159	1	0:00:07.981244
2300	3	3	0.0228	1	0:00:07.980273
2400	0	0	0.953	1	0:00:07.983694
2500	4	6	0.522	0	0:00:07.981227
2600	8	8	0.746	1	0:00:07.984155
2700	9	9	0.319	1	0:00:07.988280
2800	4	4	0.291	1	0:00:07.984851
2900	3	5	0.00438	0	0:00:07.986821
3000	5	5	0.331	1	0:00:07.987310
3100	0	0	0.0416	1	0:00:07.986320
3200	5	5	0.479	1	0:00:07.988357
3300	4	4	0.362	1	0:00:07.986585
3400	6	4	0.222	0	0:00:07.987085
3500	1	1	0.0754	1	0:00:07.988648
3600	4	2	0.175	0	0:00:07.988188
3700	3	3	0.305	1	0:00:07.986726
3800	9	9	0.632	1	0:00:07.988340
3900	3	3	0.133	1	0:00:07.988253
4000	8	4	0.204	0	0:00:07.987966
4100	7	7	0.898	1	0:00:07.990655
4200	4	-1	0.0	0	0:00:07.985364
4300	8	8	0.21	1	0:00:07.987572
4400	3	6	0.109	0	0:00:07.985248
4500	3	3	0.0631	1	0:00:07.988433
4600	4	4	0.689	1	0:00:07.989394
4700	6	-1	0.0	0	0:00:07.986825
4800	9	9	0.953	1	0:00:07.989360
4900	3	3	0.0762	1	0:00:07.988147
5000	7	7	0.953	1	0:00:07.989340
5100	3	3	0.485	1	0:00:07.987780
5200	3	-1	0.0	0	0:00:07.985572
5300	9	9	0.801	1	0:00:07.987436
5400	9	9	0.599	1	0:00:07.987615
5500	8	1	0.0495	0	0:00:07.986929
5600	6	6	0.706	1	0:00:07.986178
5700	3	3	0.0392	1	0:00:07.988033
5800	2	2	0.489	1	0:00:07.985979
5900	4	6	0.214	0	0:00:07.984545
6000	8	8	0.0515	1	0:00:07.986400
6100	1	1	0.852	1	0:00:07.986225
6200	3	3	0.146	1	0:00:07.984361
6300	1	1	0.437	1	0:00:07.984801
6400	0	-1	0.0	0	0:00:07.985342
6500	7	-1	0.0	0	0:00:07.988569
6600	7	7	0.953	1	0:00:07.987936
6700	6	6	0.746	1	0:00:07.986470
6800	6	6	0.435	1	0:00:07.984915
6900	3	3	0.935	1	0:00:07.988616
7000	2	0	0.0563	0	0:00:07.984327
7100	9	5	0.181	0	0:00:07.987787
7200	4	-1	0.0	0	0:00:07.981950
7300	3	5	0.231	0	0:00:07.983895
7400	3	9	0.00687	0	0:00:07.982657
7500	6	6	0.953	1	0:00:07.984209
7600	8	9	0.00389	0	0:00:07.983140
7700	6	6	0.953	1	0:00:07.980890
7800	0	0	0.716	1	0:00:07.982726
7900	0	0	0.0378	1	0:00:07.984273
8000	9	9	0.935	1	0:00:07.981504
8100	6	2	0.0434	0	0:00:07.981779
8200	3	6	0.257	0	0:00:07.982672
8300	5	6	0.28	0	0:00:07.981679
8400	0	0	0.487	1	0:00:07.981297
8500	4	4	0.751	1	0:00:07.979997
8600	3	3	0.101	1	0:00:07.982289
8700	3	3	0.415	1	0:00:07.981929
8800	0	0	0.352	1	0:00:07.983043
8900	2	4	0.00874	0	0:00:07.980050
9000	8	8	0.953	1	0:00:07.985921
9100	9	9	0.172	1	0:00:07.982742
9200	8	8	0.133	1	0:00:07.981904
