idx	label	predict	radius	correct	time
0	3	3	0.419	1	0:00:07.951949
100	4	4	0.201	1	0:00:07.950156
200	5	3	0.115	0	0:00:07.951712
300	6	6	0.953	1	0:00:07.951805
400	9	9	0.953	1	0:00:07.953760
500	4	-1	0.0	0	0:00:07.950345
600	8	8	0.306	1	0:00:07.952883
700	7	7	0.674	1	0:00:07.951825
800	7	7	0.953	1	0:00:07.951539
900	2	6	0.364	0	0:00:07.950068
1000	5	5	0.438	1	0:00:07.950590
1100	7	-1	0.0	0	0:00:07.951803
1200	8	8	0.396	1	0:00:07.952556
1300	4	3	0.584	0	0:00:07.944100
1400	5	6	0.268	0	0:00:07.947307
1500	1	1	0.524	1	0:00:07.954123
1600	8	9	0.0103	0	0:00:07.951848
1700	5	3	0.0125	0	0:00:07.953007
1800	4	4	0.387	1	0:00:07.954967
1900	8	8	0.877	1	0:00:07.950866
2000	1	1	0.16	1	0:00:07.952639
2100	2	7	0.0858	0	0:00:07.948464
2200	0	-1	0.0	0	0:00:07.952141
2300	3	3	0.0461	1	0:00:07.949152
2400	0	0	0.905	1	0:00:07.952311
2500	4	6	0.423	0	0:00:07.949514
2600	8	8	0.648	1	0:00:07.952945
2700	9	9	0.238	1	0:00:07.956093
2800	4	4	0.239	1	0:00:07.950698
2900	3	3	0.218	1	0:00:07.950713
3000	5	5	0.148	1	0:00:07.950293
3100	0	0	0.113	1	0:00:07.950072
3200	5	5	0.291	1	0:00:07.953435
3300	4	4	0.322	1	0:00:07.949253
3400	6	4	0.244	0	0:00:07.949567
3500	1	-1	0.0	0	0:00:07.952255
3600	4	2	0.406	0	0:00:07.952627
3700	3	3	0.106	1	0:00:07.951077
3800	9	9	0.565	1	0:00:07.950665
3900	3	3	0.0713	1	0:00:07.950253
4000	8	4	0.114	0	0:00:07.951826
4100	7	7	0.953	1	0:00:07.953580
4200	4	-1	0.0	0	0:00:07.946639
4300	8	8	0.257	1	0:00:07.950335
4400	3	6	0.149	0	0:00:07.948000
4500	3	-1	0.0	0	0:00:07.950546
4600	4	4	0.232	1	0:00:07.952049
4700	6	-1	0.0	0	0:00:07.950185
4800	9	9	0.953	1	0:00:07.952560
4900	3	3	0.0274	1	0:00:07.951760
5000	7	7	0.953	1	0:00:07.953279
5100	3	3	0.465	1	0:00:07.952120
5200	3	3	0.188	1	0:00:07.950944
5300	9	9	0.524	1	0:00:07.951987
5400	9	9	0.53	1	0:00:07.953005
5500	8	1	0.177	0	0:00:07.953382
5600	6	6	0.661	1	0:00:07.949752
5700	3	3	0.203	1	0:00:07.951791
5800	2	2	0.386	1	0:00:07.951191
5900	4	6	0.161	0	0:00:07.948461
6000	8	9	0.0312	0	0:00:07.950871
6100	1	1	0.393	1	0:00:07.951968
6200	3	3	0.262	1	0:00:07.953557
6300	1	1	0.00277	1	0:00:07.953270
6400	0	4	0.121	0	0:00:07.952819
6500	7	-1	0.0	0	0:00:07.953245
