idx	label	predict	radius	correct	time
0	3	3	0.333	1	0:00:07.972843
100	4	4	0.252	1	0:00:07.971760
200	5	5	0.00163	1	0:00:07.973834
300	6	6	0.953	1	0:00:07.972758
400	9	9	0.953	1	0:00:07.975411
500	4	4	0.0426	1	0:00:07.972571
600	8	8	0.467	1	0:00:07.974367
700	7	7	0.935	1	0:00:07.974198
800	7	7	0.953	1	0:00:07.977607
900	2	6	0.311	0	0:00:07.970696
1000	5	5	0.546	1	0:00:07.973155
1100	7	8	0.0556	0	0:00:07.974052
1200	8	8	0.516	1	0:00:07.977548
1300	4	3	0.487	0	0:00:07.970091
1400	5	6	0.303	0	0:00:07.969677
1500	1	1	0.722	1	0:00:07.974962
1600	8	-1	0.0	0	0:00:07.973608
1700	5	3	0.0175	0	0:00:07.974412
1800	4	4	0.389	1	0:00:07.974833
1900	8	8	0.953	1	0:00:07.974516
2000	1	1	0.379	1	0:00:07.974584
2100	2	7	0.253	0	0:00:07.972457
2200	0	0	0.114	1	0:00:07.975112
2300	3	-1	0.0	0	0:00:07.971070
2400	0	0	0.953	1	0:00:07.974144
2500	4	6	0.532	0	0:00:07.972084
2600	8	8	0.745	1	0:00:07.973830
2700	9	9	0.262	1	0:00:07.976658
2800	4	4	0.213	1	0:00:07.972888
2900	3	5	0.0483	0	0:00:07.973116
3000	5	5	0.198	1	0:00:07.975087
3100	0	0	0.0353	1	0:00:07.975061
3200	5	5	0.504	1	0:00:07.973706
3300	4	4	0.399	1	0:00:07.972492
3400	6	4	0.225	0	0:00:07.972811
3500	1	1	0.11	1	0:00:07.976719
3600	4	2	0.181	0	0:00:07.976742
3700	3	3	0.296	1	0:00:07.975456
3800	9	9	0.749	1	0:00:07.976188
3900	3	3	0.103	1	0:00:07.976083
4000	8	4	0.211	0	0:00:07.975088
4100	7	7	0.847	1	0:00:07.977411
4200	4	6	8.71e-05	0	0:00:07.972867
4300	8	8	0.185	1	0:00:07.976731
4400	3	6	0.0896	0	0:00:07.973625
4500	3	3	0.00904	1	0:00:07.977561
4600	4	4	0.657	1	0:00:07.977973
4700	6	-1	0.0	0	0:00:07.977024
4800	9	9	0.953	1	0:00:07.979145
4900	3	3	0.0186	1	0:00:07.978585
5000	7	7	0.953	1	0:00:07.979175
5100	3	3	0.457	1	0:00:07.976896
5200	3	3	0.0709	1	0:00:07.976775
5300	9	9	0.722	1	0:00:07.978419
5400	9	9	0.65	1	0:00:07.978015
5500	8	-1	0.0	0	0:00:07.974766
5600	6	6	0.742	1	0:00:07.974411
5700	3	3	0.064	1	0:00:07.976119
5800	2	2	0.437	1	0:00:07.975369
5900	4	6	0.209	0	0:00:07.973505
6000	8	8	0.133	1	0:00:07.978362
6100	1	1	0.799	1	0:00:07.975972
6200	3	3	0.169	1	0:00:07.976760
6300	1	1	0.38	1	0:00:07.974710
6400	0	4	0.00264	0	0:00:07.975756
6500	7	4	0.0114	0	0:00:07.975343
6600	7	7	0.953	1	0:00:07.978568
6700	6	6	0.697	1	0:00:07.975118
6800	6	6	0.527	1	0:00:07.974472
6900	3	3	0.865	1	0:00:07.979288
7000	2	-1	0.0	0	0:00:07.974836
7100	9	5	0.00969	0	0:00:07.976439
7200	4	-1	0.0	0	0:00:07.972702
7300	3	5	0.195	0	0:00:07.977236
7400	3	9	0.0277	0	0:00:07.974855
7500	6	6	0.953	1	0:00:07.976514
7600	8	9	0.0498	0	0:00:07.973865
7700	6	6	0.953	1	0:00:07.971788
7800	0	0	0.658	1	0:00:07.975392
7900	0	0	0.13	1	0:00:07.976749
8000	9	9	0.922	1	0:00:07.974956
8100	6	2	0.0298	0	0:00:07.975765
8200	3	6	0.153	0	0:00:07.974758
8300	5	6	0.334	0	0:00:07.973240
8400	0	0	0.594	1	0:00:07.974933
8500	4	4	0.674	1	0:00:07.973102
8600	3	3	0.114	1	0:00:07.975071
8700	3	3	0.39	1	0:00:07.974936
8800	0	0	0.341	1	0:00:07.975556
8900	2	-1	0.0	0	0:00:07.973926
9000	8	8	0.953	1	0:00:07.976928
9100	9	9	0.137	1	0:00:07.974235
9200	8	8	0.176	1	0:00:07.975031
9300	5	3	0.0853	0	0:00:07.975614
9400	6	6	0.953	1	0:00:07.974741
9500	9	9	0.935	1	0:00:07.975575
9600	8	8	0.0307	1	0:00:07.974901
9700	0	0	0.291	1	0:00:07.975269
9800	1	1	0.953	1	0:00:07.978139
9900	8	8	0.913	1	0:00:07.975586
10000	3	3	0.283	1	0:00:07.976943
10100	4	4	0.23	1	0:00:07.973308
10200	5	3	0.11	0	0:00:07.975430
10300	6	6	0.953	1	0:00:07.974367
10400	9	9	0.953	1	0:00:07.976544
10500	4	6	0.0719	0	0:00:07.974147
10600	8	8	0.408	1	0:00:07.976597
10700	7	7	0.953	1	0:00:07.975534
10800	7	7	0.953	1	0:00:07.975497
10900	2	6	0.243	0	0:00:07.972811
11000	5	5	0.568	1	0:00:07.974690
11100	7	-1	0.0	0	0:00:07.976429
11200	8	8	0.556	1	0:00:07.976985
11300	4	3	0.512	0	0:00:07.967010
11400	5	6	0.303	0	0:00:07.970655
11500	1	1	0.65	1	0:00:07.977256
