idx	label	predict	radius	correct	time
0	3	3	0.343	1	0:00:08.064651
100	4	4	0.224	1	0:00:08.064058
200	5	3	0.0823	0	0:00:08.059964
300	6	6	0.953	1	0:00:08.055400
400	9	9	0.953	1	0:00:08.060662
500	4	6	0.0713	0	0:00:08.056105
600	8	8	0.487	1	0:00:08.058670
700	7	7	0.922	1	0:00:08.060634
800	7	7	0.953	1	0:00:08.059796
900	2	6	0.31	0	0:00:08.056930
1000	5	5	0.609	1	0:00:08.060882
1100	7	8	0.0206	0	0:00:08.061331
1200	8	8	0.619	1	0:00:08.061566
1300	4	3	0.546	0	0:00:08.052154
1400	5	6	0.27	0	0:00:08.053566
1500	1	1	0.731	1	0:00:08.061498
1600	8	-1	0.0	0	0:00:08.057848
1700	5	3	0.0236	0	0:00:08.058060
1800	4	4	0.348	1	0:00:08.058091
1900	8	8	0.953	1	0:00:08.056739
2000	1	1	0.392	1	0:00:08.057280
2100	2	7	0.142	0	0:00:08.056681
2200	0	0	0.016	1	0:00:08.056906
2300	3	3	0.0141	1	0:00:08.056197
2400	0	0	0.953	1	0:00:08.057389
2500	4	6	0.513	0	0:00:08.056720
2600	8	8	0.744	1	0:00:08.056099
2700	9	9	0.243	1	0:00:08.059973
2800	4	4	0.228	1	0:00:08.054679
2900	3	-1	0.0	0	0:00:08.057030
3000	5	5	0.338	1	0:00:08.055911
3100	0	0	0.0799	1	0:00:08.056964
3200	5	5	0.482	1	0:00:08.055815
3300	4	4	0.4	1	0:00:08.056308
3400	6	4	0.297	0	0:00:08.058615
3500	1	1	0.0617	1	0:00:08.057931
3600	4	2	0.218	0	0:00:08.056609
3700	3	3	0.236	1	0:00:08.053655
3800	9	9	0.68	1	0:00:08.053939
3900	3	3	0.125	1	0:00:08.057485
4000	8	4	0.212	0	0:00:08.059211
4100	7	7	0.935	1	0:00:08.058847
4200	4	4	0.0397	1	0:00:08.052341
4300	8	8	0.288	1	0:00:08.056548
4400	3	6	0.157	0	0:00:08.053929
4500	3	3	0.0467	1	0:00:08.055097
4600	4	4	0.681	1	0:00:08.058571
4700	6	-1	0.0	0	0:00:08.057059
4800	9	9	0.953	1	0:00:08.060243
4900	3	3	0.0601	1	0:00:08.058861
5000	7	7	0.953	1	0:00:08.061114
5100	3	3	0.456	1	0:00:08.059427
5200	3	3	0.0655	1	0:00:08.057577
5300	9	9	0.788	1	0:00:08.058914
5400	9	9	0.57	1	0:00:08.060689
5500	8	1	0.00082	0	0:00:08.057112
5600	6	6	0.711	1	0:00:08.056387
5700	3	3	0.0496	1	0:00:08.056536
5800	2	2	0.499	1	0:00:08.057014
5900	4	6	0.199	0	0:00:08.054098
6000	8	8	0.144	1	0:00:08.056106
6100	1	1	0.803	1	0:00:08.058571
6200	3	3	0.193	1	0:00:08.059436
6300	1	1	0.428	1	0:00:08.057896
6400	0	-1	0.0	0	0:00:08.057094
6500	7	-1	0.0	0	0:00:08.054126
6600	7	7	0.953	1	0:00:08.058591
6700	6	6	0.752	1	0:00:08.057186
6800	6	6	0.431	1	0:00:08.056119
6900	3	3	0.922	1	0:00:08.060509
7000	2	0	0.0702	0	0:00:08.056317
7100	9	5	0.0868	0	0:00:08.058156
7200	4	6	0.011	0	0:00:08.054717
7300	3	5	0.208	0	0:00:08.059250
7400	3	-1	0.0	0	0:00:08.057564
7500	6	6	0.953	1	0:00:08.060122
7600	8	9	0.0465	0	0:00:08.058995
7700	6	6	0.953	1	0:00:08.056777
7800	0	0	0.743	1	0:00:08.056514
7900	0	0	0.033	1	0:00:08.058583
8000	9	9	0.922	1	0:00:08.057866
8100	6	-1	0.0	0	0:00:08.058928
8200	3	6	0.214	0	0:00:08.057282
8300	5	6	0.308	0	0:00:08.054064
8400	0	0	0.505	1	0:00:08.054792
8500	4	4	0.746	1	0:00:08.054666
8600	3	3	0.123	1	0:00:08.058064
8700	3	3	0.349	1	0:00:08.056194
8800	0	0	0.364	1	0:00:08.057629
8900	2	4	0.0444	0	0:00:08.056098
9000	8	8	0.953	1	0:00:08.059499
9100	9	9	0.251	1	0:00:08.057211
9200	8	8	0.251	1	0:00:08.055920
9300	5	3	0.0913	0	0:00:08.059205
9400	6	6	0.953	1	0:00:08.060272
9500	9	9	0.913	1	0:00:08.060885
9600	8	8	0.0854	1	0:00:08.058378
9700	0	0	0.277	1	0:00:08.061118
9800	1	1	0.953	1	0:00:08.064334
9900	8	8	0.922	1	0:00:08.060380
10000	3	3	0.306	1	0:00:08.056195
10100	4	4	0.231	1	0:00:08.053272
10200	5	3	0.0866	0	0:00:08.058533
10300	6	6	0.953	1	0:00:08.057783
10400	9	9	0.953	1	0:00:08.058609
10500	4	6	0.124	0	0:00:08.053841
10600	8	8	0.448	1	0:00:08.058842
10700	7	7	0.852	1	0:00:08.056393
10800	7	7	0.953	1	0:00:08.059780
10900	2	6	0.288	0	0:00:08.053068
11000	5	5	0.609	1	0:00:08.056322
11100	7	-1	0.0	0	0:00:08.058883
11200	8	8	0.62	1	0:00:08.057433
11300	4	3	0.55	0	0:00:08.048512
11400	5	6	0.254	0	0:00:08.051145
11500	1	1	0.744	1	0:00:08.059581
11600	8	-1	0.0	0	0:00:08.054080
11700	5	-1	0.0	0	0:00:08.055396
11800	4	4	0.333	1	0:00:08.056920
11900	8	8	0.953	1	0:00:08.056251
12000	1	1	0.312	1	0:00:08.055920
12100	2	7	0.191	0	0:00:08.055667
12200	0	0	0.133	1	0:00:08.060112
12300	3	3	0.0071	1	0:00:08.055694
12400	0	0	0.953	1	0:00:08.056486
12500	4	6	0.537	0	0:00:08.054644
12600	8	8	0.787	1	0:00:08.057919
12700	9	9	0.276	1	0:00:08.062351
12800	4	4	0.109	1	0:00:08.055170
12900	3	-1	0.0	0	0:00:08.055637
13000	5	5	0.297	1	0:00:08.055752
13100	0	0	0.0344	1	0:00:08.054472
13200	5	5	0.463	1	0:00:08.056302
13300	4	4	0.361	1	0:00:08.056605
13400	6	4	0.28	0	0:00:08.055625
13500	1	1	0.0641	1	0:00:08.058870
13600	4	2	0.227	0	0:00:08.057358
13700	3	3	0.319	1	0:00:08.054078
13800	9	9	0.653	1	0:00:08.061506
13900	3	3	0.0194	1	0:00:08.058641
14000	8	4	0.156	0	0:00:08.059363
14100	7	7	0.922	1	0:00:08.057693
14200	4	-1	0.0	0	0:00:08.051842
14300	8	8	0.168	1	0:00:08.059658
14400	3	6	0.161	0	0:00:08.056631
14500	3	3	0.0678	1	0:00:08.058718
14600	4	4	0.682	1	0:00:08.055840
14700	6	-1	0.0	0	0:00:08.055520
14800	9	9	0.953	1	0:00:08.062518
14900	3	3	0.0728	1	0:00:08.058575
15000	7	7	0.953	1	0:00:08.059264
15100	3	3	0.476	1	0:00:08.057696
15200	3	6	0.00647	0	0:00:08.058141
15300	9	9	0.732	1	0:00:08.062255
15400	9	9	0.641	1	0:00:08.056926
15500	8	1	0.0197	0	0:00:08.056473
15600	6	6	0.697	1	0:00:08.052632
15700	3	3	0.0553	1	0:00:08.059019
15800	2	2	0.434	1	0:00:08.054663
15900	4	6	0.176	0	0:00:08.052023
16000	8	8	0.192	1	0:00:08.053597
16100	1	1	0.835	1	0:00:08.057744
16200	3	3	0.225	1	0:00:08.059561
16300	1	1	0.42	1	0:00:08.054995
16400	0	-1	0.0	0	0:00:08.053740
16500	7	-1	0.0	0	0:00:08.054238
16600	7	7	0.953	1	0:00:08.056148
16700	6	6	0.752	1	0:00:08.054365
16800	6	6	0.4	1	0:00:08.054167
16900	3	3	0.935	1	0:00:08.056200
17000	2	0	0.0659	0	0:00:08.053957
17100	9	5	0.12	0	0:00:08.052877
17200	4	-1	0.0	0	0:00:08.050330
17300	3	5	0.229	0	0:00:08.054585
17400	3	3	0.0126	1	0:00:08.052724
17500	6	6	0.953	1	0:00:08.057134
17600	8	9	0.0393	0	0:00:08.054046
17700	6	6	0.953	1	0:00:08.050864
17800	0	0	0.756	1	0:00:08.053492
17900	0	0	0.0347	1	0:00:08.056300
18000	9	9	0.837	1	0:00:08.055226
