idx	label	predict	radius	correct	time
0	3	3	0.425	1	0:00:07.972158
100	4	4	0.231	1	0:00:07.972710
200	5	-1	0.0	0	0:00:07.974582
300	6	6	0.953	1	0:00:07.972836
400	9	9	0.953	1	0:00:07.976087
500	4	6	0.0519	0	0:00:07.974116
600	8	8	0.494	1	0:00:07.976224
700	7	7	0.804	1	0:00:07.976771
800	7	7	0.953	1	0:00:07.976026
900	2	6	0.343	0	0:00:07.972514
1000	5	5	0.58	1	0:00:07.974836
1100	7	8	0.0127	0	0:00:07.977757
1200	8	8	0.363	1	0:00:07.975391
1300	4	3	0.54	0	0:00:07.966271
1400	5	6	0.248	0	0:00:07.969974
1500	1	1	0.774	1	0:00:07.975370
1600	8	-1	0.0	0	0:00:07.973345
1700	5	3	0.253	0	0:00:07.974492
1800	4	4	0.21	1	0:00:07.977287
1900	8	8	0.953	1	0:00:07.974946
2000	1	1	0.256	1	0:00:07.973712
2100	2	7	0.0988	0	0:00:07.970996
2200	0	0	0.211	1	0:00:07.974122
2300	3	-1	0.0	0	0:00:07.973947
2400	0	0	0.855	1	0:00:07.974855
2500	4	6	0.427	0	0:00:07.970872
2600	8	8	0.76	1	0:00:07.973526
2700	9	9	0.0944	1	0:00:07.978441
2800	4	4	0.163	1	0:00:07.972090
2900	3	3	0.128	1	0:00:07.972900
3000	5	5	0.307	1	0:00:07.972532
3100	0	0	0.0926	1	0:00:07.972666
3200	5	5	0.535	1	0:00:07.972509
3300	4	4	0.289	1	0:00:07.971806
3400	6	4	0.415	0	0:00:07.974375
3500	1	1	0.303	1	0:00:07.974522
3600	4	2	0.247	0	0:00:07.974012
3700	3	3	0.387	1	0:00:07.974533
3800	9	9	0.481	1	0:00:07.976834
3900	3	6	0.0639	0	0:00:07.975533
4000	8	4	0.16	0	0:00:07.974705
4100	7	7	0.913	1	0:00:07.975318
4200	4	4	0.146	1	0:00:07.971484
4300	8	8	0.257	1	0:00:07.975824
4400	3	6	0.0999	0	0:00:07.971343
4500	3	-1	0.0	0	0:00:07.973633
4600	4	4	0.63	1	0:00:07.974358
4700	6	-1	0.0	0	0:00:07.973492
4800	9	9	0.953	1	0:00:07.980689
4900	3	-1	0.0	0	0:00:07.974570
5000	7	7	0.953	1	0:00:07.977038
5100	3	3	0.412	1	0:00:07.973690
5200	3	6	0.0834	0	0:00:07.972166
5300	9	9	0.767	1	0:00:07.974484
5400	9	9	0.447	1	0:00:07.974334
5500	8	1	0.0459	0	0:00:07.973386
5600	6	6	0.651	1	0:00:07.971922
5700	3	3	0.132	1	0:00:07.973070
5800	2	2	0.469	1	0:00:07.973513
5900	4	6	0.183	0	0:00:07.972325
6000	8	8	0.015	1	0:00:07.973547
6100	1	1	0.747	1	0:00:07.974294
6200	3	3	0.245	1	0:00:07.973891
6300	1	1	0.26	1	0:00:07.972736
6400	0	-1	0.0	0	0:00:07.974552
6500	7	-1	0.0	0	0:00:07.974226
6600	7	7	0.953	1	0:00:07.973549
6700	6	6	0.561	1	0:00:07.972374
6800	6	6	0.431	1	0:00:07.969984
6900	3	3	0.886	1	0:00:07.974641
7000	2	2	0.0145	1	0:00:07.970878
7100	9	5	0.246	0	0:00:07.971391
7200	4	6	0.116	0	0:00:07.969758
7300	3	5	0.195	0	0:00:07.975457
7400	3	-1	0.0	0	0:00:07.971002
7500	6	6	0.953	1	0:00:07.973505
7600	8	-1	0.0	0	0:00:07.972229
7700	6	6	0.953	1	0:00:07.968120
7800	0	0	0.72	1	0:00:07.970206
7900	0	0	0.000363	1	0:00:07.973525
8000	9	9	0.877	1	0:00:07.974901
8100	6	2	0.221	0	0:00:07.974156
8200	3	6	0.238	0	0:00:07.972426
8300	5	6	0.172	0	0:00:07.971836
8400	0	0	0.508	1	0:00:07.971907
8500	4	4	0.679	1	0:00:07.970468
8600	3	3	0.00151	1	0:00:07.972350
8700	3	3	0.432	1	0:00:07.971843
8800	0	0	0.423	1	0:00:07.975040
8900	2	4	0.098	0	0:00:07.976450
9000	8	8	0.953	1	0:00:07.974017
9100	9	9	0.0132	1	0:00:07.972727
9200	8	8	0.204	1	0:00:07.972195
9300	5	3	0.265	0	0:00:07.971807
9400	6	6	0.825	1	0:00:07.969358
9500	9	9	0.8	1	0:00:07.970907
9600	8	8	0.101	1	0:00:07.971686
9700	0	0	0.424	1	0:00:07.972387
9800	1	1	0.953	1	0:00:07.975169
9900	8	8	0.844	1	0:00:07.972303
10000	3	3	0.403	1	0:00:07.971691
10100	4	4	0.247	1	0:00:07.970076
10200	5	-1	0.0	0	0:00:07.970142
10300	6	6	0.831	1	0:00:07.969604
10400	9	9	0.953	1	0:00:07.973952
10500	4	-1	0.0	0	0:00:07.968619
10600	8	8	0.528	1	0:00:07.971348
10700	7	7	0.837	1	0:00:07.971630
10800	7	7	0.953	1	0:00:07.971677
10900	2	6	0.31	0	0:00:07.968889
11000	5	5	0.487	1	0:00:07.974820
11100	7	-1	0.0	0	0:00:07.975263
11200	8	8	0.589	1	0:00:07.975444
11300	4	3	0.574	0	0:00:07.967315
11400	5	6	0.279	0	0:00:07.969757
11500	1	1	0.764	1	0:00:07.975399
11600	8	-1	0.0	0	0:00:07.971208
11700	5	3	0.252	0	0:00:07.972426
11800	4	4	0.225	1	0:00:07.973267
11900	8	8	0.953	1	0:00:07.973452
12000	1	1	0.161	1	0:00:07.973233
12100	2	7	0.0414	0	0:00:07.971231
12200	0	0	0.212	1	0:00:07.973236
12300	3	3	0.021	1	0:00:07.970911
12400	0	0	0.922	1	0:00:07.971867
12500	4	6	0.359	0	0:00:07.968616
12600	8	8	0.753	1	0:00:07.973181
12700	9	-1	0.0	0	0:00:07.977291
12800	4	4	0.275	1	0:00:07.971611
12900	3	3	0.219	1	0:00:07.971103
13000	5	5	0.256	1	0:00:07.972530
13100	0	0	0.104	1	0:00:07.974906
13200	5	5	0.503	1	0:00:07.970725
13300	4	4	0.253	1	0:00:07.969601
13400	6	4	0.121	0	0:00:07.970643
13500	1	1	0.183	1	0:00:07.973623
13600	4	2	0.23	0	0:00:07.973898
13700	3	3	0.386	1	0:00:07.971448
13800	9	9	0.418	1	0:00:07.971655
13900	3	6	0.149	0	0:00:07.971468
14000	8	4	0.124	0	0:00:07.970897
14100	7	7	0.825	1	0:00:07.972779
14200	4	4	0.11	1	0:00:07.969579
14300	8	8	0.325	1	0:00:07.974895
14400	3	6	0.0877	0	0:00:07.969193
14500	3	3	0.0362	1	0:00:07.971435
14600	4	4	0.589	1	0:00:07.973899
14700	6	-1	0.0	0	0:00:07.970800
14800	9	9	0.953	1	0:00:07.972958
14900	3	-1	0.0	0	0:00:07.971901
15000	7	7	0.953	1	0:00:07.975640
15100	3	3	0.33	1	0:00:07.972179
15200	3	6	0.231	0	0:00:07.970268
15300	9	9	0.762	1	0:00:07.973188
15400	9	9	0.352	1	0:00:07.973380
15500	8	-1	0.0	0	0:00:07.972316
15600	6	6	0.64	1	0:00:07.968587
15700	3	3	0.265	1	0:00:07.971346
15800	2	2	0.507	1	0:00:07.970011
15900	4	6	0.11	0	0:00:07.967578
16000	8	9	0.0105	0	0:00:07.969638
16100	1	1	0.612	1	0:00:07.972393
16200	3	3	0.271	1	0:00:07.970231
16300	1	1	0.218	1	0:00:07.970840
16400	0	4	0.118	0	0:00:07.972191
16500	7	-1	0.0	0	0:00:07.970838
16600	7	7	0.953	1	0:00:07.973616
16700	6	6	0.619	1	0:00:07.970793
16800	6	6	0.345	1	0:00:07.967882
16900	3	3	0.785	1	0:00:07.972198
17000	2	2	0.069	1	0:00:07.969723
17100	9	5	0.357	0	0:00:07.971698
17200	4	6	0.164	0	0:00:07.967312
17300	3	5	0.11	0	0:00:07.978621
