idx	label	predict	radius	correct	time
0	3	3	0.416	1	0:00:08.050210
100	4	4	0.283	1	0:00:08.050295
200	5	3	0.115	0	0:00:08.051460
300	6	6	0.953	1	0:00:08.052149
400	9	9	0.953	1	0:00:08.057139
500	4	4	0.000438	1	0:00:08.053317
600	8	8	0.458	1	0:00:08.057336
700	7	7	0.935	1	0:00:08.054645
800	7	7	0.953	1	0:00:08.053669
900	2	6	0.3	0	0:00:08.048816
1000	5	5	0.585	1	0:00:08.053509
1100	7	-1	0.0	0	0:00:08.060687
1200	8	8	0.602	1	0:00:08.057067
1300	4	3	0.539	0	0:00:08.043300
1400	5	6	0.266	0	0:00:08.049191
1500	1	1	0.73	1	0:00:08.055624
1600	8	-1	0.0	0	0:00:08.050658
1700	5	3	0.0669	0	0:00:08.052132
1800	4	4	0.306	1	0:00:08.052319
1900	8	8	0.953	1	0:00:08.051126
2000	1	1	0.312	1	0:00:08.050773
2100	2	7	0.126	0	0:00:08.050281
2200	0	0	0.151	1	0:00:08.053085
2300	3	-1	0.0	0	0:00:08.052135
2400	0	0	0.953	1	0:00:08.051813
2500	4	6	0.487	0	0:00:08.050234
2600	8	8	0.75	1	0:00:08.053340
2700	9	9	0.23	1	0:00:08.055012
2800	4	4	0.292	1	0:00:08.047092
2900	3	-1	0.0	0	0:00:08.050795
3000	5	5	0.288	1	0:00:08.052026
3100	0	0	0.105	1	0:00:08.049078
3200	5	5	0.455	1	0:00:08.049699
3300	4	4	0.364	1	0:00:08.045664
3400	6	4	0.257	0	0:00:08.046283
3500	1	1	0.0893	1	0:00:08.050633
3600	4	2	0.219	0	0:00:08.048115
3700	3	3	0.375	1	0:00:08.046801
3800	9	9	0.688	1	0:00:08.050517
3900	3	3	0.106	1	0:00:08.047878
4000	8	4	0.212	0	0:00:08.052194
4100	7	7	0.922	1	0:00:08.052306
4200	4	4	0.0864	1	0:00:08.045035
4300	8	8	0.283	1	0:00:08.048290
4400	3	6	0.107	0	0:00:08.047085
4500	3	3	0.0675	1	0:00:08.050513
4600	4	4	0.667	1	0:00:08.050608
4700	6	-1	0.0	0	0:00:08.049203
4800	9	9	0.953	1	0:00:08.051715
4900	3	-1	0.0	0	0:00:08.050669
5000	7	7	0.953	1	0:00:08.054093
5100	3	3	0.485	1	0:00:08.051028
5200	3	3	0.0174	1	0:00:08.049217
5300	9	9	0.724	1	0:00:08.051357
5400	9	9	0.445	1	0:00:08.051327
5500	8	1	0.025	0	0:00:08.048209
5600	6	6	0.676	1	0:00:08.047461
5700	3	3	0.0911	1	0:00:08.050903
5800	2	2	0.469	1	0:00:08.049374
5900	4	6	0.184	0	0:00:08.048869
6000	8	8	0.164	1	0:00:08.050978
6100	1	1	0.682	1	0:00:08.050023
6200	3	3	0.23	1	0:00:08.050102
6300	1	1	0.42	1	0:00:08.050187
6400	0	0	0.0977	1	0:00:08.050975
6500	7	-1	0.0	0	0:00:08.049788
6600	7	7	0.953	1	0:00:08.054340
6700	6	6	0.711	1	0:00:08.050096
6800	6	6	0.46	1	0:00:08.046788
6900	3	3	0.818	1	0:00:08.053435
7000	2	0	0.0849	0	0:00:08.049640
7100	9	5	0.107	0	0:00:08.050198
7200	4	-1	0.0	0	0:00:08.045836
7300	3	5	0.192	0	0:00:08.051835
7400	3	9	0.0396	0	0:00:08.051463
7500	6	6	0.953	1	0:00:08.053188
7600	8	9	0.0439	0	0:00:08.051695
7700	6	6	0.953	1	0:00:08.046971
7800	0	0	0.746	1	0:00:08.049613
7900	0	0	0.0755	1	0:00:08.052671
8000	9	9	0.913	1	0:00:08.051243
8100	6	2	0.0382	0	0:00:08.051518
8200	3	6	0.277	0	0:00:08.051630
8300	5	6	0.28	0	0:00:08.051592
8400	0	0	0.585	1	0:00:08.049597
8500	4	4	0.726	1	0:00:08.049695
8600	3	3	0.078	1	0:00:08.054010
8700	3	3	0.407	1	0:00:08.052312
8800	0	0	0.426	1	0:00:08.056405
8900	2	4	0.0541	0	0:00:08.052646
9000	8	8	0.953	1	0:00:08.056471
9100	9	9	0.156	1	0:00:08.053855
9200	8	8	0.232	1	0:00:08.051227
9300	5	3	0.182	0	0:00:08.052586
9400	6	6	0.953	1	0:00:08.051488
9500	9	9	0.913	1	0:00:08.053422
9600	8	8	0.16	1	0:00:08.049421
9700	0	0	0.303	1	0:00:08.049564
9800	1	1	0.935	1	0:00:08.053277
9900	8	8	0.922	1	0:00:08.055163
10000	3	3	0.364	1	0:00:08.060402
10100	4	4	0.258	1	0:00:08.049512
10200	5	3	0.0481	0	0:00:08.052787
10300	6	6	0.953	1	0:00:08.053494
10400	9	9	0.953	1	0:00:08.055256
10500	4	6	0.0143	0	0:00:08.053321
10600	8	8	0.496	1	0:00:08.054809
10700	7	7	0.873	1	0:00:08.053735
10800	7	7	0.953	1	0:00:08.055033
10900	2	6	0.271	0	0:00:08.047649
11000	5	5	0.6	1	0:00:08.053231
11100	7	-1	0.0	0	0:00:08.054503
11200	8	8	0.554	1	0:00:08.053696
11300	4	3	0.547	0	0:00:08.042416
11400	5	6	0.27	0	0:00:08.046200
11500	1	1	0.723	1	0:00:08.053204
11600	8	9	0.0023	0	0:00:08.049478
11700	5	3	0.121	0	0:00:08.053133
11800	4	4	0.298	1	0:00:08.054155
11900	8	8	0.953	1	0:00:08.051432
12000	1	1	0.242	1	0:00:08.052217
12100	2	7	0.175	0	0:00:08.048158
12200	0	0	0.197	1	0:00:08.050823
12300	3	3	0.062	1	0:00:08.050503
12400	0	0	0.953	1	0:00:08.054418
12500	4	6	0.439	0	0:00:08.052199
12600	8	8	0.8	1	0:00:08.053583
12700	9	9	0.424	1	0:00:08.056327
12800	4	4	0.254	1	0:00:08.051229
12900	3	3	0.128	1	0:00:08.059457
13000	5	5	0.192	1	0:00:08.053603
13100	0	0	0.0825	1	0:00:08.049671
13200	5	5	0.517	1	0:00:08.051270
13300	4	4	0.394	1	0:00:08.051760
13400	6	4	0.263	0	0:00:08.050978
13500	1	1	0.0805	1	0:00:08.053346
13600	4	2	0.22	0	0:00:08.051931
13700	3	3	0.398	1	0:00:08.051493
13800	9	9	0.68	1	0:00:08.052507
13900	3	-1	0.0	0	0:00:08.051464
14000	8	4	0.202	0	0:00:08.052641
14100	7	7	0.935	1	0:00:08.052558
14200	4	4	0.0949	1	0:00:08.048143
14300	8	8	0.223	1	0:00:08.051918
14400	3	6	0.106	0	0:00:08.049289
14500	3	3	0.0166	1	0:00:08.051632
14600	4	4	0.657	1	0:00:08.051936
14700	6	-1	0.0	0	0:00:08.050327
14800	9	9	0.953	1	0:00:08.053011
14900	3	3	0.00836	1	0:00:08.053322
15000	7	7	0.953	1	0:00:08.055599
15100	3	3	0.517	1	0:00:08.053625
15200	3	3	0.0488	1	0:00:08.048845
15300	9	9	0.735	1	0:00:08.052770
15400	9	9	0.581	1	0:00:08.051449
15500	8	-1	0.0	0	0:00:08.051675
15600	6	6	0.676	1	0:00:08.050557
15700	3	3	0.0582	1	0:00:08.053768
15800	2	2	0.478	1	0:00:08.051322
15900	4	6	0.154	0	0:00:08.054381
16000	8	8	0.158	1	0:00:08.052935
16100	1	1	0.808	1	0:00:08.052918
16200	3	3	0.237	1	0:00:08.052736
16300	1	1	0.29	1	0:00:08.055337
16400	0	-1	0.0	0	0:00:08.056654
16500	7	-1	0.0	0	0:00:08.054946
16600	7	7	0.953	1	0:00:08.058450
16700	6	6	0.62	1	0:00:08.054224
16800	6	6	0.424	1	0:00:08.051848
16900	3	3	0.881	1	0:00:08.056006
17000	2	-1	0.0	0	0:00:08.052539
17100	9	-1	0.0	0	0:00:08.056499
17200	4	6	0.0157	0	0:00:08.051931
17300	3	5	0.24	0	0:00:08.055272
17400	3	9	0.0772	0	0:00:08.052332
17500	6	6	0.953	1	0:00:08.056118
17600	8	9	0.167	0	0:00:08.055601
17700	6	6	0.953	1	0:00:08.052982
17800	0	0	0.721	1	0:00:08.059316
17900	0	0	0.113	1	0:00:08.057838
18000	9	9	0.935	1	0:00:08.054682
18100	6	2	0.0165	0	0:00:08.053704
18200	3	6	0.226	0	0:00:08.052392
18300	5	6	0.262	0	0:00:08.052545
18400	0	0	0.493	1	0:00:08.052264
18500	4	4	0.705	1	0:00:08.052404
18600	3	3	0.048	1	0:00:08.053423
18700	3	3	0.434	1	0:00:08.052508
18800	0	0	0.474	1	0:00:08.054060
18900	2	4	0.074	0	0:00:08.051887
19000	8	8	0.953	1	0:00:08.055886
19100	9	9	0.212	1	0:00:08.051556
19200	8	8	0.228	1	0:00:08.050595
19300	5	3	0.0745	0	0:00:08.054036
19400	6	6	0.935	1	0:00:08.050074
19500	9	9	0.905	1	0:00:08.056810
19600	8	8	0.0724	1	0:00:08.052941
19700	0	0	0.299	1	0:00:08.052912
19800	1	1	0.953	1	0:00:08.057183
19900	8	8	0.953	1	0:00:08.055888
20000	3	3	0.4	1	0:00:08.055154
20100	4	4	0.261	1	0:00:08.052463
20200	5	3	0.0954	0	0:00:08.057987
20300	6	6	0.935	1	0:00:08.053704
20400	9	9	0.953	1	0:00:08.058938
20500	4	4	0.011	1	0:00:08.053955
20600	8	8	0.471	1	0:00:08.054596
20700	7	7	0.922	1	0:00:08.058280
20800	7	7	0.953	1	0:00:08.055156
20900	2	6	0.307	0	0:00:08.051836
21000	5	5	0.558	1	0:00:08.053798
21100	7	-1	0.0	0	0:00:08.054545
21200	8	8	0.607	1	0:00:08.052822
21300	4	3	0.544	0	0:00:08.044140
21400	5	6	0.246	0	0:00:08.049428
21500	1	1	0.699	1	0:00:08.055456
21600	8	9	0.0107	0	0:00:08.053998
21700	5	3	0.0952	0	0:00:08.055826
21800	4	4	0.3	1	0:00:08.058050
21900	8	8	0.953	1	0:00:08.054831
