idx	label	predict	radius	correct	time
0	3	3	0.404	1	0:00:07.973924
100	4	4	0.237	1	0:00:07.972073
200	5	3	0.0611	0	0:00:07.975306
300	6	6	0.935	1	0:00:07.974337
400	9	9	0.953	1	0:00:07.977081
500	4	-1	0.0	0	0:00:07.974728
600	8	8	0.458	1	0:00:07.978418
700	7	7	0.913	1	0:00:07.977226
800	7	7	0.953	1	0:00:07.976014
900	2	6	0.269	0	0:00:07.972467
1000	5	5	0.619	1	0:00:07.975819
1100	7	-1	0.0	0	0:00:07.976318
1200	8	8	0.578	1	0:00:07.977157
1300	4	3	0.573	0	0:00:07.967890
1400	5	6	0.28	0	0:00:07.971473
1500	1	1	0.756	1	0:00:07.977474
1600	8	-1	0.0	0	0:00:07.973433
1700	5	3	0.0648	0	0:00:07.973859
1800	4	4	0.317	1	0:00:07.973276
1900	8	8	0.953	1	0:00:07.972332
2000	1	1	0.363	1	0:00:07.974685
2100	2	7	0.168	0	0:00:07.971841
2200	0	0	0.198	1	0:00:07.975039
2300	3	3	0.0451	1	0:00:07.970767
2400	0	0	0.953	1	0:00:07.974222
2500	4	6	0.488	0	0:00:07.972593
2600	8	8	0.776	1	0:00:07.973746
2700	9	9	0.271	1	0:00:07.975771
2800	4	4	0.305	1	0:00:07.971957
2900	3	-1	0.0	0	0:00:07.973869
3000	5	5	0.343	1	0:00:07.972872
3100	0	0	0.0685	1	0:00:07.973147
3200	5	5	0.494	1	0:00:07.974530
3300	4	4	0.39	1	0:00:07.971731
3400	6	4	0.22	0	0:00:07.972848
3500	1	1	0.142	1	0:00:07.975123
3600	4	2	0.224	0	0:00:07.973181
3700	3	3	0.323	1	0:00:07.971911
3800	9	9	0.668	1	0:00:07.974107
3900	3	3	0.126	1	0:00:07.972504
4000	8	4	0.2	0	0:00:07.973355
4100	7	7	0.935	1	0:00:07.973268
4200	4	6	0.0049	0	0:00:07.968802
4300	8	8	0.243	1	0:00:07.973209
4400	3	6	0.121	0	0:00:07.972285
4500	3	3	0.0687	1	0:00:07.973377
4600	4	4	0.673	1	0:00:07.974518
4700	6	-1	0.0	0	0:00:07.973096
4800	9	9	0.953	1	0:00:07.974721
