idx	label	predict	radius	correct	time
0	3	3	0.411	1	0:00:07.981289
100	4	4	0.357	1	0:00:07.980033
200	5	3	0.0467	0	0:00:07.983565
300	6	6	0.953	1	0:00:07.981818
400	9	9	0.953	1	0:00:07.984176
500	4	4	0.0431	1	0:00:07.980372
600	8	8	0.406	1	0:00:07.984580
700	7	7	0.953	1	0:00:07.984198
800	7	7	0.953	1	0:00:07.983879
900	2	6	0.263	0	0:00:07.979624
1000	5	5	0.64	1	0:00:07.982708
1100	7	-1	0.0	0	0:00:07.983947
1200	8	8	0.743	1	0:00:07.984336
1300	4	3	0.149	0	0:00:07.977403
1400	5	6	0.0222	0	0:00:07.980169
1500	1	1	0.613	1	0:00:07.986719
1600	8	-1	0.0	0	0:00:07.983419
1700	5	3	0.128	0	0:00:07.985303
1800	4	4	0.274	1	0:00:07.984885
1900	8	8	0.953	1	0:00:07.984440
2000	1	1	0.378	1	0:00:07.983795
2100	2	7	0.0567	0	0:00:07.983977
2200	0	0	0.191	1	0:00:07.984586
2300	3	-1	0.0	0	0:00:07.981616
2400	0	0	0.953	1	0:00:07.983780
2500	4	6	0.48	0	0:00:07.983721
2600	8	8	0.68	1	0:00:07.985167
2700	9	9	0.282	1	0:00:07.986837
2800	4	4	0.32	1	0:00:07.982234
2900	3	-1	0.0	0	0:00:07.984276
3000	5	5	0.382	1	0:00:07.983913
3100	0	0	0.023	1	0:00:07.982197
3200	5	5	0.6	1	0:00:07.982495
3300	4	4	0.395	1	0:00:07.982640
3400	6	4	0.316	0	0:00:07.983266
3500	1	-1	0.0	0	0:00:07.985462
3600	4	2	0.227	0	0:00:07.983046
3700	3	3	0.272	1	0:00:07.983617
3800	9	9	0.709	1	0:00:07.984629
3900	3	-1	0.0	0	0:00:07.982407
4000	8	4	0.197	0	0:00:07.982414
4100	7	7	0.898	1	0:00:07.983838
4200	4	4	0.0315	1	0:00:07.979243
4300	8	8	0.182	1	0:00:07.981426
4400	3	6	0.121	0	0:00:07.985135
4500	3	3	0.0831	1	0:00:07.982303
4600	4	4	0.677	1	0:00:07.981607
4700	6	-1	0.0	0	0:00:07.981534
4800	9	9	0.953	1	0:00:07.982877
4900	3	3	0.138	1	0:00:07.982595
5000	7	7	0.953	1	0:00:07.983926
5100	3	3	0.277	1	0:00:07.981859
5200	3	-1	0.0	0	0:00:07.984127
5300	9	9	0.833	1	0:00:07.981520
5400	9	9	0.568	1	0:00:07.980899
5500	8	1	0.00417	0	0:00:07.980490
5600	6	6	0.65	1	0:00:07.980238
5700	3	3	0.0365	1	0:00:07.980530
5800	2	2	0.496	1	0:00:07.980107
5900	4	6	0.188	0	0:00:07.977561
6000	8	8	0.171	1	0:00:07.979347
6100	1	1	0.756	1	0:00:07.980752
6200	3	3	0.183	1	0:00:07.979659
6300	1	1	0.361	1	0:00:07.980978
6400	0	-1	0.0	0	0:00:07.979375
6500	7	-1	0.0	0	0:00:07.979445
6600	7	7	0.953	1	0:00:07.983044
6700	6	6	0.751	1	0:00:07.982080
6800	6	6	0.475	1	0:00:07.979372
6900	3	3	0.922	1	0:00:07.985502
7000	2	0	0.0423	0	0:00:07.983575
7100	9	9	0.0243	1	0:00:07.982961
7200	4	-1	0.0	0	0:00:07.979622
7300	3	5	0.226	0	0:00:07.981777
7400	3	3	0.134	1	0:00:07.981715
7500	6	6	0.953	1	0:00:07.985090
7600	8	9	0.166	0	0:00:07.983374
7700	6	6	0.953	1	0:00:07.979336
7800	0	0	0.784	1	0:00:07.980572
7900	0	0	0.0961	1	0:00:07.982011
8000	9	9	0.913	1	0:00:07.980805
8100	6	2	0.0803	0	0:00:07.981175
8200	3	6	0.173	0	0:00:07.980795
8300	5	6	0.207	0	0:00:07.979912
8400	0	0	0.573	1	0:00:07.979509
8500	4	4	0.639	1	0:00:07.977547
8600	3	3	0.144	1	0:00:07.981189
8700	3	3	0.375	1	0:00:07.979387
8800	0	0	0.43	1	0:00:07.980180
8900	2	4	0.0352	0	0:00:07.977792
9000	8	8	0.953	1	0:00:07.981573
9100	9	9	0.0801	1	0:00:07.981230
9200	8	8	0.112	1	0:00:07.979349
9300	5	3	0.22	0	0:00:07.980414
9400	6	6	0.953	1	0:00:07.979089
9500	9	9	0.935	1	0:00:07.980603
9600	8	8	0.0737	1	0:00:07.979977
9700	0	0	0.439	1	0:00:07.979910
9800	1	1	0.953	1	0:00:07.983757
9900	8	8	0.935	1	0:00:07.982222
10000	3	3	0.402	1	0:00:07.983336
10100	4	4	0.385	1	0:00:07.979878
10200	5	3	0.106	0	0:00:07.981975
