idx	label	predict	radius	correct	time
0	3	3	0.357	1	0:00:07.973469
100	4	4	0.228	1	0:00:07.970004
200	5	3	0.0807	0	0:00:07.972814
300	6	6	0.953	1	0:00:07.974494
400	9	9	0.953	1	0:00:07.975083
500	4	6	0.0149	0	0:00:07.973879
600	8	8	0.154	1	0:00:07.974884
700	7	7	0.751	1	0:00:07.974558
800	7	7	0.953	1	0:00:07.974882
900	2	6	0.332	0	0:00:07.972558
1000	5	5	0.535	1	0:00:07.975204
1100	7	-1	0.0	0	0:00:07.976445
1200	8	8	0.295	1	0:00:07.976673
1300	4	3	0.618	0	0:00:07.969658
1400	5	6	0.296	0	0:00:07.972083
1500	1	1	0.52	1	0:00:07.976086
1600	8	-1	0.0	0	0:00:07.972646
1700	5	3	0.066	0	0:00:07.974771
1800	4	4	0.344	1	0:00:07.975640
1900	8	8	0.953	1	0:00:07.974579
2000	1	1	0.294	1	0:00:07.975232
2100	2	7	0.119	0	0:00:07.974283
2200	0	-1	0.0	0	0:00:07.976186
2300	3	3	0.0499	1	0:00:07.973398
2400	0	0	0.881	1	0:00:07.975585
2500	4	6	0.357	0	0:00:07.971527
2600	8	8	0.716	1	0:00:07.974536
2700	9	9	0.219	1	0:00:07.982702
2800	4	4	0.257	1	0:00:07.971540
2900	3	3	0.0985	1	0:00:07.974399
3000	5	5	0.361	1	0:00:07.974004
3100	0	0	0.0936	1	0:00:07.973289
3200	5	5	0.428	1	0:00:07.975747
3300	4	4	0.344	1	0:00:07.972174
3400	6	4	0.223	0	0:00:07.972736
3500	1	9	0.0208	0	0:00:07.974572
3600	4	2	0.233	0	0:00:07.975586
3700	3	3	0.317	1	0:00:07.976279
3800	9	9	0.537	1	0:00:07.974746
3900	3	3	0.031	1	0:00:07.973706
4000	8	4	0.157	0	0:00:07.975512
4100	7	7	0.842	1	0:00:07.977223
4200	4	4	0.104	1	0:00:07.971603
4300	8	8	0.278	1	0:00:07.973414
4400	3	6	0.0455	0	0:00:07.974410
4500	3	3	0.00706	1	0:00:07.974811
4600	4	4	0.599	1	0:00:07.975637
4700	6	-1	0.0	0	0:00:07.975666
4800	9	9	0.953	1	0:00:07.976175
4900	3	-1	0.0	0	0:00:07.974100
5000	7	7	0.953	1	0:00:07.975517
5100	3	3	0.486	1	0:00:07.974861
5200	3	3	0.0609	1	0:00:07.973713
5300	9	9	0.648	1	0:00:07.974622
5400	9	9	0.444	1	0:00:07.974864
5500	8	1	0.00669	0	0:00:07.975357
5600	6	6	0.546	1	0:00:07.973163
5700	3	3	0.278	1	0:00:07.975238
5800	2	2	0.29	1	0:00:07.973299
5900	4	6	0.182	0	0:00:07.972614
6000	8	8	0.156	1	0:00:07.973279
6100	1	1	0.495	1	0:00:07.974895
6200	3	3	0.289	1	0:00:07.973553
6300	1	1	0.217	1	0:00:07.972543
6400	0	4	0.0471	0	0:00:07.972394
6500	7	-1	0.0	0	0:00:07.970657
6600	7	7	0.953	1	0:00:07.974737
6700	6	6	0.5	1	0:00:07.976311
6800	6	6	0.369	1	0:00:07.971584
6900	3	3	0.811	1	0:00:07.979329
7000	2	0	0.0662	0	0:00:07.971639
7100	9	5	0.0728	0	0:00:07.972936
7200	4	6	0.0708	0	0:00:07.969717
7300	3	5	0.284	0	0:00:07.972967
7400	3	-1	0.0	0	0:00:07.972322
7500	6	6	0.953	1	0:00:07.974881
7600	8	9	0.106	0	0:00:07.970837
7700	6	6	0.953	1	0:00:07.969096
7800	0	0	0.728	1	0:00:07.972343
7900	0	-1	0.0	0	0:00:07.973293
8000	9	9	0.892	1	0:00:07.973202
8100	6	6	0.0195	1	0:00:07.972827
8200	3	6	0.231	0	0:00:07.974186
8300	5	6	0.241	0	0:00:07.973012
8400	0	0	0.511	1	0:00:07.972532
8500	4	4	0.652	1	0:00:07.971621
8600	3	3	0.0754	1	0:00:07.973834
8700	3	3	0.525	1	0:00:07.972975
8800	0	0	0.624	1	0:00:07.978593
8900	2	4	0.105	0	0:00:07.973448
9000	8	8	0.953	1	0:00:07.977515
9100	9	9	0.137	1	0:00:07.974574
9200	8	8	0.209	1	0:00:07.974689
9300	5	3	0.0242	0	0:00:07.975140
9400	6	6	0.79	1	0:00:07.973891
9500	9	9	0.881	1	0:00:07.976257
9600	8	8	0.16	1	0:00:07.975163
9700	0	0	0.317	1	0:00:07.982724
9800	1	1	0.953	1	0:00:07.979971
9900	8	8	0.653	1	0:00:07.977720
10000	3	3	0.361	1	0:00:07.977409
10100	4	4	0.248	1	0:00:07.976326
10200	5	3	0.0296	0	0:00:07.979582
10300	6	6	0.922	1	0:00:07.977541
10400	9	9	0.953	1	0:00:07.980030
10500	4	4	0.0143	1	0:00:07.978195
10600	8	8	0.112	1	0:00:07.978580
10700	7	7	0.698	1	0:00:07.980967
10800	7	7	0.953	1	0:00:07.978860
10900	2	6	0.339	0	0:00:07.975850
11000	5	5	0.479	1	0:00:07.978676
11100	7	-1	0.0	0	0:00:07.981555
11200	8	8	0.296	1	0:00:07.982619
11300	4	3	0.602	0	0:00:07.973072
11400	5	6	0.292	0	0:00:07.975931
11500	1	1	0.513	1	0:00:07.979766
11600	8	6	0.0124	0	0:00:07.976956
11700	5	3	0.0973	0	0:00:07.979611
11800	4	4	0.377	1	0:00:07.979038
11900	8	8	0.953	1	0:00:07.977566
12000	1	1	0.228	1	0:00:07.975500
12100	2	7	0.0656	0	0:00:07.977574
12200	0	-1	0.0	0	0:00:07.979025
12300	3	3	0.0712	1	0:00:07.976005
12400	0	0	0.898	1	0:00:07.978724
12500	4	6	0.365	0	0:00:07.976518
12600	8	8	0.735	1	0:00:07.979442
12700	9	9	0.2	1	0:00:07.981139
12800	4	4	0.262	1	0:00:07.977434
12900	3	3	0.171	1	0:00:07.978713
13000	5	5	0.342	1	0:00:07.978896
13100	0	0	0.107	1	0:00:07.978706
13200	5	5	0.408	1	0:00:07.977248
13300	4	4	0.335	1	0:00:07.976925
13400	6	4	0.19	0	0:00:07.976709
13500	1	-1	0.0	0	0:00:07.977671
13600	4	2	0.221	0	0:00:07.979345
13700	3	3	0.371	1	0:00:07.975915
13800	9	9	0.456	1	0:00:07.978540
13900	3	3	0.0223	1	0:00:07.978026
14000	8	4	0.166	0	0:00:07.980100
14100	7	7	0.905	1	0:00:07.978237
14200	4	4	0.0468	1	0:00:07.973285
14300	8	8	0.233	1	0:00:07.977313
14400	3	6	0.0639	0	0:00:07.977022
14500	3	-1	0.0	0	0:00:07.975898
14600	4	4	0.642	1	0:00:07.977929
14700	6	-1	0.0	0	0:00:07.976802
14800	9	9	0.953	1	0:00:07.979540
14900	3	5	0.000463	0	0:00:07.977491
15000	7	7	0.953	1	0:00:07.979415
15100	3	3	0.45	1	0:00:07.977587
15200	3	3	0.0477	1	0:00:07.978403
15300	9	9	0.618	1	0:00:07.978687
15400	9	9	0.533	1	0:00:07.978820
15500	8	1	0.0723	0	0:00:07.978083
15600	6	6	0.494	1	0:00:07.976860
15700	3	3	0.311	1	0:00:07.977651
15800	2	2	0.298	1	0:00:07.974817
15900	4	6	0.16	0	0:00:07.976143
16000	8	8	0.0994	1	0:00:07.976762
16100	1	1	0.443	1	0:00:07.977740
16200	3	3	0.215	1	0:00:07.978174
16300	1	1	0.24	1	0:00:07.977494
16400	0	4	0.0261	0	0:00:07.976982
16500	7	-1	0.0	0	0:00:07.977120
16600	7	7	0.953	1	0:00:07.979517
16700	6	6	0.437	1	0:00:07.979334
16800	6	6	0.349	1	0:00:07.975558
16900	3	3	0.796	1	0:00:07.980147
17000	2	0	0.0683	0	0:00:07.975122
17100	9	5	0.111	0	0:00:07.975782
17200	4	6	0.0652	0	0:00:07.972094
17300	3	5	0.292	0	0:00:07.976581
17400	3	-1	0.0	0	0:00:07.975282
17500	6	6	0.953	1	0:00:07.979049
17600	8	9	0.126	0	0:00:07.976879
17700	6	6	0.953	1	0:00:07.973914
17800	0	0	0.731	1	0:00:07.975664
17900	0	-1	0.0	0	0:00:07.977052
18000	9	9	0.922	1	0:00:07.976490
18100	6	2	0.0502	0	0:00:07.975597
18200	3	6	0.193	0	0:00:07.975562
18300	5	6	0.172	0	0:00:07.973127
18400	0	0	0.477	1	0:00:07.974111
18500	4	4	0.656	1	0:00:07.972802
18600	3	3	0.0523	1	0:00:07.976108
18700	3	3	0.514	1	0:00:07.974665
18800	0	0	0.619	1	0:00:07.977108
18900	2	4	0.141	0	0:00:07.976058
19000	8	8	0.953	1	0:00:07.980611
19100	9	9	0.155	1	0:00:07.976949
19200	8	8	0.186	1	0:00:07.975309
19300	5	3	0.0223	0	0:00:07.976294
19400	6	6	0.793	1	0:00:07.974777
19500	9	9	0.886	1	0:00:07.977906
19600	8	8	0.187	1	0:00:07.977852
19700	0	0	0.321	1	0:00:07.975981
19800	1	1	0.953	1	0:00:07.981813
19900	8	8	0.667	1	0:00:07.977273
20000	3	3	0.338	1	0:00:07.976495
20100	4	4	0.252	1	0:00:07.976003
20200	5	-1	0.0	0	0:00:07.977105
20300	6	6	0.922	1	0:00:07.974686
20400	9	9	0.953	1	0:00:07.977640
20500	4	4	0.0366	1	0:00:07.974683
20600	8	-1	0.0	0	0:00:07.977065
20700	7	7	0.668	1	0:00:07.974954
20800	7	7	0.953	1	0:00:07.981078
20900	2	6	0.341	0	0:00:07.972083
21000	5	5	0.425	1	0:00:07.975740
21100	7	-1	0.0	0	0:00:07.977459
21200	8	8	0.253	1	0:00:07.977770
21300	4	3	0.611	0	0:00:07.971093
21400	5	6	0.296	0	0:00:07.971750
21500	1	1	0.445	1	0:00:07.977334
21600	8	6	0.0384	0	0:00:07.974268
21700	5	3	0.106	0	0:00:07.973864
21800	4	4	0.4	1	0:00:07.975351
21900	8	8	0.953	1	0:00:07.974496
22000	1	1	0.161	1	0:00:07.974689
22100	2	7	0.0381	0	0:00:07.976209
22200	0	-1	0.0	0	0:00:07.979648
22300	3	3	0.0706	1	0:00:07.973272
22400	0	0	0.877	1	0:00:07.975773
