epoch	time	lr	train loss	train acc	testloss	test acc
2	30.1	0.01	0.259	58.2	0.735	75.0
3	27.2	0.01	0.193	65.8	0.601	78.5
4	26.3	0.01	0.181	66.9	0.504	81.5
5	26.2	0.01	0.173	67.6	0.516	81.6
6	26.4	0.01	0.168	68.4	0.501	82.0
7	26.5	0.01	0.165	68.7	0.507	82.2
8	26.8	0.01	0.162	69.3	0.467	83.1
9	26.5	0.01	0.161	69.5	0.484	83.1
10	26.8	0.01	0.158	69.9	0.498	82.4
11	26.8	0.01	0.156	70.0	0.475	82.8
12	28.0	0.01	0.156	70.2	0.485	82.9
13	26.8	0.01	0.154	70.3	0.496	82.7
14	29.6	0.01	0.153	70.6	0.474	83.1
15	26.9	0.01	0.152	70.6	0.482	83.4
16	26.4	0.01	0.15	70.8	0.457	84.3
17	26.9	0.01	0.151	70.9	0.495	82.9
18	26.8	0.01	0.149	71.1	0.459	84.0
19	28.6	0.01	0.149	71.0	0.461	83.9
20	26.9	0.01	0.149	71.2	0.467	83.5
21	26.8	0.01	0.147	71.2	0.456	84.5
22	26.6	0.01	0.147	71.3	0.449	84.0
23	32.5	0.01	0.147	71.4	0.468	84.1
24	28.6	0.01	0.146	71.6	0.463	84.1
25	29.1	0.01	0.147	71.5	0.469	83.5
26	26.7	0.01	0.146	71.6	0.446	84.5
27	31.5	0.01	0.145	71.7	0.461	83.9
28	26.8	0.01	0.145	71.6	0.439	84.5
29	26.9	0.01	0.144	71.9	0.453	84.7
30	27.4	0.01	0.143	72.0	0.475	83.5
31	26.9	0.01	0.144	71.8	0.433	85.1
32	32.5	0.01	0.144	71.8	0.462	83.8
33	26.8	0.01	0.143	71.9	0.44	84.5
34	27.0	0.01	0.141	72.1	0.423	84.9
35	29.5	0.01	0.142	72.1	0.447	84.1
36	26.5	0.01	0.143	72.1	0.42	84.8
37	27.4	0.01	0.141	72.2	0.422	84.8
38	26.9	0.01	0.14	72.3	0.424	85.4
39	29.5	0.01	0.141	72.4	0.429	84.4
40	28.1	0.01	0.14	72.4	0.454	84.2
41	29.3	0.01	0.141	72.4	0.44	84.9
42	26.9	0.01	0.14	72.4	0.426	84.8
43	27.0	0.01	0.139	72.6	0.423	85.6
44	27.2	0.01	0.14	72.4	0.422	85.2
45	26.9	0.01	0.139	72.4	0.419	84.8
46	27.2	0.01	0.139	72.6	0.417	84.9
47	27.1	0.01	0.139	72.6	0.423	85.3
48	28.7	0.01	0.139	72.5	0.435	85.0
49	26.8	0.01	0.139	72.8	0.439	84.3
50	33.9	0.01	0.138	72.8	0.423	85.3
51	27.4	0.0001	0.132	74.1	0.407	85.7
52	29.8	0.001	0.13	74.2	0.399	85.8
53	28.2	0.001	0.13	74.3	0.403	85.7
54	28.1	0.001	0.129	74.3	0.402	85.9
55	35.3	0.001	0.13	74.2	0.407	85.9
56	27.0	0.001	0.129	74.4	0.397	85.9
57	27.3	0.001	0.129	74.3	0.4	85.9
58	26.7	0.001	0.129	74.4	0.403	85.8
59	27.0	0.001	0.128	74.4	0.403	85.7
60	26.9	0.001	0.129	74.4	0.402	85.8
61	25.9	0.001	0.129	74.4	0.4	86.1
62	27.5	0.001	0.129	74.5	0.402	85.6
63	27.3	0.001	0.129	74.5	0.402	85.8
64	27.9	0.001	0.13	74.4	0.396	86.2
65	27.1	0.001	0.129	74.5	0.398	86.0
66	27.3	0.001	0.129	74.5	0.401	85.9
67	27.0	0.001	0.128	74.5	0.399	85.9
68	26.6	0.001	0.128	74.4	0.4	85.9
69	27.2	0.001	0.129	74.6	0.395	86.3
70	27.0	0.001	0.128	74.6	0.396	86.0
71	28.6	0.001	0.129	74.5	0.397	85.9
72	32.9	0.001	0.128	74.6	0.388	86.2
73	35.8	0.001	0.128	74.6	0.399	85.9
74	26.6	0.001	0.128	74.6	0.399	86.1
75	26.8	0.001	0.128	74.6	0.393	85.8
76	25.9	0.001	0.128	74.5	0.396	85.9
77	27.1	0.001	0.128	74.6	0.396	86.0
78	28.8	0.001	0.128	74.6	0.406	85.7
79	26.7	0.001	0.128	74.6	0.397	85.8
80	29.0	0.001	0.127	74.6	0.395	85.9
81	27.0	0.001	0.128	74.6	0.396	86.1
82	27.4	0.001	0.127	74.6	0.395	86.3
83	27.4	0.001	0.128	74.6	0.403	85.9
84	26.8	0.001	0.127	74.6	0.396	86.2
85	29.0	0.001	0.127	74.7	0.396	86.0
86	28.1	0.001	0.127	74.7	0.399	86.0
87	26.9	0.001	0.128	74.6	0.393	85.9
88	30.9	0.001	0.127	74.6	0.395	86.1
89	29.1	0.001	0.127	74.7	0.4	85.8
90	33.1	0.001	0.127	74.7	0.391	86.2
91	34.7	0.001	0.127	74.8	0.398	85.9
92	26.7	0.001	0.127	74.8	0.391	86.2
93	29.4	0.001	0.127	74.8	0.394	85.9
94	29.8	0.001	0.127	74.7	0.4	86.1
95	27.5	0.001	0.127	74.7	0.395	86.1
96	31.3	0.001	0.127	74.6	0.393	85.9
