epoch	time	lr	train loss	train acc	testloss	test acc
0	2.06	0.01	1.06	61.7	0.683	74.0
1	2.45	0.01	0.586	77.9	0.58	77.5
2	3.95	0.01	0.517	80.5	0.503	81.2
3	2.17	0.01	0.472	82.5	0.477	82.3
4	2.22	0.01	0.441	83.6	0.449	83.6
5	2.13	0.01	0.421	84.3	0.466	82.5
6	2.11	0.01	0.403	85.0	0.43	84.3
7	2.14	0.01	0.391	85.5	0.418	84.3
8	4.2	0.01	0.381	85.8	0.408	84.8
9	2.18	0.01	0.372	86.1	0.401	85.4
10	2.3	0.01	0.363	86.4	0.388	85.7
11	2.47	0.01	0.356	86.7	0.396	85.7
12	8.15	0.01	0.352	86.9	0.381	85.9
13	2.24	0.01	0.345	87.1	0.386	86.0
14	2.11	0.01	0.338	87.5	0.374	86.3
15	2.11	0.01	0.333	87.4	0.377	86.0
16	2.1	0.01	0.329	87.7	0.368	86.6
17	2.27	0.01	0.325	87.8	0.371	86.5
18	2.15	0.01	0.32	88.1	0.375	86.3
19	2.05	0.01	0.317	88.1	0.364	86.7
20	2.11	0.01	0.31	88.3	0.358	86.6
21	2.11	0.01	0.307	88.6	0.359	86.7
22	2.12	0.01	0.308	88.4	0.349	87.0
23	2.12	0.01	0.301	88.7	0.349	87.3
24	2.1	0.01	0.3	88.6	0.35	86.9
25	2.08	0.01	0.298	88.7	0.341	88.0
26	2.09	0.01	0.292	89.0	0.336	87.6
27	2.17	0.01	0.289	89.0	0.351	87.1
28	2.13	0.01	0.289	89.2	0.337	87.6
29	2.13	0.01	0.284	89.2	0.341	87.2
30	2.08	0.01	0.285	89.3	0.338	87.4
31	2.16	0.0001	0.267	90.0	0.328	88.0
32	2.12	0.001	0.261	90.1	0.329	87.9
33	2.12	0.001	0.259	90.3	0.323	88.2
34	4.12	0.001	0.258	90.3	0.321	88.3
35	2.28	0.001	0.259	90.2	0.321	88.0
36	2.39	0.001	0.259	90.2	0.318	88.3
37	2.46	0.001	0.256	90.4	0.319	88.2
38	2.19	0.001	0.257	90.3	0.321	88.2
39	2.67	0.001	0.257	90.3	0.324	88.0
40	4.32	0.001	0.259	90.1	0.326	88.0
41	2.21	0.001	0.256	90.3	0.318	88.4
42	2.33	0.001	0.255	90.4	0.322	88.3
43	4.14	0.001	0.254	90.4	0.328	88.0
44	2.2	0.001	0.256	90.4	0.321	88.2
45	2.24	0.001	0.253	90.5	0.319	88.5
46	2.79	0.001	0.254	90.4	0.324	88.3
47	2.2	0.001	0.254	90.4	0.318	88.0
48	2.22	0.001	0.252	90.5	0.32	88.5
49	2.16	0.001	0.253	90.4	0.321	88.3
50	3.7	0.001	0.253	90.5	0.324	87.8
51	3.03	0.001	0.252	90.4	0.318	88.4
52	4.57	0.001	0.253	90.5	0.326	88.0
53	2.55	0.001	0.253	90.6	0.315	88.2
54	2.54	0.001	0.251	90.5	0.32	88.2
55	2.52	0.001	0.252	90.4	0.323	88.5
56	2.35	0.001	0.251	90.4	0.32	88.2
57	2.39	0.001	0.25	90.4	0.321	88.4
58	2.24	0.001	0.249	90.6	0.32	88.3
59	2.38	0.001	0.247	90.6	0.325	88.2
60	2.25	0.001	0.248	90.7	0.323	88.2
61	2.34	1e-05	0.245	90.6	0.314	88.3
62	2.51	0.0001	0.244	90.8	0.32	88.1
63	2.34	0.0001	0.244	90.8	0.317	88.6
64	2.3	0.0001	0.245	90.8	0.326	87.8
65	2.31	0.0001	0.244	90.7	0.316	88.3
66	2.41	0.0001	0.245	90.8	0.323	88.2
67	3.08	0.0001	0.245	90.7	0.32	88.4
68	2.22	0.0001	0.244	90.7	0.318	88.6
69	2.4	0.0001	0.245	90.8	0.324	88.1
70	2.62	0.0001	0.244	90.8	0.312	88.5
71	2.33	0.0001	0.245	90.7	0.32	88.3
72	3.86	0.0001	0.247	90.7	0.317	88.3
73	2.29	0.0001	0.246	90.6	0.315	88.3
74	2.42	0.0001	0.245	90.8	0.312	88.4
75	2.44	0.0001	0.246	90.7	0.32	88.3
76	2.26	0.0001	0.243	90.8	0.322	88.2
77	2.26	0.0001	0.244	90.7	0.316	88.4
78	4.11	0.0001	0.245	90.7	0.317	88.3
79	2.42	0.0001	0.244	90.8	0.314	88.8
80	2.97	0.0001	0.245	90.8	0.317	88.3
81	2.51	0.0001	0.244	90.7	0.317	88.2
82	2.62	0.0001	0.244	90.8	0.323	88.0
83	2.46	0.0001	0.243	90.9	0.321	88.0
84	2.57	0.0001	0.245	90.7	0.321	88.3
85	2.26	0.0001	0.242	90.9	0.319	87.9
86	2.69	0.0001	0.245	90.8	0.316	88.2
87	2.31	0.0001	0.242	90.9	0.316	88.4
88	2.18	0.0001	0.243	90.8	0.316	88.7
89	2.23	0.0001	0.243	90.9	0.317	88.2
