idx	label	predict	radius	correct	time
0	9	9	0.599	1	0:00:00.694666
1	2	2	0.953	1	0:00:00.701064
2	1	1	0.953	1	0:00:00.700670
3	1	1	0.953	1	0:00:00.698106
4	6	6	0.184	1	0:00:00.701074
5	1	1	0.953	1	0:00:00.696433
6	4	4	0.552	1	0:00:00.695863
7	6	6	0.8	1	0:00:00.696842
8	5	5	0.691	1	0:00:00.697548
9	7	7	0.953	1	0:00:00.696073
10	4	4	0.723	1	0:00:00.697237
11	5	5	0.953	1	0:00:00.696350
12	7	5	0.171	0	0:00:00.695578
13	3	3	0.953	1	0:00:00.718883
14	4	4	0.694	1	0:00:00.697303
15	1	1	0.953	1	0:00:00.694895
16	2	2	0.898	1	0:00:00.697647
17	4	-1	0.0	0	0:00:00.696522
18	8	8	0.953	1	0:00:00.698386
19	0	0	0.819	1	0:00:00.697003
20	2	2	0.953	1	0:00:00.696741
21	5	5	0.0518	1	0:00:00.696923
22	7	7	0.935	1	0:00:00.696404
23	9	5	0.811	0	0:00:00.694839
24	1	1	0.953	1	0:00:00.697356
25	4	2	0.188	0	0:00:00.695548
26	6	6	0.427	1	0:00:00.694474
27	0	0	0.658	1	0:00:00.690166
28	9	9	0.759	1	0:00:00.696035
29	3	-1	0.0	0	0:00:00.698339
30	8	8	0.953	1	0:00:00.697434
31	8	8	0.905	1	0:00:00.697941
32	3	3	0.299	1	0:00:00.702850
33	3	3	0.865	1	0:00:00.695842
34	8	8	0.953	1	0:00:00.697632
35	0	0	0.5	1	0:00:00.696979
36	7	7	0.953	1	0:00:00.697529
37	5	5	0.585	1	0:00:00.697819
38	7	7	0.953	1	0:00:00.697960
39	9	9	0.953	1	0:00:00.696360
40	6	0	0.303	0	0:00:00.697814
41	1	1	0.953	1	0:00:00.694356
42	3	6	0.56	0	0:00:00.695256
43	7	9	0.171	0	0:00:00.698672
44	6	6	0.172	1	0:00:00.697335
45	7	-1	0.0	0	0:00:00.699126
46	2	2	0.515	1	0:00:00.697962
47	1	1	0.953	1	0:00:00.696520
48	2	2	0.0232	1	0:00:00.697614
49	2	6	0.389	0	0:00:00.696306
50	4	4	0.676	1	0:00:00.696015
51	4	2	0.076	0	0:00:00.695639
52	5	5	0.772	1	0:00:00.697957
53	8	8	0.953	1	0:00:00.695487
54	2	2	0.596	1	0:00:00.710997
55	2	2	0.858	1	0:00:00.711015
56	8	8	0.953	1	0:00:00.696831
57	4	6	0.143	0	0:00:00.696589
58	8	8	0.953	1	0:00:00.702851
59	0	0	0.835	1	0:00:00.672457
60	7	7	0.913	1	0:00:00.696645
61	7	7	0.602	1	0:00:00.696660
62	8	8	0.953	1	0:00:00.696660
63	5	5	0.953	1	0:00:00.696062
64	1	1	0.953	1	0:00:00.698220
65	1	1	0.953	1	0:00:00.696442
66	2	-1	0.0	0	0:00:00.696430
67	3	4	0.238	0	0:00:00.697173
68	9	7	0.651	0	0:00:00.683717
69	8	8	0.953	1	0:00:00.696093
70	7	7	0.792	1	0:00:00.696800
71	0	0	0.575	1	0:00:00.696820
72	2	2	0.953	1	0:00:00.699857
73	6	6	0.565	1	0:00:00.698147
74	2	2	0.116	1	0:00:00.696398
75	3	3	0.485	1	0:00:00.696577
76	1	1	0.953	1	0:00:00.697863
77	2	2	0.953	1	0:00:00.698650
78	8	8	0.953	1	0:00:00.697479
79	4	4	0.823	1	0:00:00.698815
80	1	1	0.892	1	0:00:00.695811
81	8	8	0.953	1	0:00:00.697317
82	5	5	0.953	1	0:00:00.698566
83	9	9	0.953	1	0:00:00.695133
84	5	5	0.953	1	0:00:00.697270
85	0	0	0.953	1	0:00:00.693657
86	3	3	0.582	1	0:00:00.699156
87	2	2	0.953	1	0:00:00.698003
88	0	0	0.953	1	0:00:00.699536
89	6	2	0.381	0	0:00:00.697647
90	5	5	0.869	1	0:00:00.668671
91	3	3	0.709	1	0:00:00.697577
92	6	6	0.852	1	0:00:00.698194
93	7	7	0.953	1	0:00:00.696005
94	1	1	0.953	1	0:00:00.697416
95	8	8	0.953	1	0:00:00.696772
96	0	0	0.29	1	0:00:00.697212
97	1	1	0.953	1	0:00:00.696333
98	4	4	0.0445	1	0:00:00.698806
99	2	2	0.707	1	0:00:00.698596
100	3	3	0.696	1	0:00:00.697154
101	6	6	0.681	1	0:00:00.696821
102	7	7	0.953	1	0:00:00.697414
103	2	2	0.394	1	0:00:00.696333
104	7	7	0.935	1	0:00:00.697150
105	8	8	0.953	1	0:00:00.698388
106	5	5	0.953	1	0:00:00.697187
107	9	9	0.0874	1	0:00:00.697445
108	9	9	0.953	1	0:00:00.699661
109	4	4	0.935	1	0:00:00.698648
110	2	2	0.858	1	0:00:00.700082
