epoch	time	lr	train loss	train acc	testloss	test acc
0	7.89	0.01	0.859	67.6	0.591	77.8
1	9.98	0.01	0.539	79.9	0.545	80.5
2	9.67	0.01	0.484	82.1	0.495	81.6
3	9.27	0.01	0.441	83.7	0.463	82.9
4	10.6	0.01	0.42	84.5	0.424	84.3
5	7.74	0.01	0.404	85.0	0.437	84.3
6	9.77	0.01	0.389	85.5	0.408	84.8
7	9.68	0.01	0.38	85.8	0.399	85.7
8	9.81	0.01	0.373	86.1	0.413	85.2
9	9.67	0.01	0.367	86.4	0.392	85.7
10	9.72	0.01	0.357	86.6	0.391	85.7
11	9.7	0.01	0.353	86.8	0.384	86.0
12	9.85	0.01	0.346	87.0	0.397	85.5
13	9.72	0.01	0.343	87.2	0.407	85.1
14	9.69	0.01	0.336	87.4	0.371	86.4
15	9.77	0.01	0.335	87.5	0.37	86.6
16	9.64	0.01	0.331	87.6	0.365	86.3
17	9.79	0.01	0.328	87.7	0.36	86.3
18	9.77	0.01	0.325	87.9	0.373	86.5
19	9.81	0.01	0.32	87.9	0.377	86.1
20	9.84	0.01	0.318	88.0	0.375	86.3
21	9.7	0.01	0.315	88.1	0.366	86.8
22	9.74	0.01	0.311	88.4	0.362	86.9
23	9.89	0.01	0.309	88.3	0.349	87.3
24	9.68	0.01	0.306	88.5	0.358	86.7
25	11.8	0.01	0.303	88.5	0.362	87.1
26	7.81	0.01	0.302	88.6	0.358	87.1
27	9.64	0.01	0.3	88.7	0.356	86.7
28	9.81	0.01	0.299	88.7	0.357	86.9
29	9.91	0.01	0.297	88.7	0.348	87.1
30	8.49	0.01	0.293	88.9	0.347	87.3
31	9.78	0.0001	0.273	89.7	0.337	87.9
32	9.79	0.001	0.268	89.9	0.333	87.9
33	9.61	0.001	0.266	89.9	0.335	88.2
34	9.83	0.001	0.265	89.9	0.337	87.8
35	9.72	0.001	0.265	90.0	0.339	87.9
36	9.8	0.001	0.264	89.9	0.333	87.6
37	9.74	0.001	0.264	90.0	0.336	88.3
38	9.79	0.001	0.263	90.0	0.332	88.0
39	9.72	0.001	0.261	90.1	0.329	88.0
40	8.75	0.001	0.261	90.1	0.331	88.1
41	9.71	0.001	0.26	90.1	0.33	88.2
42	8.72	0.001	0.261	90.0	0.326	88.0
43	9.73	0.001	0.26	90.1	0.33	88.2
44	9.89	0.001	0.26	90.1	0.327	87.9
45	9.77	0.001	0.259	90.1	0.336	88.1
46	9.68	0.001	0.259	90.2	0.333	87.8
47	9.81	0.001	0.257	90.2	0.33	88.3
48	10.0	0.001	0.256	90.2	0.32	88.3
49	11.6	0.001	0.257	90.2	0.332	87.9
50	7.82	0.001	0.256	90.2	0.326	88.1
51	11.8	0.001	0.256	90.3	0.328	88.3
52	9.77	0.001	0.254	90.3	0.324	88.3
53	7.95	0.001	0.255	90.2	0.327	88.2
54	9.77	0.001	0.254	90.3	0.328	88.1
55	9.75	0.001	0.253	90.4	0.325	88.1
56	9.61	0.001	0.254	90.3	0.329	88.3
57	9.79	0.001	0.252	90.3	0.324	88.1
58	9.78	0.001	0.253	90.3	0.33	88.1
59	9.79	0.001	0.252	90.3	0.33	88.3
60	9.68	0.001	0.251	90.4	0.327	88.3
61	9.88	1e-05	0.249	90.5	0.326	88.2
62	9.66	0.0001	0.248	90.5	0.322	88.4
63	9.84	0.0001	0.248	90.5	0.324	88.3
64	9.76	0.0001	0.249	90.4	0.327	88.2
65	9.76	0.0001	0.248	90.5	0.325	88.5
66	9.72	0.0001	0.248	90.5	0.325	88.2
67	9.82	0.0001	0.249	90.5	0.322	88.1
68	9.72	0.0001	0.249	90.4	0.325	88.4
69	11.4	0.0001	0.247	90.6	0.32	88.5
70	8.21	0.0001	0.247	90.5	0.328	87.8
71	9.72	0.0001	0.248	90.5	0.328	88.1
72	9.88	0.0001	0.247	90.5	0.324	88.1
73	9.71	0.0001	0.248	90.6	0.325	88.4
74	9.76	0.0001	0.246	90.6	0.328	88.4
75	9.81	0.0001	0.247	90.5	0.328	88.2
76	9.77	0.0001	0.247	90.5	0.325	88.2
77	9.77	0.0001	0.247	90.5	0.325	88.2
78	9.86	0.0001	0.247	90.6	0.325	87.9
79	9.85	0.0001	0.247	90.6	0.326	88.1
80	9.72	0.0001	0.247	90.6	0.322	88.4
81	9.79	0.0001	0.248	90.5	0.325	88.2
82	9.82	0.0001	0.248	90.5	0.324	88.3
83	9.77	0.0001	0.248	90.5	0.324	88.6
84	9.81	0.0001	0.246	90.6	0.326	88.4
85	8.78	0.0001	0.246	90.6	0.324	88.4
86	9.75	0.0001	0.247	90.5	0.327	88.3
87	9.66	0.0001	0.246	90.6	0.327	88.3
88	9.71	0.0001	0.246	90.6	0.324	88.2
89	9.71	0.0001	0.247	90.5	0.327	88.2
