idx	label	predict	radius	correct	time
0	9	9	0.953	1	0:00:00.675221
1	2	2	0.953	1	0:00:00.670111
2	1	1	0.953	1	0:00:00.670039
3	1	1	0.953	1	0:00:00.670702
4	6	6	0.922	1	0:00:00.670690
5	1	1	0.953	1	0:00:00.670656
6	4	4	0.259	1	0:00:00.671425
7	6	6	0.953	1	0:00:00.672418
8	5	5	0.953	1	0:00:00.669956
9	7	7	0.953	1	0:00:00.670000
10	4	4	0.664	1	0:00:00.670077
11	5	5	0.953	1	0:00:00.674119
12	7	5	0.792	0	0:00:00.674671
13	3	3	0.953	1	0:00:00.672331
14	4	4	0.798	1	0:00:00.672363
15	1	1	0.953	1	0:00:00.671754
16	2	2	0.953	1	0:00:00.670228
17	4	2	0.0107	0	0:00:00.670629
18	8	8	0.953	1	0:00:00.670528
19	0	0	0.953	1	0:00:00.670003
20	2	2	0.953	1	0:00:00.670280
21	5	7	0.858	0	0:00:00.672280
22	7	7	0.953	1	0:00:00.670754
23	9	5	0.953	0	0:00:00.671339
24	1	1	0.953	1	0:00:00.670860
25	4	2	0.738	0	0:00:00.670465
26	6	4	0.413	0	0:00:00.670586
27	0	0	0.953	1	0:00:00.670226
28	9	9	0.953	1	0:00:00.675600
29	3	3	0.0395	1	0:00:00.673167
30	8	8	0.953	1	0:00:00.671654
31	8	8	0.953	1	0:00:00.671320
32	3	3	0.953	1	0:00:00.672330
33	3	3	0.953	1	0:00:00.671417
34	8	8	0.953	1	0:00:00.671339
35	0	0	0.953	1	0:00:00.671500
36	7	7	0.953	1	0:00:00.676974
37	5	5	0.953	1	0:00:00.674367
38	7	7	0.953	1	0:00:00.674723
39	9	9	0.953	1	0:00:00.674604
40	6	0	0.953	0	0:00:00.674867
41	1	1	0.953	1	0:00:00.674693
42	3	6	0.769	0	0:00:00.677702
43	7	9	0.935	0	0:00:00.676074
44	6	4	0.458	0	0:00:00.675542
45	7	7	0.00704	1	0:00:00.675052
46	2	2	0.953	1	0:00:00.675161
47	1	1	0.953	1	0:00:00.674779
48	2	2	0.739	1	0:00:00.675153
49	2	2	0.316	1	0:00:00.674528
50	4	4	0.23	1	0:00:00.676953
51	4	2	0.953	0	0:00:00.674850
52	5	5	0.953	1	0:00:00.675253
53	8	8	0.953	1	0:00:00.675177
54	2	2	0.892	1	0:00:00.674721
55	2	2	0.953	1	0:00:00.674547
56	8	8	0.953	1	0:00:00.677902
57	4	4	0.478	1	0:00:00.678069
58	8	8	0.953	1	0:00:00.675536
59	0	0	0.953	1	0:00:00.674676
60	7	7	0.953	1	0:00:00.675096
61	7	7	0.953	1	0:00:00.674723
62	8	8	0.953	1	0:00:00.674680
63	5	5	0.953	1	0:00:00.674753
64	1	1	0.953	1	0:00:00.677006
65	1	1	0.953	1	0:00:00.675300
66	2	3	0.344	0	0:00:00.675387
67	3	4	0.0697	0	0:00:00.675436
68	9	7	0.935	0	0:00:00.675496
69	8	8	0.953	1	0:00:00.675350
70	7	7	0.953	1	0:00:00.676337
71	0	0	0.953	1	0:00:00.676860
72	2	2	0.953	1	0:00:00.675157
73	6	6	0.953	1	0:00:00.675429
74	2	4	0.922	0	0:00:00.675348
75	3	3	0.839	1	0:00:00.674797
76	1	1	0.953	1	0:00:00.674618
77	2	2	0.953	1	0:00:00.675442
78	8	8	0.953	1	0:00:00.676392
79	4	4	0.953	1	0:00:00.674672
80	1	1	0.953	1	0:00:00.674822
81	8	8	0.953	1	0:00:00.675233
82	5	5	0.953	1	0:00:00.675146
83	9	9	0.953	1	0:00:00.675295
84	5	5	0.953	1	0:00:00.675437
85	0	0	0.953	1	0:00:00.680126
86	3	3	0.953	1	0:00:00.677412
87	2	2	0.953	1	0:00:00.669672
88	0	0	0.953	1	0:00:00.670182
89	6	2	0.953	0	0:00:00.669641
90	5	5	0.953	1	0:00:00.669734
91	3	3	0.953	1	0:00:00.669632
92	6	6	0.953	1	0:00:00.670179
93	7	7	0.953	1	0:00:00.675924
94	1	1	0.953	1	0:00:00.675102
95	8	8	0.953	1	0:00:00.675018
96	0	0	0.953	1	0:00:00.674689
97	1	1	0.953	1	0:00:00.674748
98	4	4	0.0529	1	0:00:00.674728
99	2	2	0.953	1	0:00:00.677132
100	3	3	0.953	1	0:00:00.674686
101	6	6	0.849	1	0:00:00.674765
102	7	7	0.953	1	0:00:00.674566
103	2	2	0.626	1	0:00:00.674895
104	7	7	0.953	1	0:00:00.674931
105	8	8	0.953	1	0:00:00.674926
106	5	5	0.953	1	0:00:00.674960
107	9	9	0.905	1	0:00:00.676754
108	9	9	0.953	1	0:00:00.674708
109	4	4	0.953	1	0:00:00.674817
110	2	2	0.953	1	0:00:00.674936
111	5	5	0.953	1	0:00:00.675025
112	7	7	0.953	1	0:00:00.675118
113	0	0	0.953	1	0:00:00.677684
114	5	5	0.953	1	0:00:00.677141
115	2	2	0.953	1	0:00:00.671024
116	8	8	0.953	1	0:00:00.670200
117	6	6	0.842	1	0:00:00.670121
118	7	7	0.953	1	0:00:00.670305
119	8	8	0.953	1	0:00:00.670414
120	0	0	0.402	1	0:00:00.670300
121	0	0	0.953	1	0:00:00.673225
122	9	9	0.659	1	0:00:00.670824
123	9	9	0.953	1	0:00:00.670348
124	3	3	0.953	1	0:00:00.670329
125	0	0	0.953	1	0:00:00.670165
126	8	8	0.953	1	0:00:00.670375
127	4	4	0.953	1	0:00:00.671460
128	1	1	0.953	1	0:00:00.671717
129	5	5	0.953	1	0:00:00.670458
130	4	4	0.953	1	0:00:00.670544
131	1	1	0.953	1	0:00:00.670618
132	9	9	0.953	1	0:00:00.670275
133	1	1	0.953	1	0:00:00.670658
134	8	8	0.953	1	0:00:00.670102
135	6	6	0.178	1	0:00:00.672150
136	2	6	0.0528	0	0:00:00.670979
137	1	1	0.953	1	0:00:00.670603
138	2	2	0.922	1	0:00:00.670436
139	5	5	0.953	1	0:00:00.671460
140	1	1	0.953	1	0:00:00.671173
141	0	0	0.384	1	0:00:00.670119
142	0	0	0.953	1	0:00:00.674023
143	0	0	0.953	1	0:00:00.670895
144	1	1	0.953	1	0:00:00.670229
145	6	6	0.953	1	0:00:00.670157
146	1	1	0.953	1	0:00:00.670445
147	6	3	0.953	0	0:00:00.670743
148	2	2	0.953	1	0:00:00.670357
149	2	2	0.331	1	0:00:00.670706
150	4	3	0.34	0	0:00:00.672146
151	4	6	0.0664	0	0:00:00.670391
152	1	1	0.953	1	0:00:00.670217
153	4	3	0.421	0	0:00:00.670675
154	5	5	0.953	1	0:00:00.670350
155	0	6	0.201	0	0:00:00.670646
156	4	4	0.953	1	0:00:00.672798
157	7	7	0.953	1	0:00:00.671201
158	9	9	0.953	1	0:00:00.670999
159	3	3	0.953	1	0:00:00.670521
160	7	7	0.953	1	0:00:00.670491
161	2	2	0.953	1	0:00:00.671110
162	3	3	0.953	1	0:00:00.670194
163	9	9	0.628	1	0:00:00.670657
164	0	0	0.953	1	0:00:00.672301
165	9	9	0.953	1	0:00:00.670283
166	4	4	0.935	1	0:00:00.670079
167	7	7	0.631	1	0:00:00.670563
168	4	4	0.953	1	0:00:00.670172
169	2	2	0.953	1	0:00:00.670377
170	0	0	0.953	1	0:00:00.673360
171	5	5	0.953	1	0:00:00.675506
172	2	2	0.334	1	0:00:00.675706
173	1	1	0.953	1	0:00:00.676363
174	2	2	0.953	1	0:00:00.676692
175	1	1	0.953	1	0:00:00.676697
176	3	3	0.953	1	0:00:00.676786
177	0	0	0.953	1	0:00:00.676449
178	9	9	0.953	1	0:00:00.678174
179	1	1	0.953	1	0:00:00.676462
180	0	0	0.953	1	0:00:00.676542
181	9	9	0.953	1	0:00:00.676642
182	3	3	0.953	1	0:00:00.676576
183	6	6	0.953	1	0:00:00.676809
184	7	7	0.953	1	0:00:00.677213
185	9	9	0.953	1	0:00:00.680260
186	9	9	0.953	1	0:00:00.677868
187	4	4	0.953	1	0:00:00.672720
188	4	4	0.953	1	0:00:00.673076
189	7	7	0.953	1	0:00:00.673172
190	1	1	0.953	1	0:00:00.673203
191	2	2	0.805	1	0:00:00.673070
192	1	1	0.215	1	0:00:00.674611
193	6	2	0.696	0	0:00:00.677726
194	3	3	0.953	1	0:00:00.676583
195	2	2	0.755	1	0:00:00.676899
196	8	8	0.953	1	0:00:00.676204
197	3	3	0.922	1	0:00:00.676495
198	6	6	0.534	1	0:00:00.676344
199	1	1	0.953	1	0:00:00.680278
200	1	1	0.953	1	0:00:00.676259
201	0	0	0.953	1	0:00:00.676881
202	2	2	0.953	1	0:00:00.675423
203	9	9	0.953	1	0:00:00.677441
204	2	2	0.953	1	0:00:00.676625
205	4	4	0.953	1	0:00:00.676677
206	0	0	0.953	1	0:00:00.677021
207	7	7	0.953	1	0:00:00.678470
208	9	9	0.953	1	0:00:00.677076
209	8	8	0.953	1	0:00:00.676745
210	4	4	0.953	1	0:00:00.676504
211	1	1	0.953	1	0:00:00.677039
212	8	8	0.953	1	0:00:00.676366
213	4	4	0.953	1	0:00:00.676923
214	1	1	0.953	1	0:00:00.674339
215	3	3	0.953	1	0:00:00.673060
216	1	1	0.953	1	0:00:00.671381
217	6	6	0.189	1	0:00:00.671446
218	7	7	0.953	1	0:00:00.671338
219	2	4	0.651	0	0:00:00.671393
220	8	8	0.953	1	0:00:00.671822
221	5	5	0.953	1	0:00:00.674841
222	2	2	0.365	1	0:00:00.674962
223	0	0	0.953	1	0:00:00.675047
224	7	7	0.953	1	0:00:00.674882
225	7	7	0.953	1	0:00:00.674999
226	6	0	0.922	0	0:00:00.674754
227	2	6	0.935	0	0:00:00.676814
228	7	7	0.953	1	0:00:00.675362
229	0	0	0.953	1	0:00:00.675305
