idx	label	predict	radius	correct	time
0	9	9	0.913	1	0:00:00.678446
1	2	2	0.953	1	0:00:00.697231
2	1	1	0.953	1	0:00:00.697224
3	1	1	0.953	1	0:00:00.695904
4	6	6	0.408	1	0:00:00.696285
5	1	1	0.953	1	0:00:00.695002
6	4	4	0.678	1	0:00:00.696524
7	6	6	0.953	1	0:00:00.695820
8	5	5	0.953	1	0:00:00.696007
9	7	7	0.953	1	0:00:00.695671
10	4	4	0.873	1	0:00:00.695883
11	5	5	0.953	1	0:00:00.694787
12	7	5	0.604	0	0:00:00.699395
13	3	3	0.953	1	0:00:00.697175
14	4	4	0.905	1	0:00:00.697056
15	1	1	0.953	1	0:00:00.694891
16	2	2	0.953	1	0:00:00.696541
17	4	6	0.0371	0	0:00:00.694953
18	8	8	0.953	1	0:00:00.696090
19	0	0	0.953	1	0:00:00.694741
20	2	2	0.953	1	0:00:00.696000
21	5	7	0.147	0	0:00:00.695892
22	7	7	0.953	1	0:00:00.696555
23	9	5	0.935	0	0:00:00.695557
24	1	1	0.953	1	0:00:00.695946
25	4	2	0.556	0	0:00:00.694905
26	6	6	0.44	1	0:00:00.696137
27	0	0	0.793	1	0:00:00.697416
28	9	9	0.953	1	0:00:00.701451
29	3	-1	0.0	0	0:00:00.702908
30	8	8	0.953	1	0:00:00.697092
31	8	8	0.953	1	0:00:00.696065
32	3	3	0.827	1	0:00:00.697693
33	3	3	0.953	1	0:00:00.696632
34	8	8	0.953	1	0:00:00.618714
35	0	0	0.746	1	0:00:00.670816
36	7	7	0.953	1	0:00:00.694040
37	5	5	0.935	1	0:00:00.694070
38	7	7	0.953	1	0:00:00.694202
39	9	9	0.953	1	0:00:00.695596
40	6	0	0.935	0	0:00:00.695549
41	1	1	0.953	1	0:00:00.697811
42	3	6	0.862	0	0:00:00.705848
43	7	9	0.582	0	0:00:00.695665
44	6	6	0.218	1	0:00:00.696132
45	7	7	0.143	1	0:00:00.695045
46	2	2	0.953	1	0:00:00.695209
47	1	1	0.953	1	0:00:00.693448
48	2	2	0.0204	1	0:00:00.698744
49	2	6	0.238	0	0:00:00.696094
50	4	4	0.524	1	0:00:00.695292
51	4	2	0.374	0	0:00:00.695946
52	5	5	0.953	1	0:00:00.695517
53	8	8	0.953	1	0:00:00.695335
54	2	2	0.811	1	0:00:00.695153
55	2	2	0.953	1	0:00:00.694448
56	8	8	0.953	1	0:00:00.693295
57	4	4	0.181	1	0:00:00.695060
58	8	8	0.953	1	0:00:00.695841
59	0	0	0.953	1	0:00:00.696197
60	7	7	0.953	1	0:00:00.695571
