idx	label	predict	radius	correct	time
0	9	9	0.554	1	0:00:00.707127
1	2	2	0.953	1	0:00:00.715921
2	1	1	0.953	1	0:00:00.711317
3	1	1	0.953	1	0:00:00.694546
4	6	6	0.392	1	0:00:00.698193
5	1	1	0.953	1	0:00:00.715501
6	4	4	0.698	1	0:00:00.716695
7	6	6	0.898	1	0:00:00.735527
8	5	5	0.658	1	0:00:00.738205
9	7	7	0.953	1	0:00:00.729461
10	4	4	0.737	1	0:00:00.741134
11	5	5	0.953	1	0:00:00.739815
12	7	5	0.209	0	0:00:00.730766
13	3	3	0.953	1	0:00:00.751389
14	4	4	0.712	1	0:00:00.740718
15	1	1	0.953	1	0:00:00.736654
16	2	2	0.898	1	0:00:00.736015
17	4	-1	0.0	0	0:00:00.740072
18	8	8	0.953	1	0:00:00.738341
19	0	0	0.922	1	0:00:00.738968
20	2	2	0.953	1	0:00:00.736868
21	5	-1	0.0	0	0:00:00.735486
22	7	7	0.953	1	0:00:00.739954
23	9	5	0.775	0	0:00:00.732268
24	1	1	0.953	1	0:00:00.622316
25	4	2	0.317	0	0:00:00.392183
26	6	6	0.298	1	0:00:00.377927
27	0	0	0.77	1	0:00:00.432215
28	9	9	0.703	1	0:00:00.402182
29	3	3	0.0863	1	0:00:00.397892
30	8	8	0.953	1	0:00:00.371159
31	8	8	0.953	1	0:00:00.369017
32	3	3	0.477	1	0:00:00.371206
33	3	3	0.953	1	0:00:00.379090
34	8	8	0.953	1	0:00:00.707173
35	0	0	0.541	1	0:00:00.737371
36	7	7	0.953	1	0:00:00.738653
37	5	5	0.691	1	0:00:00.726517
38	7	7	0.953	1	0:00:00.735661
39	9	9	0.953	1	0:00:00.734318
40	6	0	0.439	0	0:00:00.732010
41	1	1	0.953	1	0:00:00.734858
42	3	6	0.577	0	0:00:00.736851
43	7	9	0.337	0	0:00:00.740423
44	6	6	0.271	1	0:00:00.732761
45	7	7	0.189	1	0:00:00.734928
46	2	2	0.74	1	0:00:00.737069
47	1	1	0.953	1	0:00:00.733632
48	2	-1	0.0	0	0:00:00.730962
49	2	6	0.435	0	0:00:00.729965
50	4	4	0.535	1	0:00:00.732918
51	4	2	0.145	0	0:00:00.734648
52	5	5	0.707	1	0:00:00.727938
53	8	8	0.953	1	0:00:00.734096
54	2	2	0.607	1	0:00:00.731194
55	2	2	0.844	1	0:00:00.735321
56	8	8	0.953	1	0:00:00.736902
57	4	-1	0.0	0	0:00:00.738974
58	8	8	0.953	1	0:00:00.745657
59	0	0	0.852	1	0:00:00.742304
60	7	7	0.935	1	0:00:00.731049
61	7	7	0.659	1	0:00:00.733997
62	8	8	0.953	1	0:00:00.730611
