idx	label	predict	radius	correct	time
0	9	9	0.852	1	0:00:01.016294
1	2	2	1.91	1	0:00:00.996064
2	1	1	1.91	1	0:00:01.003777
3	1	1	1.91	1	0:00:01.027421
4	6	6	0.935	1	0:00:01.015646
5	1	1	1.91	1	0:00:01.009961
6	4	-1	0.0	0	0:00:01.010547
7	6	6	1.09	1	0:00:01.002142
8	5	5	1.2	1	0:00:00.997828
9	7	7	1.91	1	0:00:01.005591
10	4	4	0.611	1	0:00:01.026097
11	5	5	1.21	1	0:00:01.015967
12	7	5	0.304	0	0:00:01.028746
13	3	3	1.91	1	0:00:01.010761
14	4	4	0.734	1	0:00:00.998401
15	1	1	1.37	1	0:00:01.003974
16	2	2	1.41	1	0:00:00.996962
17	4	2	0.188	0	0:00:01.004578
18	8	8	1.91	1	0:00:01.021221
19	0	0	1.81	1	0:00:01.027939
20	2	2	1.6	1	0:00:01.008676
21	5	7	0.717	0	0:00:01.013214
22	7	7	1.91	1	0:00:01.009818
23	9	5	0.859	0	0:00:00.996292
24	1	1	1.87	1	0:00:00.777317
25	4	2	0.459	0	0:00:00.939215
26	6	-1	0.0	0	0:00:01.008100
27	0	0	1.13	1	0:00:01.031946
28	9	9	1.47	1	0:00:01.005452
29	3	-1	0.0	0	0:00:01.018919
30	8	8	1.91	1	0:00:01.024321
31	8	8	1.87	1	0:00:01.008925
32	3	3	1.29	1	0:00:01.013993
33	3	3	1.72	1	0:00:01.007417
34	8	8	1.91	1	0:00:01.014661
35	0	0	0.907	1	0:00:01.034925
36	7	7	1.87	1	0:00:01.028203
37	5	5	1.29	1	0:00:01.019194
38	7	7	1.91	1	0:00:01.032240
39	9	9	1.91	1	0:00:00.995723
40	6	0	1.91	0	0:00:01.007738
41	1	1	1.91	1	0:00:01.028618
42	3	6	0.819	0	0:00:01.041126
43	7	9	0.927	0	0:00:01.035481
44	6	4	0.255	0	0:00:01.023330
45	7	-1	0.0	0	0:00:01.030738
46	2	2	1.23	1	0:00:01.032215
47	1	1	1.31	1	0:00:01.013607
48	2	2	0.372	1	0:00:01.004578
49	2	6	0.218	0	0:00:01.012852
50	4	4	0.0175	1	0:00:00.997329
51	4	2	0.846	0	0:00:00.999051
52	5	5	1.21	1	0:00:00.993194
53	8	8	1.91	1	0:00:01.004273
54	2	2	0.648	1	0:00:00.998954
55	2	2	1.91	1	0:00:01.008204
56	8	8	1.91	1	0:00:01.010135
57	4	4	0.222	1	0:00:01.037106
58	8	8	1.91	1	0:00:01.007598
59	0	0	1.18	1	0:00:01.013567
60	7	7	1.83	1	0:00:00.988865
61	7	7	1.36	1	0:00:01.003083
62	8	8	1.91	1	0:00:01.014831
63	5	5	1.4	1	0:00:01.031754
64	1	1	1.91	1	0:00:01.033665
65	1	1	1.41	1	0:00:01.039653
66	2	3	0.219	0	0:00:01.014207
67	3	-1	0.0	0	0:00:01.004285
68	9	7	0.999	0	0:00:01.005938
69	8	8	1.91	1	0:00:01.009565
70	7	7	1.12	1	0:00:00.993348
71	0	0	0.893	1	0:00:01.011512
72	2	2	1.83	1	0:00:01.024657
73	6	6	1.1	1	0:00:01.030067
74	2	4	0.182	0	0:00:01.011014
75	3	3	0.96	1	0:00:01.022566
76	1	1	1.91	1	0:00:01.005722
77	2	2	1.78	1	0:00:01.014225
78	8	8	1.91	1	0:00:01.009095
79	4	4	1.35	1	0:00:01.003901
80	1	1	1.13	1	0:00:01.000441
81	8	8	1.91	1	0:00:00.998149
82	5	5	1.91	1	0:00:01.013609
83	9	9	1.91	1	0:00:01.026211
84	5	5	1.58	1	0:00:01.008032
85	0	0	1.91	1	0:00:01.006305
86	3	3	1.53	1	0:00:01.024696
87	2	2	0.693	1	0:00:01.014983
88	0	0	1.91	1	0:00:00.990102
89	6	2	1.23	0	0:00:01.010708
90	5	5	1.87	1	0:00:01.009603
91	3	3	1.22	1	0:00:01.026316
92	6	6	1.21	1	0:00:01.010374
93	7	7	1.91	1	0:00:01.018496
94	1	1	1.91	1	0:00:01.031137
95	8	8	1.91	1	0:00:01.018029
96	0	0	0.816	1	0:00:00.817209
97	1	1	1.23	1	0:00:00.861230
98	4	-1	0.0	0	0:00:01.005511
99	2	2	1.44	1	0:00:01.002710
100	3	3	1.32	1	0:00:01.008667
101	6	6	0.776	1	0:00:01.018134
102	7	7	1.72	1	0:00:01.005345
103	2	2	0.438	1	0:00:01.005392
104	7	7	1.91	1	0:00:01.012034
105	8	8	1.81	1	0:00:01.022462
106	5	5	1.62	1	0:00:01.002167
107	9	9	0.766	1	0:00:01.013079
108	9	9	1.64	1	0:00:01.004963
109	4	4	1.65	1	0:00:01.007492
110	2	2	0.967	1	0:00:01.014025
111	5	5	1.78	1	0:00:01.004651
112	7	7	1.91	1	0:00:01.020394
113	0	0	1.87	1	0:00:00.990606
114	5	5	1.91	1	0:00:01.014258
115	2	2	1.8	1	0:00:01.003745
116	8	8	1.91	1	0:00:01.006742
117	6	6	1.03	1	0:00:01.006386
118	7	7	1.91	1	0:00:00.996570
119	8	8	1.87	1	0:00:01.016956
120	0	0	0.199	1	0:00:01.015124
121	0	0	1.91	1	0:00:01.001306
122	9	9	0.42	1	0:00:01.004511
123	9	9	1.91	1	0:00:01.005474
