idx	label	predict	radius	correct	time
0	9	9	0.579	1	0:00:00.369141
1	2	2	1.91	1	0:00:00.351755
2	1	1	1.91	1	0:00:00.350962
3	1	1	1.91	1	0:00:00.349695
4	6	6	0.749	1	0:00:00.351148
5	1	1	1.91	1	0:00:00.350092
6	4	4	0.135	1	0:00:00.352685
7	6	6	1.09	1	0:00:00.353678
8	5	5	1.02	1	0:00:00.351208
9	7	7	1.78	1	0:00:00.349892
10	4	4	0.392	1	0:00:00.350630
11	5	5	1.07	1	0:00:00.349070
12	7	5	0.218	0	0:00:00.355822
13	3	3	1.91	1	0:00:00.356523
14	4	4	0.764	1	0:00:00.358317
15	1	1	1.29	1	0:00:00.358588
16	2	2	1.34	1	0:00:00.360865
17	4	2	0.1	0	0:00:00.358892
18	8	8	1.91	1	0:00:00.358990
19	0	0	1.91	1	0:00:00.357897
20	2	2	1.53	1	0:00:00.358470
21	5	7	0.92	0	0:00:00.357451
22	7	7	1.84	1	0:00:00.360025
23	9	5	0.769	0	0:00:00.359105
24	1	1	1.87	1	0:00:00.361849
25	4	2	0.606	0	0:00:00.361775
26	6	4	0.24	0	0:00:00.361783
27	0	0	1.26	1	0:00:00.361410
28	9	9	1.36	1	0:00:00.363951
29	3	4	0.296	0	0:00:00.364685
30	8	8	1.91	1	0:00:00.364700
31	8	8	1.84	1	0:00:00.362688
32	3	3	1.15	1	0:00:00.365231
33	3	3	1.57	1	0:00:00.363710
34	8	8	1.91	1	0:00:00.364512
35	0	0	1.21	1	0:00:00.361663
36	7	7	1.84	1	0:00:00.360660
37	5	5	1.29	1	0:00:00.357196
38	7	7	1.91	1	0:00:00.358830
39	9	9	1.91	1	0:00:00.364409
40	6	0	1.91	0	0:00:00.368644
41	1	1	1.91	1	0:00:00.367553
42	3	0	0.787	0	0:00:00.365721
43	7	9	0.789	0	0:00:00.363469
44	6	4	0.519	0	0:00:00.365838
45	7	-1	0.0	0	0:00:00.370904
46	2	2	1.12	1	0:00:00.364850
47	1	1	1.39	1	0:00:00.364805
48	2	2	0.237	1	0:00:00.365992
49	2	2	0.0606	1	0:00:00.363827
50	4	4	0.195	1	0:00:00.365731
51	4	2	0.874	0	0:00:00.362910
52	5	5	1.12	1	0:00:00.364226
53	8	8	1.91	1	0:00:00.361671
54	2	4	0.274	0	0:00:00.363475
55	2	2	1.76	1	0:00:00.363403
56	8	8	1.91	1	0:00:00.364628
57	4	4	0.417	1	0:00:00.362884
58	8	8	1.91	1	0:00:00.364352
59	0	0	1.41	1	0:00:00.362833
60	7	7	1.83	1	0:00:00.363003
61	7	7	1.28	1	0:00:00.362520
62	8	8	1.91	1	0:00:00.362703
63	5	5	1.42	1	0:00:00.364204
64	1	1	1.91	1	0:00:00.362403
65	1	1	1.46	1	0:00:00.366508
66	2	3	0.0765	0	0:00:00.364799
67	3	3	0.182	1	0:00:00.364094
68	9	7	0.855	0	0:00:00.364123
69	8	8	1.91	1	0:00:00.363971
70	7	7	1.08	1	0:00:00.364214
71	0	0	1.08	1	0:00:00.364210
72	2	2	1.02	1	0:00:00.364607
73	6	0	0.747	0	0:00:00.364566
74	2	4	1.18	0	0:00:00.364430
75	3	3	0.81	1	0:00:00.363975
76	1	1	1.91	1	0:00:00.364438
77	2	2	1.8	1	0:00:00.364182
78	8	8	1.77	1	0:00:00.364089
79	4	4	1.3	1	0:00:00.365376
80	1	1	1.3	1	0:00:00.365661
81	8	8	1.91	1	0:00:00.362424
82	5	5	1.91	1	0:00:00.364340
83	9	9	1.91	1	0:00:00.362523
84	5	5	1.62	1	0:00:00.364160
85	0	0	1.91	1	0:00:00.362740
86	3	3	1.51	1	0:00:00.364359
87	2	2	0.301	1	0:00:00.363375
88	0	0	1.87	1	0:00:00.364267
89	6	2	1.34	0	0:00:00.362915
90	5	5	1.83	1	0:00:00.364262
91	3	3	0.823	1	0:00:00.364203
92	6	6	1.25	1	0:00:00.366200
93	7	7	1.83	1	0:00:00.362525
94	1	1	1.87	1	0:00:00.364848
95	8	8	1.81	1	0:00:00.362160
96	0	0	0.925	1	0:00:00.363873
97	1	1	1.23	1	0:00:00.362493
98	4	2	0.0858	0	0:00:00.364116
99	2	2	1.42	1	0:00:00.362199
100	3	3	1.34	1	0:00:00.363681
101	6	6	0.622	1	0:00:00.361935
102	7	7	1.69	1	0:00:00.363744
103	2	2	0.439	1	0:00:00.362221
104	7	7	1.75	1	0:00:00.364581
105	8	8	1.87	1	0:00:00.361565
106	5	5	1.39	1	0:00:00.364105
107	9	9	0.485	1	0:00:00.362901
108	9	9	1.73	1	0:00:00.365878
109	4	4	1.62	1	0:00:00.364718
110	2	2	1.08	1	0:00:00.365805
111	5	5	1.78	1	0:00:00.363783
112	7	7	1.91	1	0:00:00.364836
113	0	0	1.84	1	0:00:00.363829
114	5	5	1.91	1	0:00:00.364951
115	2	2	1.83	1	0:00:00.363583
116	8	8	1.91	1	0:00:00.366243
117	6	6	0.733	1	0:00:00.363939
118	7	7	1.83	1	0:00:00.367004
119	8	8	1.87	1	0:00:00.364969
120	0	0	0.236	1	0:00:00.365791
121	0	0	1.91	1	0:00:00.363598
122	9	9	0.429	1	0:00:00.365098
123	9	9	1.78	1	0:00:00.363732
124	3	3	1.28	1	0:00:00.365686
125	0	0	1.91	1	0:00:00.364596
126	8	8	1.65	1	0:00:00.365597
127	4	4	1.06	1	0:00:00.364117
128	1	1	1.75	1	0:00:00.365465
129	5	5	1.35	1	0:00:00.364147
130	4	4	1.8	1	0:00:00.367477
131	1	1	1.91	1	0:00:00.363828
132	9	9	1.53	1	0:00:00.365503
133	1	1	1.87	1	0:00:00.364076
134	8	8	1.91	1	0:00:00.365506
135	6	6	0.422	1	0:00:00.364451
136	2	-1	0.0	0	0:00:00.365531
137	1	1	1.91	1	0:00:00.365612
138	2	2	0.367	1	0:00:00.364358
139	5	5	0.847	1	0:00:00.365386
140	1	1	1.91	1	0:00:00.364725
141	0	0	0.779	1	0:00:00.365918
142	0	0	1.44	1	0:00:00.364247
143	0	0	1.91	1	0:00:00.366008
144	1	1	1.87	1	0:00:00.364143
145	6	6	1.6	1	0:00:00.367506
146	1	1	1.55	1	0:00:00.364830
147	6	3	1.06	0	0:00:00.366128
148	2	2	1.72	1	0:00:00.364555
149	2	2	0.277	1	0:00:00.366220
150	4	3	0.144	0	0:00:00.364773
151	4	6	0.148	0	0:00:00.365775
152	1	1	1.51	1	0:00:00.364806
153	4	3	0.321	0	0:00:00.366224
154	5	5	1.55	1	0:00:00.364504
155	0	6	0.145	0	0:00:00.366594
156	4	4	1.16	1	0:00:00.364225
157	7	7	1.14	1	0:00:00.366572
158	9	9	1.91	1	0:00:00.362428
159	3	3	1.91	1	0:00:00.363769
160	7	7	1.39	1	0:00:00.363968
161	2	2	1.5	1	0:00:00.369841
162	3	3	1.68	1	0:00:00.367430
163	9	9	0.432	1	0:00:00.368801
164	0	0	1.2	1	0:00:00.368593
165	9	9	1.91	1	0:00:00.368315
166	4	4	1.06	1	0:00:00.364050
167	7	7	0.685	1	0:00:00.365408
168	4	4	1.57	1	0:00:00.363770
169	2	2	1.44	1	0:00:00.365464
170	0	0	1.32	1	0:00:00.364576
171	5	5	1.35	1	0:00:00.367175
172	2	4	0.271	0	0:00:00.364529
173	1	1	1.91	1	0:00:00.365607
174	2	2	1.76	1	0:00:00.364545
175	1	1	1.52	1	0:00:00.365699
176	3	3	1.41	1	0:00:00.363801
177	0	0	1.91	1	0:00:00.366058
178	9	9	1.91	1	0:00:00.363788
179	1	1	1.87	1	0:00:00.365686
180	0	0	1.87	1	0:00:00.364262
181	9	9	1.38	1	0:00:00.365668
182	3	3	1.09	1	0:00:00.364202
183	6	0	0.646	0	0:00:00.369234
184	7	7	1.91	1	0:00:00.367199
185	9	9	1.87	1	0:00:00.367481
186	9	9	1.65	1	0:00:00.365241
187	4	4	1.78	1	0:00:00.364980
188	4	4	1.26	1	0:00:00.363711
189	7	7	1.78	1	0:00:00.364809
190	1	1	1.08	1	0:00:00.365424
191	2	2	0.699	1	0:00:00.365324
192	1	-1	0.0	0	0:00:00.363565
193	6	2	0.834	0	0:00:00.364522
194	3	3	1.8	1	0:00:00.363635
195	2	2	0.695	1	0:00:00.364954
196	8	8	1.91	1	0:00:00.363556
197	3	3	0.863	1	0:00:00.365352
198	6	6	0.00546	1	0:00:00.365410
199	1	1	1.91	1	0:00:00.365683
200	1	1	1.67	1	0:00:00.364855
201	0	0	1.56	1	0:00:00.366605
202	2	2	1.04	1	0:00:00.364196
203	9	9	1.83	1	0:00:00.365637
204	2	2	1.29	1	0:00:00.364108
205	4	4	1.4	1	0:00:00.365612
206	0	0	1.04	1	0:00:00.364370
207	7	7	1.68	1	0:00:00.366273
208	9	9	1.87	1	0:00:00.364390
209	8	8	1.75	1	0:00:00.366497
210	4	4	1.78	1	0:00:00.366427
211	1	1	1.91	1	0:00:00.365483
212	8	8	1.63	1	0:00:00.361777
213	4	4	1.15	1	0:00:00.362963
214	1	1	1.87	1	0:00:00.361871
215	3	3	1.29	1	0:00:00.363691
216	1	1	1.01	1	0:00:00.364264
217	6	6	0.262	1	0:00:00.364518
