epoch	time	lr	train loss	train acc	testloss	test acc
0	72.3	0.01	0.813	68.7	0.625	76.2
1	69.7	0.01	0.633	75.0	0.555	78.7
2	71.0	0.01	0.627	75.2	0.516	80.6
3	71.8	0.01	0.638	74.4	0.535	78.6
4	72.9	0.01	0.661	73.1	0.516	80.3
5	69.4	0.01	0.684	72.0	0.507	81.3
6	71.7	0.01	0.711	70.7	0.519	81.0
7	70.8	0.01	0.741	69.2	0.526	80.4
8	70.7	0.01	0.77	67.9	0.548	80.0
9	71.4	0.01	0.799	66.4	0.557	77.3
10	74.1	0.01	0.793	66.6	0.55	79.9
11	70.6	0.01	0.788	66.7	0.531	80.7
12	71.7	0.01	0.784	67.0	0.533	80.4
13	72.7	0.01	0.782	66.9	0.526	80.5
14	73.7	0.01	0.778	67.2	0.526	80.4
15	68.9	0.01	0.775	67.3	0.527	80.9
16	71.5	0.01	0.772	67.3	0.528	80.2
17	74.9	0.01	0.77	67.4	0.529	80.5
18	71.8	0.01	0.768	67.5	0.527	79.0
19	68.5	0.01	0.766	67.6	0.518	80.9
20	71.5	0.01	0.764	67.6	0.517	81.1
21	72.2	0.01	0.762	67.7	0.522	81.0
22	74.7	0.01	0.76	67.9	0.519	80.2
23	69.9	0.01	0.76	67.8	0.523	81.2
24	72.2	0.01	0.758	67.8	0.524	81.6
25	69.8	0.01	0.756	67.9	0.506	80.8
26	50.6	0.01	0.753	68.0	0.512	81.4
27	71.7	0.01	0.753	68.1	0.514	79.9
28	78.3	0.01	0.751	68.1	0.508	82.4
29	77.4	0.01	0.752	68.1	0.522	81.8
30	79.7	0.01	0.749	68.2	0.507	81.8
31	80.3	0.0001	0.729	69.1	0.494	82.7
32	74.9	0.001	0.724	69.2	0.489	82.4
33	79.9	0.001	0.723	69.2	0.488	82.7
34	76.6	0.001	0.724	69.2	0.49	82.4
35	77.2	0.001	0.723	69.2	0.484	82.2
36	76.0	0.001	0.723	69.2	0.493	81.9
37	76.7	0.001	0.722	69.3	0.49	82.8
38	77.2	0.001	0.721	69.3	0.488	82.4
39	72.4	0.001	0.721	69.4	0.488	82.1
40	62.6	0.001	0.721	69.3	0.488	81.9
41	65.7	0.001	0.721	69.3	0.485	82.3
42	73.9	0.001	0.719	69.3	0.486	82.3
43	69.4	0.001	0.72	69.3	0.488	82.3
44	67.1	0.001	0.72	69.4	0.486	82.4
45	67.4	0.001	0.719	69.4	0.487	82.2
46	63.1	0.001	0.72	69.3	0.49	82.4
47	61.9	0.001	0.719	69.4	0.488	82.8
48	60.9	0.001	0.72	69.3	0.489	82.4
49	60.1	0.001	0.719	69.4	0.484	82.3
50	62.4	0.001	0.719	69.4	0.488	82.5
51	64.8	0.001	0.719	69.3	0.487	82.3
52	67.3	0.001	0.719	69.4	0.486	82.3
53	58.8	0.001	0.719	69.4	0.482	82.4
54	64.2	0.001	0.718	69.3	0.489	82.4
55	72.8	0.001	0.719	69.4	0.482	82.3
56	69.5	0.001	0.718	69.4	0.487	82.1
57	62.1	0.001	0.717	69.4	0.488	82.7
58	72.5	0.001	0.718	69.4	0.488	82.3
59	71.8	0.001	0.718	69.4	0.486	82.3
60	65.0	0.001	0.717	69.3	0.487	82.2
61	70.6	1e-05	0.714	69.5	0.484	82.3
62	67.4	0.0001	0.713	69.6	0.489	82.3
63	64.0	0.0001	0.713	69.7	0.485	82.4
64	65.5	0.0001	0.713	69.6	0.484	82.6
65	65.0	0.0001	0.713	69.7	0.483	82.5
66	69.6	0.0001	0.713	69.7	0.479	82.5
67	69.3	0.0001	0.713	69.6	0.484	82.2
68	69.6	0.0001	0.713	69.6	0.482	82.3
69	68.6	0.0001	0.714	69.6	0.483	82.5
70	70.9	0.0001	0.713	69.6	0.483	82.6
71	63.7	0.0001	0.712	69.7	0.483	82.6
72	67.2	0.0001	0.713	69.6	0.48	82.6
73	67.4	0.0001	0.713	69.6	0.481	82.4
74	66.3	0.0001	0.712	69.7	0.482	82.7
75	69.8	0.0001	0.712	69.7	0.485	82.8
76	67.3	0.0001	0.712	69.6	0.484	82.6
77	66.3	0.0001	0.712	69.6	0.483	82.4
78	57.2	0.0001	0.712	69.7	0.481	82.4
79	53.8	0.0001	0.714	69.5	0.483	82.7
80	77.0	0.0001	0.712	69.6	0.483	82.5
81	77.2	0.0001	0.713	69.6	0.484	82.6
82	79.1	0.0001	0.712	69.6	0.483	82.6
83	77.1	0.0001	0.713	69.6	0.483	82.8
84	77.0	0.0001	0.713	69.6	0.484	82.7
85	78.8	0.0001	0.712	69.6	0.48	82.8
86	75.5	0.0001	0.713	69.7	0.48	82.5
87	76.8	0.0001	0.712	69.6	0.483	82.6
88	77.1	0.0001	0.712	69.6	0.48	82.8
89	77.1	0.0001	0.712	69.6	0.481	82.7
