epoch	time	lr	train loss	train acc	testloss	test acc
0	47.7	0.01	0.899	0.0	0.684	74.2
1	46.2	0.01	0.754	0.0	0.614	78.7
2	48.1	0.01	0.768	0.0	0.612	80.1
3	49.1	0.01	0.786	0.0	0.626	80.8
4	48.3	0.01	0.815	0.0	0.618	81.5
5	48.1	0.01	0.838	0.0	0.639	81.9
6	46.3	0.01	0.854	0.0	0.646	81.5
7	48.1	0.01	0.877	0.0	0.671	82.0
8	48.0	0.01	0.894	0.0	0.662	80.0
9	48.1	0.01	0.91	0.0	0.646	81.8
10	48.1	0.01	0.908	0.0	0.693	81.9
11	49.0	0.01	0.904	0.0	0.675	81.4
12	47.0	0.01	0.901	0.0	0.689	81.7
13	48.1	0.01	0.898	0.0	0.671	82.2
14	48.2	0.01	0.895	0.0	0.68	82.2
15	48.1	0.01	0.893	0.0	0.674	82.1
16	46.0	0.01	0.89	0.0	0.646	81.7
17	48.1	0.01	0.888	0.0	0.681	82.2
18	48.0	0.01	0.887	0.0	0.682	82.4
19	50.2	0.01	0.888	0.0	0.658	82.2
20	46.2	0.01	0.885	0.0	0.654	82.9
21	46.9	0.01	0.885	0.0	0.656	82.1
22	50.2	0.01	0.882	0.0	0.651	82.6
23	48.2	0.01	0.883	0.0	0.712	82.3
24	48.1	0.01	0.882	0.0	0.657	82.9
25	54.5	0.01	0.879	0.0	0.642	82.3
26	49.5	0.01	0.877	0.0	0.67	82.7
27	49.0	0.01	0.876	0.0	0.643	82.9
28	46.3	0.01	0.878	0.0	0.677	82.0
29	48.0	0.01	0.875	0.0	0.659	82.9
30	48.1	0.01	0.875	0.0	0.65	82.9
31	48.2	0.0001	0.858	0.0	0.64	83.2
32	48.2	0.001	0.855	0.0	0.644	83.6
33	49.9	0.001	0.856	0.0	0.643	83.6
34	46.2	0.001	0.855	0.0	0.644	83.6
35	48.1	0.001	0.855	0.0	0.643	83.5
36	49.0	0.001	0.855	0.0	0.643	83.3
37	47.8	0.001	0.854	0.0	0.636	83.8
38	47.5	0.001	0.855	0.0	0.642	83.3
39	46.1	0.001	0.855	0.0	0.632	83.4
40	48.2	0.001	0.854	0.0	0.641	83.4
41	48.2	0.001	0.852	0.0	0.638	83.8
42	48.8	0.001	0.855	0.0	0.642	83.7
43	46.2	0.001	0.854	0.0	0.644	83.4
44	48.0	0.001	0.854	0.0	0.643	83.2
45	48.2	0.001	0.854	0.0	0.633	83.6
46	46.5	0.001	0.853	0.0	0.638	83.6
47	47.1	0.001	0.854	0.0	0.633	83.6
48	46.1	0.001	0.853	0.0	0.642	83.5
49	48.0	0.001	0.853	0.0	0.635	83.5
50	46.1	0.001	0.852	0.0	0.638	83.3
51	48.2	0.001	0.852	0.0	0.643	83.5
52	48.3	0.001	0.853	0.0	0.644	83.1
53	48.3	0.001	0.853	0.0	0.638	82.8
54	50.0	0.001	0.85	0.0	0.637	83.7
55	46.3	0.001	0.852	0.0	0.641	83.5
56	50.1	0.001	0.85	0.0	0.641	83.8
57	46.3	0.001	0.852	0.0	0.636	83.5
58	48.2	0.001	0.851	0.0	0.639	83.6
59	48.2	0.001	0.851	0.0	0.644	83.8
60	48.1	0.001	0.85	0.0	0.63	83.3
61	47.2	1e-05	0.849	0.0	0.635	83.5
62	49.0	0.0001	0.849	0.0	0.637	83.4
63	46.2	0.0001	0.849	0.0	0.636	83.7
64	48.2	0.0001	0.849	0.0	0.634	84.2
65	50.2	0.0001	0.848	0.0	0.636	83.8
66	46.2	0.0001	0.849	0.0	0.635	83.3
67	48.1	0.0001	0.849	0.0	0.64	83.6
68	48.1	0.0001	0.849	0.0	0.632	84.0
69	50.2	0.0001	0.848	0.0	0.636	83.7
70	46.1	0.0001	0.848	0.0	0.636	83.4
71	50.5	0.0001	0.848	0.0	0.633	83.7
72	46.0	0.0001	0.848	0.0	0.632	83.9
73	48.2	0.0001	0.849	0.0	0.636	83.5
74	48.5	0.0001	0.847	0.0	0.634	83.7
75	47.7	0.0001	0.848	0.0	0.637	83.4
76	46.1	0.0001	0.849	0.0	0.638	83.3
77	48.2	0.0001	0.847	0.0	0.633	83.9
78	50.2	0.0001	0.848	0.0	0.635	84.2
79	46.1	0.0001	0.85	0.0	0.638	83.2
80	48.2	0.0001	0.85	0.0	0.634	83.8
81	50.4	0.0001	0.847	0.0	0.635	83.3
82	48.1	0.0001	0.848	0.0	0.637	83.8
83	48.4	0.0001	0.85	0.0	0.637	83.8
84	47.8	0.0001	0.848	0.0	0.631	83.8
85	51.6	0.0001	0.848	0.0	0.637	83.7
86	48.9	0.0001	0.849	0.0	0.636	83.5
87	48.4	0.0001	0.848	0.0	0.634	83.7
88	50.2	0.0001	0.848	0.0	0.639	83.5
89	48.1	0.0001	0.848	0.0	0.637	83.2
